,sentence,true_label,predicted_label,probabilities
892,"על פי הנטען בחלק הכללי של כתב האישום, בתאריך 19.7.2019 בשעה שאינה ידועה למאשימה, הנאשם ויוסף שוקרון (להלן: ""האחר""), קשרו קשר למכור סמים יחד עם ציון בן יוסף (להלן: ""המתלונן"").",0,1,0.9997738
179,"במועדים שאינם ידועים במדויק למאשימה עובר ליום 21.10.20, עמד הנאשם בקשר עם אדם בשם Jairo Zuluaga (להלן: ""איירו"") אותו הכיר בקולומביה, בעניין ייבוא סם האיוואסקה.",0,1,0.99976677
203,"בנוגע לשותף (הנאשם 2), אשר אף הוא הודה בביצוע שתי עבירות של סחר בסם מסוכן מסוג קוקאין, במשקל כולל של כ- 0.3 גרם בתמורה לסך כולל של 200 ₪, המדינה הגיעה להסדר טיעון אשר כלל הסכמה עונשית.",0,1,0.99976
164,בייחוד נכונים הדברים במקום שהמדובר הוא בייבוא כמות משמעותית של סם העשויה לשמש להכנתן של מנות-סם רבות...,0,1,0.9997491
593,"כמו כן נתפסו במקום סכום מזומן בסך 18,777.5 ₪, משקל דיגיטלי, שלושה טלפונים ניידים ושקיות חלוקה.",0,1,0.9997383
867,"עוד עמדה על הצורך להיאבק בתופעת גידול הסמים והפצתם באמצעות ענישה משמעותית ומרתיעה, ועל נסיבות ביצוע העבירה, חלקו הבלעדי של הנאשם בתכנון המוקדם, הכנת המקום וציודו בציוד מתאים, כשפעל ממניע כלכלי לרווח קל ומהיר.",0,1,0.9997377
150,"בחינה כללית וראשונית של נסיבות ההסתבכות הנוכחית עם החוק העלתה כי הנאשם מודה במיוחס לו וכי באותה תקופה כבר החזיק ברישיון שימוש בקאנביס רפואי, אולם לדבריו הכמויות שאושרו לו לא ענו על צרכיו, ועל כן גם קנה סם באופן לא חוקי והיה מעורב בקשר עם גורמי סחר.",0,1,0.9997265
290,"הגם שתיאום העסקאות נעשה מול המעורב הנוסף – ודים, הרי עולה מכתב האישום, כי הנאשם הוא שסיפק את הסמים בכל אחת מהעסקאות והנאשם הוא זה שבסופו של דבר, קיבל את הכסף לידיו.",0,1,0.9997229
368,הנאשם גם נתפס כשברשותו כמויות נוספות וסכומי כסף במזומן.,0,1,0.99972254
806,"נוכח התכנון שקדם לביצוע העבירה, אופייה, כמות הסם שהעביר הנאשם ארצה, והתמורה שצפוי היה לקבל בדמות ""שמיטת החובות"" שצבר לגורמים שעמדו מאחורי הייבוא, אין מקום לספק בדבר הבנתו המלאה של הנאשם את הפסול החמור שדבק במעשהו.",0,1,0.9997185
312,"הוא סבר שבמזוודה יש שעונים, ורק כשנעצר הבין שמדובר בסמים.",0,1,0.99971586
234,"בענייננו מדובר במספר הזדמנויות לא ידוע במדויק בהן ביצע הנאשם עבירות סחר בסם, על פני תקופה בת כארבעה חודשים; הנאשם הוא המבצע העיקרי, נערך למכירת הסם באמצעות רכישת ""מלאי"" ויצירת מאגר לקוחות באמצעות פרסום.",0,1,0.9997018
502,"התביעה טענה כי מידת הפגיעה בערכים המוגנים היא גבוהה, וזאת נוכח מיקום ביצוען של עסקאות הסמים – סמוך לבית הנאשם, הכמות שסיפק לסוכן – פי 16 מהחזקה הקבועה בחוק להחזקת הסמים לצריכה עצמית, וכן נוכח הזמן הקצר שחלף בין המועד שבוא נוצר הקשר בין הנאשם לסוכן ביחס לעסקת הסם, ועד ביצועה בפועל (יוער כי במקום אחר בסיכומיה טענה התביעה כי מידת הפגיעה בערכים המוגנים היא בינונית).",0,1,0.99969363
866,"עוד עמד על הנסיבות לחומרה שהן חלקו המרכזי בביצוע העבירה, התכנון המוקדם, ההסלקה המתוחכמת, סוג הסם והסכנות הנלוות לשימוש בו והמניע הכלכלי לביצוע העבירה.",0,1,0.9996923
875,עוצמת הפגיעה בערכים המוגנים אינה נמוכה ופוטנציאל הנזק בלתי מבוטל אף שהמכירה שבוצעה בפועל בכמות קטנה ובסכום נמוך.,0,1,0.999691
694,"למקום הגיע שוטר שהיה לבוש מדים של חברת ""פדקס"" ומסר לידי הנאשם את שתי חבילות הסם.",0,1,0.9996126
110,באשר לנסיבות ביצוע העבירות הפנה לתיקון המשמעותי שנעשה בכתב האישום המלמד על פרק הזמן המינימלי שבו המעבדה פעלה (בהתאם לכתב האישום); על כך שמדובר בדירה ולא בחממה; על כך  שמדובר בדירה שבה התגורר הנאשם ולא בדירה שאותה שכר רק לצורך הגידול; על כך שמספר השתילים וכמות הסם אינם חריגים במיוחד ועל כך שמדובר בעבירת גידול ולא בעבירה של סחר בסמים.,0,1,0.99960905
877,"עיון בפסיקה בעבירות דנן מגלה מנעד רחב של ענישה התלוי בנסיבות ה""עושה"" לרבות גילו של הנאשם, עברו הפלילי, נסיבות חייו ומידת השתלבותו בהליך שיקומי כמו גם, ובעיקר, בנסיבות ה""מעשה"" לרבות סוג הסם שגודל, היקף הגידול ומשקלו של הסם, משך הגידול, מיקום הגידול, חלקו של הנאשם בגידול, מידת התכנון וההצטיידות שקדמו לביצוע הגידול, בשאלה האם העבירה בוצעה בצוותא עם אחרים ובשאלת קיומן של עבירות נלוות לביצוע עבירת הגידול.",0,1,0.9995789
261,"בתוך כך טען, כי מכירת הסם נעשתה בהיעדר תחכום, תוך פרסום בפייסבוק, ומכאן כי טענתו של הנאשם לפיה סבר בתמימותו שמדובר בסחר חוקי איננה מופרכת.",0,1,0.9995359
857,"עוד טען, כי הכמות שנתפסה אינה גדולה באופן יחסי למעבדות סמים, וכי מהראיות עולה כי הנאשם לא פעל לבד.",0,1,0.9994337
259,בתאריך 4.7.23 סמוך לשעה 15:30 הגיע הסוכן המשטרתי לתחנת הסמים לצורך ביצוע עסקת סמים ופגש בנאשם 1.,0,1,0.9992778
893,"על פי כתב האישום, ביום 16.2.21 בשעת ערב פנה שוטר בלבוש אזרחי לנאשם, בעודו עומד בפינת רחוב, וביקש ממנו להביא לו סם בתמורה ל- 100 ₪.",0,1,0.999223
894,"על פי עובדות האישום הראשון, ביום 24.1.2024 בשעה 19:48 לערך, במסגרת פעילותו לקניית סמים מסוכנים מסוחרי סמים, התקשר הסוכן לטלפון הנייד של הנאשם, אך הוא לא ענה לשיחה.",0,1,0.99914765
