,sentence,true_label,predicted_label,probabilities
805,"בעת קביעת העונש בתוך המתחם יש לתת את הדעת לנסיבותיו האישיות של הנאשם ובהן עברו הפלילי שאינו מכביד, היותו נשוי ואב לשני פעוטות, היות המאסר מאסרו ראשון, הודאתו המיידית ושיתוף הפעולה מצדו בחקירתו.",0,1,0.99907374
544,"ב""כ המאשימה: באשר לבקשת חברי לצורך דחייה למיון מוקדם לדחיה ארוכה יותר נתנגד לעיכוב ביצוע העונש, וזאת לאור העובדה שהערעור יוגש ככל הנראה אך ורק על חומרת העונש, והנאשם הודה בכתב האישום.",0,1,0.9990589
1310,"על יסוד הודאת הנאשם בעובדות כאמור, הוא הורשע בעבירות נשק (החזקה ונשיאת נשק ותחמושת), לפי סעיף 144(א) ו - (ב) רישא וסיפא בחוק העונשין התשל""ז – 1977 (להלן: ""חוק העונשין""); ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה'",0,1,0.9990445
1019,"על-פי עובדות כתב האישום שבהן הודה הנאשם, אי השלמת העבירה לא נבע מחרטה של הנאשם (שאז, על-פי סעיף 28 בחוק העונשין, לא היה נושא באחריות פלילית וממילא היה מופטר מענישה), אלא בשל תפיסתו בידי המשטרה.",0,1,0.99904126
757,הסניגור המשיך וטען למשמעות הסולחה אך הודה שעדיין לא קיימת סולחה מוגמרת.,0,1,0.9990088
1122,"ב""כ המאשימה סיכמה, כי היא סבורה שיש לקבוע מתחם בעניינו של הנאשם  בין 5 ל- 7 שנים, כאשר חרף הודאת הנאשם, החיסכון בזמן שיפוטי והיעדר העבר הפלילי, משיקולי הרתעה יש למקמו לא בקצה התחתון.",0,1,0.9990081
749,"הסניגור איזכר מספר מקרים ובין היתר תפ""ח (חי') 4069/07 מדינת ישראל נ' פלוני (25.5.2008) שם הודה הנאשם בהיזק בחומר נפץ ועבירות נשק, מרמה והפרת אמונים.",0,1,0.99898976
557,"הנאשם הודה לבית המשפט על הזמן שהקדיש לו, התנצל על הטעות שעשה בפני בית המשפט ובפני בני משפחתו.",0,1,0.9989562
755,במסגרת הסדר טיעון הודה הנאשם בהשלכת רימון לעבר חנות שגרם נזק למבנים.,0,1,0.9988815
734,"בתפ""ח 1121/09 מדינת ישראל נ' מרדכי לוי (15.7.2010) נאשם הורשע על סמך הודאתו בביצוע עבירות של נשיאה והובלת נשק, והיזק בחומר נפץ וחבלה בכוונה מחמירה בגין כך שהשליך רימון לעבר חדר מדרגות בבית מגורים בשעה שידע ששוהים חלק מדיירי הבית בדירותיהם.",0,1,0.9987728
931,"אחרון פנה הנאשם לבית המשפט ואמר: ""מתנצל מצטער, טעיתי ומודה בטעותי.",0,1,0.9980197
506,"ביקש לדחות את גרסת הנאשם כהסבר לנסיבות ביצוע העבירה, אף שירות המבחן התרשם מחוסר כנותו, וגרסתו מהווה זלזול באינטליגנציה.",0,1,0.99796873
955,"לנוכח תשובת הנאשם לאישום, הסכימו הצדדים על כך שלא תשמענה עדויות, אך יוגשו מספר ראיות וכן הוסכם על סדר סיכומי טענות הצדדים ואופן הגשתם.",0,1,0.99782467
1497,"כבוד בית המשפט בחן האם ניתן בנסיבות המקרה לסטות לקולא ממתחם הענישה בשים לב לכך שהנאשמים הינם צעירים, נעדרי עבר פלילי, הנאשם מס' 1 עובד ומכלכל משפחתו והנאשם מס' 2 משלים לימודי סיעוד, אולם לא מצא לחרוג מהמתחם בשל שיקולי שיקום, כמו גם לא מצא לבטל הרשעת הנאשם מס' 2 בשל חומרת העבירות.",0,1,0.9969855
994,"בא-כוח הנאשם חזר על הטענות שהעלה קודם למתן הכרעת הדין, שלפיהן כתב האישום מבוסס רק על דברי הנאשם בהודעתו.",0,1,0.99648404
118,הנאשם אישר את המיוחס לו בכתב האישום המתוקן.,0,1,0.9952356
529,"באשר לנסיבות ביצוע העבירה מסכים אני עם דברי ב""כ המאשימה, כי גרסת הנאשם כפי שזו עלתה בפני שירות המבחן (יצא ליער לחפש תוכי ומצא נשק) הינה גרסה מיתממת ולא הגיונית ולא בכדי התרשם שירות מבחן מחוסר כנות בדבריו.",0,1,0.993849
64,"לגבי הרשעתו הקודמת של הנאשם ביקש לציין את הזמן הרב שחלף מהעבירה הקודמת ועד היום, המלמדת כי אין מדובר באדם שדרכו עבריינית, ויש להעדיף את השיקול השיקומי, המאפשר סטיה ממתחם הענישה.",0,1,0.99277747
997,"לעניין זה הוסיף והדגיש, כי מוכר הנשק כלל לא נחקר, כך שגרסתו אינה ידועה.",0,1,0.9921003
256,"הודיה זו לא זו בלבד שהובילה לחסכון בזמן שיפוטי יקר, אלא גם מגלמת בתוכה נטילת אחריות על מעשיו.",1,0,0.0053372504
