,sentence,true_label,predicted_label,probabilities
492,"האחר אמר לד' כי אלמוני ייצור עמו קשר לצורך כך, מעשה שעשה הנאשם.",0,1,0.9761723
1148,"הוא ניצל את הנאשם ונהג כסוכן מדיח כאשר פעם אחר פעם, התקשר לנאשם וביקש ממנו שימכור לו את הסמים.",0,1,0.97332734
1511,"הנאשם מכר לסוכן סמים מסוג קוקאין במשקל של 99.95 גרם, ובתמורה לכך שילם לו הסוכן סך של 300,000 ₪ אותם העביר לאחר והאחר שילם לנאשם דמי תיווך בסך של 2,000 ₪.",0,1,0.97327256
1302,הנאשם ביצע את כל העסקאות באופן עצמאי וללא כל עזרה של גורם מתווך כלשהו.,1,0,0.94526005
28,"ביחס לנסיבות ביצוע העבירות התייחסה לתכנון שקדם לביצוע העבירות המחייב לימוד הנושא, השקעה כספית, רכישת ציוד מתאים ושכירת מקום לגידול הסמים, לחלקו הבלעדי של הנאשם בביצוע העבירות, לסוג הסם, לכמות הסם הגדולה שהנאשם ייצר והפיק ולתפקידו בשרשרת הפצת הסם, לנזק שנגרם מביצוע העבירות לרבות הנזק שנגרם לחברת חשמל (עשרות אלפי שקלים),  לנזק שצפוי היה להיגרם לו הסם היה מופץ ולסיבות שהביאו את הנאשם לביצוע העבירות (מניע כלכלי).",1,0,0.90146667
923,"ביחס לעבירות שביצע הנאשם טענה ההגנה שמדובר בכ-30 עסקאות, במשקלים נמוכים שאינם עולים על 15 גרם במצטבר, וכי תפקיד הנאשם היה חוליה בשרשרת ההפצה של הסמים ולא תפקיד דומיננטי, כטענת המאשימה.",1,0,0.8953353
50,"בכל הקשור לנסיבות הקשורות בביצוע העבירות נתתי דעתי למשקל הסם הגבוה שגודל (180 ק""ג); לכך שהנאשם גם החזיק סם שלא לצריכה עצמית בוילה במשקל של 7.48 ק""ג וזאת לצד ציוד רב ששימש לגידול הסם; להיערכות, להתארגנות ולתכנון שקדם לביצוע העבירות (שכירת וילה, הצטיידות בציוד מתאים, רכישת ידע, התחברות פיראטית לחשמל); לנזק הכספי המשמעותי שנגרם לחברת החשמל כתוצאה מגניבת החשמל; לנזק שעלול היה להיגרם לו הסם שגודל היה מופץ בשווקים; לנזק שעלול היה להיגרם כתוצאה מחיבור פיראטי לחשמל; לסיבה שהביאה את הנאשם לביצוע העבירה (רווח כספי מהיר בשל מצוקה כלכלית אליה נקלע) ולחלקו הבלעדי של הנאשם בביצוע העבירות.",1,0,0.8631302
858,"חלקו של הנאשם בביצוע העבירות - הנאשם הוא העבריין היחיד, על כן חלקו בביצוע העבירות הוא מלא ובלעדי.",1,0,0.8449434
1077,"עוד עמדה על הצורך להיאבק בתופעת גידול הסמים והפצתם באמצעות ענישה משמעותית ומרתיעה, ועל נסיבות ביצוע העבירה, חלקו הבלעדי של הנאשם בתכנון המוקדם, הכנת המקום וציודו בציוד מתאים, כשפעל ממניע כלכלי לרווח קל ומהיר.",1,0,0.7892923
929,"לא מצאתי לקבל את טענת ההגנה כי חלקו של הנאשם פחות בחומרתו משום שהוא שימש כ""שליח"", משום שהדבר אינו עולה במפורש מעובדות כתבי האישום המתוקנים בהן הודה.",1,0,0.37420905
