,verdict,text,part
0,SH-10-02-25802-731,"ב""כ המאשימה:  רס""ב רומיאו חורי",הנאשם
1,SH-10-02-25802-731,"הנאשם: בעצמו ועל ידי ב""כ עו""ד נביה חנג'אר",הנאשם
2,SH-10-02-25802-731,"חוק העונשין, תשל""ז-1977: סע'  144, 144 (א), 144(א)(1)",הנאשם
3,SH-10-02-25802-731,"הנאשם הורשע על פי הודאתו בכתב האישום, בעבירות שעניינן, החזקת נשק שלא כדין, עבירה לפי סעיף 144 (א) לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין"") וכן, עבירה של החזקת חלק-אבזר תחמושת של כלי נשק, עבירה לפי סעיף 144(א)(1) לאותו חוק.",הקדמה
4,SH-10-02-25802-731,"מכתב האישום עולה, כי ביום 16/07/09 בשעה 11:00 או בסמוך לכך בכפר מגדל שמס, החזיק הנאשם בביתו נשק מסוג רובה צייד שמסוגל לירות כדור ובכוחו להמית אדם וזאת ללא רשות על פי דין.",העובדות
5,SH-10-02-25802-731,"באותן הנסיבות, החזיק הנאשם באבזר ותחמושת של כלי נשק שבכוחם להמית אדם וזאת ללא רשות על פי דין.",העובדות
6,SH-10-02-25802-731,"מן התסקיר עולה שהנאשם, בן 38, נשוי ואב לשני ילדים בני 5 ו- 10.",תסקיר שירות המבחן
7,SH-10-02-25802-731,"הנאשם בוגר 12 שנות לימוד, קיבל פטור משירות צבאי, עובד כפועל במפעל שיש בכפרו.",תסקיר שירות המבחן
8,SH-10-02-25802-731,"בהתייחס לעבירה נשוא הליך זה, הנאשם לקח אחריות מלאה על ביצועה והביע חרטה כנה על ביצועה.",תסקיר שירות המבחן
9,SH-10-02-25802-731,הנאשם חש כעס ובושה על התנהגותו והבין את חומרת מעשיו.,תסקיר שירות המבחן
10,SH-10-02-25802-731,"לטענתו, הוא מצא את הרובה בבית סבו, שנפטר לפני שנים רבות.",תסקיר שירות המבחן
11,SH-10-02-25802-731,הוא החליט לקחת ולבדוק אם זה תקין בשטח פתוח.,תסקיר שירות המבחן
12,SH-10-02-25802-731,"לדבריו הרובה לא ירה לכן, החליט להשאירו בביתו כקישוט על הקיר.",תסקיר שירות המבחן
13,SH-10-02-25802-731,"אשתו התנגדה לכך, הורידה את הרובה מהקיר והניחה אותו באחד מחדרי הבית.",תסקיר שירות המבחן
14,SH-10-02-25802-731,"לדבריו, גם התחמושת שנמצאה בביתו, הייתה למטרת אוסף ולא התאימה לאף אחד מהרובים שהיו ברשותו.",תסקיר שירות המבחן
15,SH-10-02-25802-731,שירות המבחן התרשם כי מדובר באדם בעל יכולת הסתגלות ויציבות במסגרות ומגלה מידת אחריות לתפקידים אותם לקח בחייו.,תסקיר שירות המבחן
16,SH-10-02-25802-731,"באשר לעבירה הנדונה, הנאשם התקשה להפעיל שיקול דעת בוגר על אף זאת; התרשמות שירות המבחן כי לנאשם יש יכולת לוויסות דחפיו וכי הוא מבטא עמדות ותפיסות פרו חברתיות וערכיות.",תסקיר שירות המבחן
17,SH-10-02-25802-731,"לפיכך, המליץ שירות המבחן להסתפק בענישה מותנית.",תסקיר שירות המבחן
18,SH-10-02-25802-731,שירות המבחן התבקש גם להתייחס לשאלת הרשעתו של הנאשם בדין.,תסקיר שירות המבחן
19,SH-10-02-25802-731,מהתסקיר עולה כי אין חשש לכך שההרשעה  תביא לפגיעה כלשהי בפרנסתו.,תסקיר שירות המבחן
20,SH-10-02-25802-731,המאשימה מבקשת להטיל על הנאשם ענישה שיש בה כדי לשקף את חומרת העבירות וזאת על ידי הטלת ענש של מאסר בפועל שלא תתנגד שירוצה בעבודות שרות.,טענות הצדדים
21,SH-10-02-25802-731,המאשימה הפנתה בטיעוניה לפסיקה נשוא ת/1.,טענות הצדדים
22,SH-10-02-25802-731,"מנגד, הסנגור ביקש ללמדנו כי אין כל הצדקה להטלת ענישה הרתעתית הכוללת מאסר בדרך של עבודות שרות לתקופה ארוכה.",טענות הצדדים
23,SH-10-02-25802-731,המדובר באדם נורמטיבי המשולל כל עבר פלילי ואינו בעל אישיות עבריינית.,טענות הצדדים
24,SH-10-02-25802-731,שליחתו למאסר בעבודות שרות לתקופה ארוכה עלולה להביא לרגרסיה בניהול חייו.,טענות הצדדים
25,SH-10-02-25802-731,"אין חולק, כי עבירת החזקת הנשק המצוינת בסעיף 144(א) רישא לחוק העונשין, הינה ממין העבירות שאין להקל ראש בחומרתן.",דיון והכרעה
26,SH-10-02-25802-731,"עבירה זו יש בה משום סיכון שלום הציבור וביטחונו, סיכון הגלום בכך שכלי בעל פוטנציאל קטלני מוחזק שלא כדין בידי אדם ללא פיקוח של רשויות המדינה.",דיון והכרעה
27,SH-10-02-25802-731,"הדברים אמורים גם ביחס למקרים בהם אין בכוונת המחזיק לעשות שימוש בנשק לצורך ביצוע עבירה כלשהי, כפי המקרה העומד בפתחנו.",דיון והכרעה
28,SH-10-02-25802-731,"ברור שלצד מדיניות ההחמרה בענישה הנוגעת לביצוען של עבירות נשק; הרי כי מדיניות ענישה בעבירות הנשק השונות, כדוגמת יתר העבירות, טומנת בחובה מגוון רחב של ענישה, באופן המאפשר לבית המשפט לבור לעצמו את העונש הראוי וההולם, בהתאם לנסיבות המיוחדות המאפיינות את המקרה שלפניו.",דיון והכרעה
29,SH-10-02-25802-731,"בבוא בית המשפט לגזור את דינו של נאשם זה או אחר, שם הוא לנגד עיניו את מגוון השיקולים (לקולא ולחומרא) על כפות המאזניים ותר הוא אחר נקודת האיזון הראויה באותו מקרה המונח בפניו.",דיון והכרעה
30,SH-10-02-25802-731,"כפי המובא לעיל, במסגרת השיקולים לחומרא יש לקחת בחשבון את חומרת המעשים המיוחסים לנאשם וכן את התייחסות הפסיקה לרמת הענישה הראויה במקרים כגון דא.",דיון והכרעה
31,SH-10-02-25802-731,"במסגרת השיקולים לקולא, יש לקחת בחשבון כי מדובר בנאשם נעדר עבר פלילי וזה הוא מפגשו הראשון עם החוק, אשר ניהל עובר למקרה דנא אורח חיים נורמטיבי.",דיון והכרעה
32,SH-10-02-25802-731,"בנוסף, יש לקחת בחשבון, את העובדה כי הנשק אינו תקין.",דיון והכרעה
33,SH-10-02-25802-731,"לכך יש להוסיף כי עבירת החזקת הנשק במקרה דנא, עומדת לבדה ולא בוצעו לצידה עבירות נוספות תוך שימוש בנשק ולא היתה כל כוונה לשימוש פלילי –בטחוני בנשק זה.",דיון והכרעה
34,SH-10-02-25802-731,"עוד יש להתחשב לקולא בהודאתו של הנאשם בהזדמנות הראשונה, אשר חסכה זמן שיפוטי יקר, וכן את הרושם החיובי אשר הותיר עת הביע החרטה ונטילת אחריות מצדו.",דיון והכרעה
35,SH-10-02-25802-731,חרטתו והודאתו הינן כנות ואמיתיות.,דיון והכרעה
36,SH-10-02-25802-731,הנאשם שיתף פעולה עם רשויות החוק ועם שירות המבחן ובסוף התקבלה המלצה חיובית בעניינו לפיה ניתן להסתפק בהטלת ענישה מותנית.,דיון והכרעה
37,SH-10-02-25802-731,"לאור כל האמור לעיל, ולאחר ששקלתי את מכלול טענות הצדדים, לחומרא ולקולא, הרי שבאיזון הכולל בין מגוון השיקולים, אני מטיל על הנאשם את העונשים הבאים:",דיון והכרעה
