,sentence,true_label,predicted_label,probabilities
1079,"בנוסף, יש בפעולות הנאשם אשר פעל להסוות את הנשק והתחמושת, עוד בטרם הגיעה המשטרה למקום, כדי לרמז על כוונות שאינן תמימות.",0.0,1,0.99969935
377,"באשר לנזק שהיה צפוי להיגרם מביצוע העבירות, טוענת המאשימה, כי אמנם הנאשם טען, כי כל כוונתו הייתה להפחיד, אך לא ברור כיצד התכוון לעשות זאת ומן העובדות בהן הודה ניתן רק להסיק, כי שימוש בנשק הטעון היה מממש את כוונתו.",0.0,1,0.99953794
1150,"במסגרת שקילת הנסיבות הקשורות במעשה העבירה נשקלו עובדות כתב האישום שבהן הודה הנאשם, שלפיהן הוא היה מי שיזם רכישת רובה סער מסוג M-16 ואף פעל וארגן את הנסיעה אל מקום העסקה לשם השלמתה.",0.0,1,0.9994388
831,"במעשיו המתוארים לעיל הנאשם ייצר נשק; יידה אבן או חפץ אחר לעבר שוטר או לעבר כלי רכב משטרתי, במטרה להפריע לשוטר כשהוא ממלא את תפקידו כחוק או להכשילו בכך בשלוש הזדמנויות שונות, וניסה לשלח אש במזיד בדבר לא לו.",0.0,1,0.99939585
90,"הנאשם הצטייד בנשק מבעוד מועד, הסליק אותו, וביום האירוע הוציא את הנשק, והסיע אותו ברכב, למטרת הירי בחתונה.",0.0,1,0.999356
34,"ביחס לנסיבות הקשורות לביצוע העבירות דנן, ציין כי הנאשם ושותפיו ביצעו את העבירות לאחר תיאום מפורט וקפדני.",1.0,0,0.9991091
1156,"נעבור לבחון את הנסיבות הקשורות בביצוע העבירה: הובלת נשק באמצעות כלי-רכב היא מתוכננת, אלא אם הוכחו נסיבות מיוחדות המוכיחות אחרת; הנאשם ביצע את העבירה לבדו והוא העבריין היחיד.",1.0,0,0.9990312
1021,"המדובר בפעילות עבריינית מתוכננת, במסגרתה הנאשם ואחרים פרצו פעם אחר פעם לבסיס צה""ל בו אוחסנו פגזי טנקים, גנבו משם כמות עצומה של פגזים בקוטר 105 מ""מ, פרקו חלק מהפגזים ומכרו את המתכות מהן עשויים הפגזים לסוחרי מתכות ושלשלו לכיסם סכומי כסף נכבדים.",1.0,0,0.9988257
1345,ושנשיאת הנשק והירי בו היו יזומים ומתוכננים.,1.0,0,0.99820304
88,"הנאשם הסביר כי בכך ביקש להשיג תחושת ערך וכבוד מצד סביבתו, והוא תכנן לשאת את הנשק רק באזור השטחים.",1.0,0,0.99637514
87,"הנאשם הכין בקבוק תבערה, השניים יצאו למקום, הנאשם הצית את בקבוק התבערה שהכין, האחר הצית שני בקבוקי תבערה, והשניים זרקו את שלושת בקבוקי התבערה הבוערים לחצר הבית, ממרחק מטרים ספורים.",1.0,0,0.9877967
67,"הוא עמד על נסיבות ביצוע העבירה – התכנון, היותו של הנאשם בלעדי בביצועה והנזק הפוטנציאלי הטמון בעבירה.",1.0,0,0.9831224
1052,פירטה את הנסיבות הקשורות בביצוע העבירה- התכנון המוקדם שקדם למעשים; חלקו היחסי של הנאשם בביצוע העבירה; הזק שנגרם ושצפוי היה להיגרם מביצוע העבירה; והמניע לביצועה; וטענה כי מתחם העונש ההולם נע בין 6 ל- 12 שנות מאסר.,1.0,0,0.97539866
724,"יחד עם זאת, התרשם שירות המבחן מאלמנטים של תכנון שקדם לביצוע העבירות.",1.0,0,0.46431968
625,"עוד לעניין התכנון, הנאשם החנה את רכבו בצורה שתאפשר לו הימלטות מהירה מהמקום (כשפני הרכב מכוונים כלפי היציאה מן הרחוב.",1.0,0,0.24417128
770,"התובע עמד על חלקו הדומיננטי של הנאשם כיוזם, מתכנן ומבצע עיקרי של שני האישומים, וטען למתחם ענישה הנע בין שלוש לבין שש שנות מאסר בפועל בגין שני האירועים בתיק הנשק, וכן מאסר על תנאי וקנס.",1.0,0,0.0047436887
