text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"מדינת ישראל ע""י עו""ד צדיק וינוביץ'",1.2935269e-05,5.495387e-06,9.514799e-06,3.3877084e-05,5.7277894e-06,3.4556429e-06,6.38553e-06,2.1584714e-05,2.2539769e-05,1.6315287e-05,0.000224786,4.899701e-05,0.00025761852,2.4163837e-06
"רמזי מסארווה בעצמו וע""י עו""ד מצארווה וג'די",1.0020218e-05,5.305916e-06,9.491634e-06,3.2692944e-05,4.7239687e-06,3.9969627e-06,8.544846e-06,3.066872e-05,2.2764343e-05,1.6674812e-05,0.00025297058,4.507068e-05,0.00018698462,2.801276e-06
"הנאשם הורשע על יסוד הודאתו בעובדות כתב-אישום מתוקן, במסגרת הסדר טיעון חלקי, בביצוע עבירה של החזקת תחמושת שלא כדין, לפי סעיף 144(א) סיפא לחוק העונשין, התשל""ז – 1977 (להלן: חוק העונשין; כשבטעות צויין בכתב-האישום ובהכרעת-הדין סעיף 144 לחוק העונשין בלבד).",1.2331976e-05,5.1214693e-06,0.99999607,8.710888e-05,5.078523e-06,1.3055595e-05,3.09692e-05,0.003517049,2.9459503e-05,0.2019471,0.0002671054,0.00015180487,0.0006341203,0.999998
"על-פי עובדות כתב-האישום המתוקן, ביום 19.9.10, עת הגיעו שוטרים לדירתו של הנאשם על-מנת לעכבו לחקירה, נמצא הנאשם מחזיק בדירתו בטירה ב- 107 כדורי אקדח .",1.0343004e-05,5.1428774e-06,0.99999607,0.9999896,0.99998724,0.00018302035,0.99990845,0.9999229,0.9999963,0.9999845,0.0004282554,0.00011286387,0.00043909595,0.0044975597
"במסגרת ההסדר, הוסכם כי הנאשם ישלח לקבלת תסקיר שירות מבחן בעניינו, כאשר התביעה הבהירה כי עמדתה למאסר.",8.6756e-06,5.331816e-06,9.441278e-06,3.4913908e-05,4.509428e-06,7.680515e-06,8.3672785e-06,1.3828876e-05,1.8489012e-05,1.286511e-05,0.00035925937,8.118141e-05,0.00048316212,3.0005242e-06
"בסופו של יום, לאחר הידברות נוספת, הגבילה עצמה התביעה לעתירה של 6 חודשי מאסר שירוצו על דרך של עבודות שירות, מאסר על תנאי וקנס גבוה.",0.9999901,5.1579173e-06,9.498688e-06,4.8344304e-05,4.013441e-06,9.283885e-06,9.916503e-06,1.4843207e-05,1.7787812e-05,1.67479e-05,0.004061879,6.447098e-05,0.00018250367,4.1281996e-06
"מתסקיר שירות המבחן למדתי אודות נסיבותיו האישיות והמשפחתיות של הנאשם, שהינו בחור צעיר בן 26 שנה, אשר נאלץ לנשור מבית-הספר לאחר 10 שנות לימוד על-מנת לצאת לעבודה ולסייע בפרנסת המשפחה.",9.739523e-06,0.9999788,9.338888e-06,4.8997477e-05,5.8007467e-06,8.8095934e-05,4.9008697e-05,0.011571946,1.8272116e-05,2.5546091e-05,0.0017746808,0.0009525493,0.9353303,4.191338e-06
במהלך שנת 2008 נדון הנאשם למאסר לתקופה של 21 חודשים.,0.99997354,0.99997866,9.581244e-06,3.948263e-05,5.7609277e-06,6.2950935e-06,1.1278264e-05,2.2637978e-05,2.0376705e-05,1.4025416e-05,0.00028251685,5.224335e-05,0.00013648435,2.64754e-06
"מסר, כי לאחר שחרורו ניתק קשריו השוליים, משקיע מאמצים לתפקד באורח נורמטיבי כשבשנת 2010 פתח מרכול במקום מגוריו אותו מתאר כמסגרת משמעותית עבורו.",6.3491934e-06,0.99997866,9.431729e-06,5.556915e-05,6.120659e-06,4.1142383e-05,3.749208e-05,0.9438506,1.9558089e-05,2.7030479e-05,0.0016144242,0.0014319351,0.85844696,3.8545472e-06
"באשר לעיבוד העבירה, חזר הנאשם והודה במעורבותו, אך להערכת קצינת המבחן התקשה לקחת אחריות רגשית על התנהגותו ולהתמודד באופן ישיר עם המניעים שעמדו בבסיסה והרקע לה, כשבנוסף שלל כל בעייתיות במצבו.",7.4740524e-06,0.99997866,9.2714445e-06,5.7132704e-05,6.920433e-06,0.9528581,1.9432928e-05,0.8434671,1.852592e-05,3.0021733e-05,0.9511305,0.99999785,0.9999144,0.99999774
"להתרשמות קצינת המבחן, הנאשם מתקשה להכיר בדפוסיו הבעייתיים, שולל כל נזקקות טיפולית, ועל כן אין המלצה בעניינו.",6.8085565e-06,0.99997866,9.395362e-06,4.024151e-05,4.1823064e-06,1.1076728e-05,1.0109444e-05,1.6365184e-05,1.8558152e-05,1.3245718e-05,0.0005584315,0.9595462,0.98226154,3.6055956e-06
"ב""כ המאשימה הפנתה לעברו הפלילי של הנאשם, אשר כולל שתי הרשעות קודמות, וכן לאמור בתסקיר בדבר אי-לקיחת אחריות והבנת חומרת העבירה.",8.425427e-06,0.99997866,9.342584e-06,3.6858506e-05,4.3258533e-06,2.3743769e-05,9.8548935e-06,2.15412e-05,1.8080196e-05,1.5193172e-05,0.0023804586,0.99999416,0.9950053,0.43704548
"הדגישה את הסיכון הפוטנציאלי לבטחון הציבור, ונפיצות התופעה של החזקת תחמושת; עם זאת ציינה, כי המאשימה לקחה בחשבון את הודאתו של הנאשם במיוחס לו, ואת העובדה שמאז לא נפתחו כנגדו תיקים נוספים, כששקלול הנתונים הביא אותה לעתירה מתונה של מאסר שירוצה בדרך של עבודות שירות, אך למלוא התקופה.",3.9508843e-05,5.301951e-06,9.422029e-06,5.068878e-05,5.2409114e-06,0.00020163262,1.6250504e-05,5.1375246e-05,1.8062841e-05,0.00011895959,0.12179548,0.9983884,0.85551715,0.99999785
"הסנגור הדגיש את נסיבותיו האישיות והמשפחתיות של הנאשם, אשר הביאו לחבירתו לחברה שולית ולהסתבכויותיו בפלילים בעבר.",6.8277254e-06,0.99997866,9.443863e-06,3.859947e-05,4.247823e-06,2.236475e-05,9.202893e-06,2.6841626e-05,1.806613e-05,1.4735945e-05,0.0028799907,0.0015546284,0.998973,5.194897e-06
"הדגיש את התיקון לקולא בכתב-האישום, לקיחת האחריות של הנאשם בפני בית-המשפט ואת גילו הצעיר של הנאשם.",1.1712177e-05,0.99997866,9.417214e-06,3.501831e-05,4.4550734e-06,1.3880498e-05,1.0259237e-05,2.0236963e-05,1.8321598e-05,1.9259136e-05,0.0010428196,0.9999888,0.9993631,0.99999094
"הרחיב באשר למאמציו של הנאשם לעלות על דרך הישר בכך שפתח עסק ממנו מפרנס את בני משפחתו (נ/1) הואיל ואביו אינו עובד מזה שנים (נ/2), למצב הכלכלי הקשה של משפחתו ולחובות שצברו בין היתר למל""ל (נ/3).",8.94855e-06,0.99997866,9.373633e-06,5.044911e-05,6.01856e-06,0.00027202177,2.3414754e-05,0.00791778,1.7862232e-05,2.1573827e-05,0.112139344,0.0033047837,0.73788327,3.4960935e-06
"על כן, עותא הוא להתחשב בנאשם ולהשית עליו מאסר על תנאי על-מנת שלא תיפגע פרנסתו וקנס; לחילופין, עתר להשית מאסר לתקופה קצרה אשר ירוצה בדרך של עבודות שירות.",0.99177164,5.169756e-06,9.348868e-06,3.884259e-05,3.9497195e-06,1.1243104e-05,7.5895646e-06,1.353626e-05,1.6977829e-05,1.3770878e-05,0.001228618,8.0423444e-05,0.00077302754,0.004806558
"בדברו לבית-המשפט, הביע הנאשם צער על הסתבכותו, תיאר את מאמציו לחיות ""חיים חדשים"" ואת שעות העבודה הרבות במכולת שפתח, וביקש את רחמי בית-המשפט.",1.2614066e-05,0.99997866,9.402982e-06,7.050293e-05,1.2090608e-05,0.00019708408,4.7450492e-05,0.0023435112,2.0118177e-05,2.6986512e-05,0.11852645,0.00037961736,0.99842983,3.6183408e-06
"הצדק עם ב""כ המאשימה, כי נפיצות התופעה של החזקת תחמושת באזורנו והמסוכנות הגלומה בה מחייבים השתת ענישה מוחשית על-מנת להרתיע את הנאשם ואחרים שכמותו.",8.726151e-06,5.169776e-06,9.469846e-06,9.935953e-05,4.2839247e-06,0.00073309103,6.303919e-05,1.9912814e-05,1.8446955e-05,0.00020105287,0.0008345295,0.0015187524,0.101182014,3.7679936e-06
"הדברים נכונים במיוחד לגבי הנאשם שבפניי, שהחזיק בכמות גדולה של כדורי אקדח, אשר הגיעו לידיו באופן שאינו ידוע עד היום, כשלא נתן כל הסבר אמין ומספק להתנהגותו בפני בית-המשפט או קצינת המבחן.",1.0417615e-05,5.1648676e-06,0.9999962,0.999985,0.9999784,0.3736545,0.9998355,0.99971575,0.9999963,0.9999696,0.0021913552,0.80743694,0.23353629,3.7313407e-06
"לכך יש להוסיף, כי עסקינן בנאשם בעל עבר פלילי (בעיקר בעבירות רכוש), אשר ריצה עונש מאסר בפועל ממושך, ולמרות זאת הסתבך שוב בפלילים זמן קצר לאחר שחרורו.",8.138078e-06,0.99997866,9.362536e-06,3.7269783e-05,4.1228486e-06,1.2511321e-05,1.1125671e-05,6.6424574e-05,1.772972e-05,1.9012577e-05,0.0014949725,8.347208e-05,0.0058841696,5.5612722e-06
"על כן, נסיבות העבירה ועיתוי ביצועה לצד עברו הפלילי של הנאשם אינם מאפשרים להעביר מסר סלחני בדמות ענישה צופה פני עתיד בלבד.",7.843904e-06,0.99997866,9.422505e-06,3.5439767e-05,4.1546064e-06,2.136595e-05,8.194587e-06,1.8192584e-05,1.7571698e-05,1.6556887e-05,0.0007089407,0.01612731,0.9892942,4.6982077e-06
"עם זאת, קיימים אכן שיקולים לקולא המביאים לכך, שראוי להשית על הנאשם ענישה מתונה בדמות מאסר קצר שירוצה על דרך עבודות שירות.",1.6758826e-05,5.2079777e-06,9.527275e-06,3.4950684e-05,3.8545763e-06,1.0114024e-05,8.042439e-06,1.6410693e-05,1.7471073e-05,1.4447266e-05,0.0016223042,0.0001399811,0.00061062525,8.3002715e-06
"עסקינן בנאשם אשר הודה בכתב-אישום שתוקן לקולא, כאשר מאז האירוע בספטמבר 2010 לא הסתבך שוב בפלילים.",6.7705096e-06,0.99997866,9.446286e-06,3.512818e-05,4.1308303e-06,1.1369591e-05,9.686383e-06,3.569449e-05,1.8181552e-05,0.00015171486,0.00047990776,0.00021903547,0.6997831,0.99999785
"נראה, כי אכן הוא משקיע מאמצים לתפקד באופן נורמטיבי בעיקר במסגרת תעסוקתית, נאלץ לתמוך כלכלית בבני משפחתו, כשנתתי דעתי לכך, שריצוי מאסר בעבודות שירות אכן יביא לפגיעה בפרנסתו ובמשפחתו.",1.0113456e-05,0.99997866,9.487752e-06,4.031434e-05,5.1047145e-06,0.00041267576,1.5177083e-05,4.5595018e-05,1.800528e-05,1.9159186e-05,0.19635187,0.091616824,0.9405954,3.6599658e-06
