,sentence,true_label,predicted_label,probabilities
135,"ביום 23.3.22 נתפסו במעבדה 485 שתילים של סם קנבוס וכן קנבוס מפוזר במספר מקומות שונים בדירה במשקל כולל של 110 ק""ג נטו.",0,1,0.9673519
324,"ביחס לנסיבות ביצוע העבירות התייחסה לתכנון שקדם לביצוע העבירות המחייב לימוד הנושא, השקעה כספית, רכישת ציוד מתאים ושכירת מקום לגידול הסמים, לחלקו הבלעדי של הנאשם בביצוע העבירות, לסוג הסם, לכמות הסם הגדולה שהנאשם ייצר והפיק ולתפקידו בשרשרת הפצת הסם, לנזק שנגרם מביצוע העבירות לרבות הנזק שנגרם לחברת חשמל (עשרות אלפי שקלים),  לנזק שצפוי היה להיגרם לו הסם היה מופץ ולסיבות שהביאו את הנאשם לביצוע העבירות (מניע כלכלי).",0,1,0.90013295
677,עוצמת הפגיעה בערכים המוגנים אינה נמוכה ופוטנציאל הנזק בלתי מבוטל אף שהמכירה שבוצעה בפועל בכמות קטנה ובסכום נמוך.,0,1,0.8896736
969,גם בעלי עכשיו לא עובד וכולנו לא עובדים וקשה לנו.,0,1,0.881601
354,מי אבא שלך.,0,1,0.8767043
306,באשר לנסיבות ביצוע העבירות הפנה לתיקון המשמעותי שנעשה בכתב האישום המלמד על פרק הזמן המינימלי שבו המעבדה פעלה (בהתאם לכתב האישום); על כך שמדובר בדירה ולא בחממה; על כך  שמדובר בדירה שבה התגורר הנאשם ולא בדירה שאותה שכר רק לצורך הגידול; על כך שמספר השתילים וכמות הסם אינם חריגים במיוחד ועל כך שמדובר בעבירת גידול ולא בעבירה של סחר בסמים.,0,1,0.87347287
241,אירוע אחד או מספר אירועים,0,1,0.8730524
698,"מאז עסק בתחומים שונים, בהם אבטחת מידע בחברת הייטק, בעל נגרייה עצמאי וכן שותף עם אחרים בתחום זה.",0,1,0.8444764
715,"כמו כן נתפסו במקום סכום מזומן בסך 18,777.5 ₪, משקל דיגיטלי, שלושה טלפונים ניידים ושקיות חלוקה.",0,1,0.84393996
39,"לא זו אף זו, בביתו החזיק הוא כמות גדולה נוספת מאותו סם ממש, כארבעה ק""ג, וכן קילוגרם נוסף של סם מסוג קנבוס.",0,1,0.84089315
763,יש להחזיר את הטלפון מסוג iphone12 promax.,0,1,0.8388995
927,סם מסוכן מסוג מתילמטקתינון במשקל 14.2733 גרם נטו.,0,1,0.8343875
356,כל מי שאתה מכיר מת.,0,1,0.8235122
446,כשהגעתי לבית שמש שם ירד לי האסימון כי אני מגיל 18 רק עובד ברהיטים ולא מכיר שום דבר אחר.,0,1,0.8216081
420,אני לא יכול לעבוד עליהם.,0,1,0.81953543
261,"הוא סבר שבמזוודה יש שעונים, ורק כשנעצר הבין שמדובר בסמים.",0,1,0.8076809
