text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
י.,9.095674e-05,5.8996466e-06,1.054172e-05,6.524818e-05,5.836004e-06,9.704682e-06,1.7337115e-05,0.00029902163,5.1409555e-05,4.044361e-05,0.0022447237,5.8479396e-05,0.0011781557,2.2955996e-06
שלוחת תביעות אילת-משטרת אילת,1.2436994e-05,5.6725266e-06,9.592709e-06,4.7552596e-05,5.643906e-06,3.3255424e-06,1.563639e-05,0.00012276176,2.4144249e-05,1.935678e-05,0.00030759905,5.1490704e-05,0.0002561742,2.4449998e-06
"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג, 40ג(א), 40ד, 40ד(א), 40ה, 40ו, 40ז, 40ט, 55, 56(א), 144(א), 186, 192, 380, 384, 406(ב), 40יא, 40יב, 40יג(א), 413",3.856191e-05,5.16474e-06,9.495183e-06,0.00011629732,6.2313084e-06,1.185747e-05,1.1969344e-05,0.00023597512,1.9137966e-05,2.4401628e-05,0.00024205484,0.00022676017,0.00065448263,3.580414e-06
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 10",1.5164076e-05,5.0526346e-06,9.501352e-06,4.9951148e-05,6.4890633e-06,6.0776224e-06,7.241076e-06,7.300762e-05,1.9883058e-05,1.7941857e-05,0.0001852724,6.833412e-05,0.0003343659,2.5884651e-06
"פקודת התעבורה [נוסח חדש]: סע'  2, 10, 38(1)",1.7908013e-05,5.0953277e-06,9.537439e-06,4.7340705e-05,6.5405493e-06,4.141978e-06,5.655652e-06,6.1898674e-05,1.8957662e-05,1.6603692e-05,0.00018111321,6.825401e-05,0.00031320233,2.3860623e-06
"פקודת המבחן [נוסח חדש], תשכ""ט-1969",1.34865495e-05,5.347082e-06,9.5090845e-06,4.6257606e-05,6.2693375e-06,4.5316997e-06,7.67045e-06,6.817589e-05,2.0475854e-05,1.7154003e-05,0.00023799785,6.42963e-05,0.00035080092,2.569326e-06
"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2",1.2654356e-05,5.129427e-06,9.44961e-06,4.7836726e-05,6.1873816e-06,5.293201e-06,7.633947e-06,0.00019810298,1.987686e-05,2.4609762e-05,0.00020209301,7.8831945e-05,0.00033387728,2.6941304e-06
"* בית המשפט חרג לקולא ממתחם הענישה שנקבע על ידו, וזאת חרף חומרת העבירות בהן הורשע הנאשם.",8.761823e-06,5.2728815e-06,9.3666085e-06,4.4869037e-05,4.2924594e-06,6.092153e-06,7.933595e-06,1.5239795e-05,1.8514298e-05,1.4221671e-05,0.00028051273,6.1835126e-05,0.0007513224,0.9999968
"נפסק, כי בנסיבות המיוחדות של מקרה זה, נכון להחיל בעניינו את רוח הוראת סעיף 40ד(א) לחוק העונשין המותירה בידי בית משפט הבא לגזור את עונשו של נאשם שיקול דעת אם לחרוג ממתחם הענישה, ככל שהוא מוצא כי הנאשם השתקם או כי יש סיכוי של ממש שישתקם.",1.1604199e-05,5.0811486e-06,9.334828e-06,6.019086e-05,5.1570173e-06,2.3702232e-05,9.612919e-06,2.4101117e-05,1.8210809e-05,1.778001e-05,0.00052252854,0.00038346226,0.005326318,5.292055e-06
* עונשין – ענישה – מדיניות ענישה: עבירות סמים,1.1223618e-05,5.383893e-06,9.327379e-06,4.7768255e-05,4.335067e-06,6.25806e-06,1.4303076e-05,6.7927474e-05,1.9645573e-05,1.8030814e-05,0.00022049554,6.4594606e-05,0.00026048155,2.973247e-06
* עונשין – ענישה – מדיניות ענישה: עבירות נשק,1.0519948e-05,5.3672834e-06,9.300563e-06,5.45999e-05,4.524492e-06,8.949728e-06,3.6730427e-05,0.0006515172,2.5359477e-05,1.9780064e-05,0.0002037834,6.929951e-05,0.00023963087,2.9570213e-06
* עונשין – ענישה – מדיניות ענישה: מתחם הענישה,1.1566833e-05,5.3740546e-06,9.330841e-06,4.4583223e-05,4.428395e-06,5.916126e-06,1.0382268e-05,3.8792397e-05,2.0056055e-05,1.6869564e-05,0.00022556275,7.085272e-05,0.00022052792,2.8481827e-06
* עונשין – ענישה – מדיניות ענישה: שיקום,1.1252029e-05,5.4411257e-06,9.414467e-06,4.8135866e-05,4.5434526e-06,7.0846804e-06,1.3187058e-05,6.108425e-05,2.1346397e-05,1.8192653e-05,0.0002761387,8.1081766e-05,0.00037732776,2.8031302e-06
הנאשם הודה והורשע בביצוע עבירות שונות שיוחסו לו במסגרת ארבעה כתבי אישום שהוגשו נגדו ולימים תוקנו וצורפו זה לזה.,7.624139e-06,5.226527e-06,9.302035e-06,3.6674355e-05,5.9311474e-06,8.0833615e-06,8.316095e-06,5.1006096e-05,2.0435164e-05,2.1560007e-05,0.00054435513,6.277912e-05,0.0008516313,0.999998
