,sentence,true_label,predicted_label,probabilities
868,"הגם שאין לזקוף לחובתו של הנאשם את כפירתו באשמה ואת העובדה שבחר לנהל את משפטו, כאמור בסעיף 40יא(6) לחוק העונשין, אין הוא זכאי להקלה בעונש השמורה לנאשם שמודה, נוטל אחריות ומביע חרטה על מעשיו ובכך חוסך זמן שיפוטי יקר.",0,1,0.99926347
1048,"הנאשם הורשע במסגרת הסדר דיוני בעובדות כתב אישום מתוקן בעבירות ייצור, הכנה והפקת סם מסוכן לפי סעיף 6 לפקודת הסמים המסוכנים, התשל""ג-1973, ונטילת חשמל, לפי סעיף 400 לחוק העונשין, תשל""ז-1977 (להלן-החוק).",0,1,0.9991799
1054,"ביום 26.12.22 הציגו הצדדים הסדר דיוני, לפיו הנאשם יודה ויורשע בעובדות כתב האישום המתוקן ויופנה לקבלת תסקיר, ללא הסכמות עונשיות.",0,1,0.99916315
878,איני מתעלמת מהעובדה שהנאשם לא הודה בעבירות וגם לא קיבל עליו אחריות לאחר ההרשעה בפני שירות המבחן.,0,1,0.9991461
1442,"עובדות כתב האישום המתוקן והמוסכם בהן הודה הנאשם, ובכללן – האופן בו נערכו העסקאות למכירת הסמים המסוכנים, בין היתר לסוכן משטרתי, תוך אספקת סמים באופן מידי ובמשקל גבוה מעידות על מעורבות עומק בעולם הסמים המסוכנים, וכי הנאשם אינו ""קוטל קנים"" בתחום הסמים.",0,1,0.99909055
37,"כן טען כי עמדת המאשימה למקם את עונשו של הנאשם במרכז המתחם לו עתרה אף הוא לא מתכתב עם העובדה שמדובר בנאשם צעיר, נעדר עבר פלילי אשר הודה בהזדמנות הראשונה.",0,1,0.9990884
1257,"הנאשם הורשע על פי הודאתו ב-15 עבירות של סחר בסם מסוכן, לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: ""פקודת הסמים"").",0,1,0.99908745
929,"לא מצאתי לקבל את טענת ההגנה כי חלקו של הנאשם פחות בחומרתו משום שהוא שימש כ""שליח"", משום שהדבר אינו עולה במפורש מעובדות כתבי האישום המתוקנים בהן הודה.",0,1,0.99907553
285,לאחר ששמעתי את טיעוני הצדדים ונתתי דעתי לעבירות בהן הורשע הנאשם בכתב האישום המתוקן וכלל השיקולים לעיל אני גוזר על הנאשם את העונשים הבאים:,0,1,0.9990652
1345,"בהתאם לעובדות כתב האישום המתוקן כא/1, בהן הורשע הנאשם במסגרת הסדר טיעון, במועדים הרלוונטיים לעובדות כתב האישום, שימש השוטר מקסים שומסקי (להלן: ""הסוכן"") בפעילות כנגד סחר בסמים בעיר ערד (להלן: ""הפעילות"").",0,1,0.9990349
1030,"הנתונים המפורטים בתסקיר בד בבד עם הודייתו של הנאשם בעבירה והחרטה שהביע; גילו הצעיר; אופייה החד פעמי של העבירה; וקיומה של משפחה נורמטיבית ותומכת ברקע; מצביעים לטעמי על סיכוי של ממש כי הנאשם ישתקם, באופן המצדיק לתת לו הזדמנות לשוב אל המוטב ללא שירצה עונש מאסר מאחורי סורג ובריח.",1,0,0.9988901
1531,"הם ציינו כי יש להקל בעונשו של הנאשם גם לאור הפסיקה ששקלה את מעשה ההדחה, כשיקול לקולא לעניין העונש שיש להשית על הנאשם, וכן בשל כך שהסמים נתפסו וממילא לא נגרם נזק, ואף לאור מידת הפגיעה בנאשם ובמשפחתו בפרט בשים לב למצבה הרפואי של בתו, נטילת האחריות והודאתו כבר בחקירתו במשטרה.",1,0,0.9986904
503,"ביום 4.10.2021 הודה בכתב האישום כפי שהוא ללא הסדר, ובאותו יום צמצמתי את תנאי מעצר הבית למעצר בית לילי.",1,0,0.9984125
1080,"בהתחשב בהודאתו, לקיחת האחריות והעובדה שזהו מאסרו הראשון, עתרה למקמו בתחתית המתחם לצד ענישה נלווית של מאסר על תנאי, קנס בגובה עשרות אלפי שקלים ולהכריז עליו סוחר סמים.",1,0,0.9981932
918,"בהתחשב בהודאת הנאשם, החיסכון בזמן השיפוטי ונסיבות חייו, עתרה המאשימה להטיל עליו 5 שנות מאסר בפועל, מאסר מותנה, קנס בסך 20,000 ₪, פסילה בפועל ופסילה על תנאי של רישיון הנהיגה.",1,0,0.99756646
619,"כמו כן, במסגרת ההסדר הופנה הנאשם לקבל תסקיר לעניין העונש.",1,0,0.0045737466
1151,"עם מות אביו, הנאשם אישר כי קרניות עיניו יושתלו באדם שנזקק לכך, וכך זכה אותו אדם למאור עיניים.",1,0,0.0039392128
1366,"בהמשך ובסמוך לשעה 16:24, פגש הנאשם את חאלד בים המלח והעביר לידיו גרם של סם מסוכן מסוג קנבוס ובתמורה העביר חאלד לנאשם כסף מזומן בסך 200 ₪.",1,0,0.003029363
