,sentence,true_label,predicted_label,probabilities
171,אני מעכבת בזאת את תחילת ריצוי עונש המאסר וזאת למשך 14 יום מהיום.,0,1,0.9345744
1003,"נגזר עליו מאסר בפועל למשך 12 חודשים ומאסרים על-תנאי למשך 3 שנים ופיצוי לנפגע בסך 4,000 ₪.",0,1,0.92950684
1155,"ניתן עונש של 5.5 שנות מאסר, מאסר מותנה וקנס.",0,1,0.9293647
1002,"בגין אלו הוטלו עליו מאסר על תנאי, קנס והתחייבות להימנע מעבירה.",0,1,0.9289062
1325,על הנאשם הוטל מאסר בפועל למשך 12 חודש ומאסר מותנה.,0,1,0.927687
1670,"ניתנה היום, ו' טבת תשע""ח, 24 דצמבר 2017, במעמד הצדדים.",0,1,0.9224367
241,"ניתן היום,  ח' תשרי תשע""ה, 02 אוקטובר 2014, בנוכחות הצדדים.",0,1,0.9209662
873,"ועתרה להטיל על הנאשם 6 שנות מאסר בפועל, מאסר על תנאי, קנס, פסילת רישיון נהיגה למשך שנה מיום שחרורו ופסילה על תנאי.",0,1,0.9184242
169,"ניתן והודע היום י""ז טבת תשע""ה, 08/01/2015 במעמד הנוכחים.",0,1,0.91720176
477,"5129371זכות ערעור תוך 45 ימים מהיום לבית המשפט העליון, הודעה לנאשם.",0,1,0.9144462
752,אני מחליט לעכב את תחילת ריצוי המאסר עד לתאריך 04.07.17.,0,1,0.9092727
662,"בסך הכל ביקש להטיל על הנאשם עונש של חמש שנים ושמונה חודשי מאסר, קנס ופיצוי למתלונן בתיק הגניבה.",0,1,0.9076837
165,"הקנס ישולם ב - 10 תשלומים, חודשיים, שווים ורצופים בסך 500 ₪ כל אחד.",0,1,0.90698665
222,בית המשפט המחוזי הטיל עליו עונש של 48 חודשי מאסר בפועל ו-18 חודשי מאסר על תנאי.,0,1,0.9030938
213,"54678313ניתן היום,  ט""ו תמוז תשע""ד, 13 יולי 2014, בהעדר הצדדים.",0,1,0.90243256
248,"במכלול השיקולים והנסיבות, הוטלו על הנאשם 9 חודשי מאסר בפועל ו- 15 חודשי מאסר על תנאי .",0,1,0.8987894
404,"הנאשם יחתום על התחייבות על סך 25,000 ₪, לפיה הוא לא יעבור העבירה בה הורשע או כל עבירת אלימות מסוג פשע, וזאת תוך שנתיים מיום שחרורו ממאסר.",0,1,0.89850414
1579,"פיצוי בסך 5,000 ₪ למר עאמר אבו עראר.",1,0,0.8871105
790,"שישה חודשים מתוך תקופת המאסר תרוצה בחופף, והיתר במצטבר, כך שתקופת המאסר שהוטל על הנאשם בגין שלושת התיקים תעמוד על ארבע שנים וחודש אחד, שיימנו החל מיום מעצרו.",1,0,0.88272697
1698,"7 חדשי מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם ממאסרו, שהנאשם לא יעבור עבירה בניגוד לחוק העונשין, תשל""ז-1977, סעיף 144(א) סיפא או סעיף 186;",1,0,0.87378657
1697,"12 חדשי מאסר על תנאי למשך 3 שנים מיום שחרורו של הנאשם ממאסרו, שהנאשם לא יעבור עבירה בניגוד לחוק העונשין, תשל""ז-1977, פרק ח' סימן א', למעט עבירה בניגוד לסעיף 144(א) סיפא לאותו חוק;",1,0,0.86507916
1357,"(ד) אני נעתר לבקשת התביעה ומורה על חילוט אופנועו של הנאשם, מסוג קואנג יאנג טיו מ.ר.",1,0,0.22018242
984,"לאחר ששקלתי, כאמור, את הנסיבות שאינן קשורות בביצוע העבירה, הגעתי לכלל מסקנה כי מן הראוי להשית על הנאשם בתיק זה עונש של 16 חודשי מאסר בפועל, בצד רכיב ענישה של מאסר מותנה משמעותי ומרתיע.",1,0,0.12905264
