,sentence,true_label,predicted_label,probabilities
1166,"בהמשך נכנס עג'אג' לרכבו של הנאשם והסוכן מסר לידיו 25,000 ₪ ולנאשם 1,000 ₪.",0,1,0.9999925
789,הרימון נחת והתפוצץ בחצר הבית צמוד לקיר החיצוני בסמוך לחלון ולמדרגות החיצוניות המובילות לקומה השניה.,0,1,0.9999925
1059,"לאחר דין ודברים, סיכמו הסוכן ועג'אג' על מחיר בסך 68,000 ₪ בתמורה לרובה.",0,1,0.9999925
1163,"בשלב זה, העביר הסוכן לידי הנאשם 24,000 ₪ מתוכם קיבל הנאשם 1,000 ₪.",0,1,0.9999924
1377,"חוק העונשין, תשל""ז-1977: סע'  40ד, 40ט, 144(א), 40יא, 40יג",0,1,0.9999924
813,"לאחר ששקלתי, כאמור, את הנסיבות שאינן קשורות בביצוע העבירה, הגעתי לכלל מסקנה כי מן הראוי להשית על הנאשם בתיק זה עונש של 16 חודשי מאסר בפועל, בצד רכיב ענישה של מאסר מותנה משמעותי ומרתיע.",0,1,0.9999924
1643,"ביחס לעונש המתאים, סברה ב""כ המאשימה כי על בית המשפט לגזור על הנאשם עונש מאסר בחציו העליון של המתחם וזאת בהתחשב מחד בחומרת העבירה ובצורך להרתיע את הרבים ואת הנאשם ומנגד בהתחשב בכך שהנאשם הודה בהזדמנות ראשונה ובהמלצת שירות המבחן.",0,1,0.9999924
1630,"כבוד בית המשפט קבע כי הוא אינו מתעלם מהנסיבות לקולא שפורטו בגזר הדין ""דהיינו, היותו של המשיב ""בגיר-צעיר"", היותו מנהל אורח חיים נורמטיבי והודאתו בכתב האישום המתוקן.",0,1,0.9999924
245,"על פי סעיף 40יא לחוק, נסיבות הקשורות בנאשם, כהודאתו, יילקחו בחשבון בתוך מתחם העונש ההולם שנקבע.",0,1,0.9999924
1149,"בהתייחסו לנסיבות ביצוע העבירה, הנאשם ציין כי במסגרת חלוקת עיתונים, בשעות הקטנות של הלילה, הוא מצא את הנשק אך חשש למוסרו בעצמו למשטרה.",0,1,0.9999924
676,"עם זאת, לטובת הנאשם, יש לציין את מרחק הנשיאה הקצר של הנשק ע""י הנאשם.",0,1,0.9999924
