,sentence,true_label,predicted_label,probabilities
438,"הנאשם פעל כאמור בין ינואר 2022 לבין אפריל 2023, כאשר במסגרת מימוש הקשר, בדירות שהוכשרו כאמור, ביחד עם אחרים, גידל, ייצר, הפיק, הכין והחזיק סם מסוכן מסוג קנבוס, וכן החזיק כלים המשמשים להכנה ולגידול הסם.",0,1,0.99996126
508,"בעניין דרחי הנ""ל הוטלו 30 חודשי מאסר על נאשם ללא עבר פלילי משמעותי, אשר הקים מעבדה לגידול סם מסוג קנבוס במספר חדרים בדירה אשר בחזקתו.",0,1,0.9999608
1456,"השניים נפגשו למחרת, בתחנת אוטובוס בירושלים, הסוכן התיישב במונית של הנאשם, ואז הנאשם מכר לו את הסם במשקל של 10.0218 גרם נטו בתמורה לסך של 4,400 ₪.",0,1,0.9999604
2711,מדובר בסם קשה מסוג קוקאין ובמשקל לא מבוטל שניתן להפיק ממנו כמות גדולה מאד של מנות סם.,0,1,0.9999603
247,"מיד לאחר מכן שוחחו וילי והסוכן שוב וסיכמו כי הסוכן ישלם לוילי בעבור 100 גרם קוקאין סכום של 22,000 ₪.",0,1,0.9999602
629,"במקרה זה נאשם 1, בסיוע נאשם 2 ששכר עבורו יחידת גג גדולה, הקים ""מעבדה"" לגידול קנבוס.",0,1,0.9999597
2274,אישום מס' 4: ביום 16.12.18 ביקש הנאשם מבר לרכוש 100 גרם של סם מסוכן.,0,1,0.99995947
1622,"משקל הסם בו סחר הנאשם אינו מבוטל ועומד על 96.71 גרם תמורת 23,500 ₪.",0,1,0.99995947
2764,בהמשך נפגשו השניים בפארק והנאשם מכר לו גרם קנבוס בתמורה לסכום לא ידוע.,0,1,0.99995935
1884,ביום 23.2.22 יצר הסוכן קשר עם הנאשם וביקש ממנו לרכוש כמות קטנה של סם מסוכן מסוג קוקאין לצורך בדיקת איכות הסם.,0,1,0.99995923
245,"בתאריך 19.6.22 בשעה 15:06, נוצר קשר טלפוני בין וילי לבין הסוכן והשניים סיכמו כי וילי ימכור לסוכן 100 גרם של סם מסוכן מסוג קוקאין (להלן: ""הסם"" או ""העסקה"", בהתאמה).",0,1,0.9999591
1904,"במעשיו המתוארים לעיל, תיווך הנאשם, בתמורה, בעסקת סחר בה נמכרו סמים מסוכנים מסוג קוקאין, ללא שהותר הדבר בפקודה, בתקנות או ברישיון מאת המנהל.",0,1,0.99995875
146,"הנאשם נעדר עבר פלילי, החל לצרוך סמים בגיל 13 בנסיבות חברתיות, ומגיל 17 החל לצרוך סמים מסוג קוקאין ו – LSD.",0,1,0.99995863
2269,"הנאשם השיב כי מסר בוודאות כמות של 50 גרם, ולא 42 גרם כפי שטען הקונה.",0,1,0.99995863
255,"במספר הזדמנויות במהלך חודשים יולי, אוגוסט 2022, פנה וילי לסוכן והציע למכור לו סם מסוכן מסוג קוקאין (להלן: ""הסם"").",0,1,0.9999585
3122,"כאמור, כאשר מדובר בעבירות סמים ישנה חשיבות לכמות הסם וסוגו, כאשר מקובל לנקוט במדיניות שונה בין מבצעי עבירות בסמים מסוג הרואין וקוקאין לבין מבצעי עבירות בסמים מסוג חשיש וקנבוס.",0,1,0.9999585
2117,"במועד המתואר לעיל נהג הנאשם בהיותו שיכור, תחת השפעת סמים מסוכנים, בכך שעל פי בדיקת שתן אשר בוצעה לו כדין נתגלו תוצרי חילוף חומרים של החומר הפעיל קנבוס.",0,1,0.9999584
188,"הנאשם מתכנן ומבצע את היבוא למקום שהוא מתכנן מראש, גורם ליבוא ארבעה כדים בעלי דופן כפולה בהם הוסלקו הסמים במשקל של 700 גרם נטו.",0,1,0.99995804
246,"במסגרת זו, ובמועד הנ""ל, וילי שלח לסוכן באמצעות יישומון לתקשורת אינטרנטית ""Telegram"" (טלגרם), סרטונים בהם נראים סמים מסוג קוקאין בתצורות שונות על מנת שהסוכן יוכל לבחור מביניהם.",0,1,0.99995804
2271,"ביום 16.12.18 הודיע בר לנאשם כי שלח אליו לקוחה, המגיעה כדי לרכוש סם במשקל 50 גרם, תוך שהדגיש בפניו כי המדובר בנוכלת.",0,1,0.99995756
455,"בענייננו, הורשע הנאשם בנוגע לשמונה מעבדות, בהן גודל סם במשקל העולה על 170 ק""ג.",0,1,0.99995756
195,"הנאשם ייבא סם מסוכן תוך תכנון, הסלקה והפעלת גורמים נוספים, כאשר מדובר בסם מסוכן בכמות גדולה, סם אשר כאמור בת.פ.",0,1,0.9999567
515,"הנאשם אברהם חודדטוב (להלן אברהם), אשר לחובתו שבע הרשעות קודמות בנושא סמים, רכוש ואלימות, הורשע על פי הודאתו בכתב אישום מתוקן שכלל עבירות של ייצור סם באמצעות גידולו, החזקת סם שלא לצריכה עצמית, החזקת כלים ונטילת חשמל, בנוגע להפעלת שלוש מעבדות, בהן נתפסו סמים במשקל של כ- 36 ק""ג.",0,1,0.9999566
2435,"ב""כ הנאשם טען כי מתחם העונש לו עותרת המאשימה הוא גדול ורחב מידי, ומתאים לכמות גדולה של שתילים, ומשקל של למעלה מ-5 ק""ג, והפסיקה אליה הפנתה ב""כ המאשימה לא התייחסה למקרה בו הייתה כמות קטנה יחסית של שתילים ובמשקל של מספר מאות גרמים.",0,1,0.99995613
2784,"הנאשם תיאר שימוש חברתי בקנבוס, לא התייצב למרבית בדיקות השתן אליהם זומן, ובשתיים אליהן התייצב נמצאו שרידי קנבוס.",0,1,0.99995613
2888,"עולה מהמקובץ כי בנסיבות מסוימות, גם בסמים מסוכנים וקטלניים מאלו שלפניי, לרבות קוקאין ו-MDMA, ואף בעבירות חמורות מאלו שלפני מבחינת היקפן וכמויות הסם, ובעבירות נוספות, כגון עבירות אלימות ופגיעה בטוהר המידות ובסדר הציבורי – ניתן לסיים הליך בביטול ההרשעה.",0,1,0.9999552
1089,"חלק מהפסיקה שהבאתי לעיל, עניינה בעבירות של סחר בסם מסוג קנאביס.",0,1,0.99995506
1562,"עוד צוין שימוש ספורדי בסמים מסוג קנאביס, שהתחיל סמוך לפטירת אחיו, וכיום השימוש מיועד להקלה בכאבים מהם סובל בעקבות תאונת דרכים בה היה מעורב לפני מספר שנים.",0,1,0.9999548
190,"נסיבות אלו של יבוא סם מסוכן בכמות גדולה של 700 גרם, תוך תכנון, הסלקה והכל תוך הפעלת אחר ומעורבות של גורמים נוספים, מעמידות את העבירה אשר ביצע הנאשם ברף גבוה של חומרה, בנסיבות בה בוצעה.",0,1,0.9999546
454,"בראש ובראשונה, הדגישה התובעת כי ליתר הנאשמים יוחסו שלושה אישומים בנוגע לשלוש מעבדות, אשר בהן גודלו 90 ק""ג של סם.",0,1,0.99995434
259,"לבקשת וילי, שוחחו הסוכן והנאשם, ובמהלך השיחה הנאשם עדכן את הסוכן כי העלות ל- 120 גרם סם הינה 28,800 ₪ (להלן: ""הסכום"").",0,1,0.999954
891,בבדיקת דם שבוצעה לנאשם נמצאו שרידים של קנביס וקוקאין.,0,1,0.9999527
827,"נאשם אשר הורשע, לאחר ניהול הוכחות, בעבירה של החזקת סם מסוכן שלא לצריכה עצמית ובעבירות נלוות (החזקת סם מסוג הרואין במשקל של 24 גרם), ונדון ל- 24 חודשי מאסר בפועל (בית-משפט השלום קבע מתחם שבין 9 ל- 30 חודשי מאסר).",0,1,0.99995244
988,"כך גם, כמות הסם שנסחרה נמוכה והתמורה הכספית שניתנה עבורה איננה גבוהה (כ- 5 גרם ומאתיים ש""ח).",0,1,0.9999516
256,"בתאריך 13.8.22 ולאור הפניות הנ""ל, נוצר קשר בין וילי לסוכן וסוכם בין השניים שוילי ימכור לסוכן 120 גרם סם (להלן: ""העסקה"").",0,1,0.99995077
3257,35 ריבועי נייר מסוג LSD.,1,0,0.9999496
1891,"כמו כן, במהלך הפגישה אמר הסוכן לנאשם ולאדהם, כי אם הקוקאין יהיה טוב, הוא יבקש לרכוש קילו קוקאין, ובתגובה אמר לו אדהם, כי הוא יכול למכור לו קוקאין בכל כמות ובכל זמן, וקבעו להמשיך את הקשר ביניהם.",1,0,0.999949
1826,"אין צורך להכביר מילים אודות חומרת העבירות בהן הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו וודאי כאשר עסקינן בסמים שונים מסוג חשיש וMDMA וכן הפגיעה בביטחון המשתמשים בדרך בעת שהנאשם נהג ברכב וזאת למרות שלא החזיק ברישיון נהיגה בתוקף, למרות שרישיון נהיגתו נפסל על ידי בית המשפט ובהיעדר ביטוח.",1,0,0.9999467
1828,"כך גם אין חולק כי מדובר בסמים מסוכנים, מסוג חשיש וMDMA אשר החזקתם פוגעת בבריאות הציבור, בשלומו, בפגיעה הפיזית והנפשית אשר עלולה להיגרם כתוצאה ממנו, הן בטווח המידי והן בטווח הממושך, וודאי כאשר מדובר בנזקים שנגרמים לחברה כתוצאה מהשימוש בסם גם על ידי הפרט, מאחר שגם המשתמש הבודד מהווה סכנה מידית ומוחשית לסביבתו ולחברה בכללותה.",1,0,0.9999454
1230,"ביחס למספר השתילים (254 שתילים במשקל של כ- 159 ק""ג) והסמים שנתפסו בסופו של יום, טענה ב""כ המאשימה, כי מדובר באחת המעבדות הגדולות ביותר במחוז תל אביב שכרגע נדונות בבית המשפט.",1,0,0.9999356
3089,"ב""כ המאשימה הביע תמיהה נוכח דברי הנאשם בשירות המבחן, לפיהם גידל חשיש מבלי שהיה מודע לחומרת מעשיו.",1,0,0.9999281
1306,"נוסף לכך הורשע הנאשם בסחר בהרואין וקוקאין בלפחות 50 הזדמנויות נוספות: באישום 5 בתדירות של פעם בשבוע במשך כל התקופה  (17 הזדמנויות), באישום 6 בתדירות של 3 פעמים בשבוע החל מ-5.11.2021 ועד תום התקופה (24 הזדמנויות) ובאישום 7 בתדירות של פעם בשבוע למשך חודש (9 הזדמנויות) תמורת 100 ₪, בכל הזדמנות כאשר בשאר האישומים הורשע הנאשם במכירה במספר הזדמנויות לא ידוע.",1,0,0.9999273
405,"הדברים אמורים ביתר שאת ביחס לעבירות של יבוא והפצת סם ה-GBL, כבענייננו, אשר בשל מאפייניו הייחודיים קיים חשש של ממש כי ייעשה בו שימוש לביצוע עבירות מין, תוך סימום ואלחוש הקורבנות בלי שיבחינו בכך באופן שימנע מהם לזכור את אשר אירע.",1,0,0.9999094
1902,"כאשר התיישב אדהם ברכבו, מסר אדהם לסוכן את הקוקאין ובתמורה קיבל מהסוכן סכום של 110,000 ₪.",1,0,0.9992248
2332,"מכתב האישום עולה, כי בתאריכים 12.9.2021, 13.9.2021 ו-3.10.2021 סחר הנאשם בקנביס מול שלושה שוטרים סמויים שונים.",1,0,0.9989573
1901,"או אז, הלכו אדהם והסוכן לרכבו של הסוכן כשאדהם מחזיק בקוקאין.",1,0,0.7480536
2423,"אשר לנסיבות שאינן קשורות בביצוע העבירה, ב""כ הנאשם טען כי כבר בעת החיפוש בביתו, הנאשם מסר לשוטרים את השקית עם סם הקנבוס, פתח את החדר, הראה להם את האוהל, ושיתף פעולה למן הרגע הראשון.",1,0,0.1805328
1883,"בהמשך לאמור, במספר הזדמנויות עובר ליום 23.2.22, יצר הנאשם קשר עם הסוכן במטרה לוודא, כי הסוכן עדיין מעוניין ברכישת הקוקאין.",1,0,0.00026692054
1162,"לשם כך התקין בה ציוד להפקה, הכנה וטיפול בקנבוס, כולל גופי תאורה ייעודיים, מערכות אוורור והשקיה, אדניות וחומרי דישון.",1,0,1.630527e-05
1537,"לאחר מכן, התקשר הנאשם לסוכן ואישר כי באפשרותו למכור לו את הקוקאין והשניים קבעו להיפגש בשעות הערב לצורך ביצוע העסקה.",1,0,1.1147262e-05
