,verdict,text,part
0,ME-16-05-25902-514,חוסני קשקוש (עצור בפיקוח),נגד
1,ME-16-05-25902-514,"חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב)",הנאשם
2,ME-16-05-25902-514,"הנאשם הודה במסגרת הסדר טיעון בעובדות כתב אישום מתוקן והורשע על סמך הודאתו בעבירות של נשיאת נשק, עבירה לפי סעיף 144(ב) רישא וסיפא לחוק העונשין, התשל""ז-1977 ובעבירה של החזקת נשק, עבירה לפי סעיף 144(א) רישא וסיפא לחוק.",עובדות כתב האישום
3,ME-16-05-25902-514,"על פי עובדות כתב האישום המתוקן, ביום 31.12.13 נגנב אקדח מסוג ברטה מספר סידורי 682663 (להלן: ""האקדח"") מביתו של דינו תמאם.",עובדות כתב האישום
4,ME-16-05-25902-514,"במהלך חודש פברואר 2016 , במועד מדויק שאינו יודע למאשימה, רכש הנאשם את האקדח והחזיק בו במקלט ביתו בקלנסוואה וכן החזיק מחסנית ובה 7 כדורים.",עובדות כתב האישום
5,ME-16-05-25902-514,"למן חודש פברואר 2016 ועד ליום 8.5.16, בימים בהם יצא הנאשם לעבודתו בשעת בוקר מוקדמת, נהג הנאשם לשאת עמו את האקדח ואת המחסנית לעבודתו.",עובדות כתב האישום
6,ME-16-05-25902-514,"ביום 8.5.16 , בסמוך לשעה 06:00 , נשא הנאשם את האקדח ובתוכו המחסנית על גופו מתחת לבגדיו.",עובדות כתב האישום
7,ME-16-05-25902-514,ביום 1.3.2017 הוגש תסקיר לעונש של שירות המבחן.,תסקיר שירות המבחן:
8,ME-16-05-25902-514,"לנאשם זוהי מעורבותו הראשונה והיחידה בפלילים, הוא קיבל אחריות על מעשיו והביע חרטה וצער.",תסקיר שירות המבחן:
9,ME-16-05-25902-514,לשירות המבחן הסביר הנאשם כי החזיק בנשק ונשא אותו על רקע חשש לשלומו בעקבות איומים שקיבל מצד בעלה של אשה על רקע ניהול קשר עמה מחוץ לנישואין.,תסקיר שירות המבחן:
10,ME-16-05-25902-514,"בעקבות סכסוך זה נזרק רימון לעבר ביתו, דבר שהעצים את תחושת החרדה והחשש לפגיעה ממשית בו ובבני משפחתו.",תסקיר שירות המבחן:
11,ME-16-05-25902-514,הנאשם הגיש תלונה למשטרה נגד החשוד שאיים עליו.,תסקיר שירות המבחן:
12,ME-16-05-25902-514,"הנאשם מודע לחומרת מעשיו והסיכון שבהם כמו גם לקיומן של אלטרנטיבות חוקיות לפתרון הסכסוך, מודע להשלכות מעשיו על בני משפחתו ובעיקר על הקשר עם אשתו שהתערער.",תסקיר שירות המבחן:
13,ME-16-05-25902-514,"שירות המבחן העריך את רמת הסיכון הנובע מן הנאשם כרמת סיכון נמוכה וזאת בשל העובדה כי מדובר במעורבות ראשונה בפלילים, מילוי תפקידים בעלי אחריות מגיל צעיר, ניהול אורח חיים נורמטיבי, דאגה לפרנסת אמו וגילוי אחריות כלפי אשתו ובנותיו כמו גם אי שימוש בחומרים ממכרים במהלך חייו, קבלת האחריות על ביצוע העבירה וביטוי חרטה בגינה, מודעותו לפסול בהחזקת נשק, קיום של גורמי תמיכה משמעותיים היכולים להוות גבול חיצוני מפני הישנות התנהגות עוברת חוק ,ההליך המשפטי כגורם מרתיע ומעצרו הארוך באיזוק אלקטרוני ללא הפרות.",תסקיר שירות המבחן:
14,ME-16-05-25902-514,"לאור כל אלה, המליץ שירות המבחן על ענישה מוחשית וקונקרטית  בדרך של עבודות שירות.",תסקיר שירות המבחן:
15,ME-16-05-25902-514,"ב""כ המאשימה טען כי הנאשם רכש נשק גנוב בפברואר 2016, החזיק אותו בביתו ביחד עם מחסנית ו-7 כדורים ובמהלך תקופה של 3 חודשים יצא כל יום מביתו כשהוא נושא את הנשק יחד עם המחסנית והכדורים.","טיעוני ב""כ המאשימה:"
16,ME-16-05-25902-514,הערך המוגן בעבירות מסוג זה הינו הסכנה לשלום הציבור ובטחונו.,"טיעוני ב""כ המאשימה:"
17,ME-16-05-25902-514,בקביעת המתחם בית המשפט נדרש לענישה הנוהגת הגם שלאחר תיקון 113 הענישה הנוהגת היא אחד ממספר שיקולים ולעולם הענישה הראויה גוברת על הענישה הנוהגת.,"טיעוני ב""כ המאשימה:"
18,ME-16-05-25902-514,פסיקת בית המשפט העליון מורה על החמרה מתונה ומתמשכת בעבירות נשק בשל העובדה שמדובר בתופעת מדינה וגם תופעת מחוז.,"טיעוני ב""כ המאשימה:"
19,ME-16-05-25902-514,"ב""כ המאשימה עתר לקביעת מתחם הנע בין 24 ל – 48 חודשי מאסר בפועל.","טיעוני ב""כ המאשימה:"
20,ME-16-05-25902-514,"הנשק עצמו הוא נשק גנוב, מדובר בנשק ותחמושת שהוחזקו יחד ולא רק בנשק, דבר שמגדיל את פוטנציאל הנזק, ומדובר בהחזקה מתמשכת.","טיעוני ב""כ המאשימה:"
21,ME-16-05-25902-514,כן הפנה לפסיקה כמפורט להלן:,"טיעוני ב""כ המאשימה:"
22,ME-16-05-25902-514,"בית המשפט העליון קבע כי ""החזקת נשק בידי מי שאינו מורשה לכך מהווה סיכון מובהק לציבור, ועל כן הדגישה הפסיקה כי מבצעיהן של עבירות מסוג זה עלולים לשלם על כך גם במחיר של כליאתם מאחורי סורג ובריח.","טיעוני ב""כ המאשימה:"
23,ME-16-05-25902-514,"באשר לטענה כי הנאשם חש מאוים, טען ב""כ המאשימה כי החומרה והסיכון העיקריים בהחזקת נשק הוא הפוטנציאל להסלמה עבריינית, והנאשם בענייננו מאשר שהחזקת הנשק קשורה לסכסוך עברייני כלשהו.","טיעוני ב""כ המאשימה:"
24,ME-16-05-25902-514,תפקידו של בית המשפט להבהיר לכל צד בסכסוך כי ההחזקה ללא רישיון אסורה.,"טיעוני ב""כ המאשימה:"
