,verdict,text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP
0,ME-16-01-3772-806,עלא מחאמיד (עצור בפיקוח),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ME-16-01-3772-806,עלא מחאמיד (עצור בפיקוח),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ME-16-01-3772-806,"ב""כ המאשימה: עו""ד אדם סרי",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ME-16-01-3772-806,"ב""כ הנאשם: עו""ד שאדי סרוג'י",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ME-16-01-3772-806,"חוק העונשין, תשל""ז-1977: סע'  29, 40ט(א), 144(א), 144(ב), 144(ג), 40יא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ME-16-01-3772-806,"הנאשם הורשע על פי הודייתו בעובדות כתב אישום אשר תוקן, במסגרת הסדר טיעון, בעבירות של החזקת נשק שלא כדין, לפי סעיפים 144(א) (רישא + סיפא) + 144(ג) + 29 לחוק העונשין, תשל""ז – 1977 (להלן: ""חוק העונשין""), ונשיאת והובלת נשק שלא כדין, לפי סעיפים 144(ב) (רישא + סיפא) + 144(ג) לחוק העונשין.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ME-16-01-3772-806,הסדר הטיעון לא כלל הסכמה לגבי העונש.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ME-16-01-3772-806,"בעובדות כתב האישום המתוקן (להלן: ""כתב האישום"") נאמר כי בין הנאשם למחמד ג'בארין (להלן: ""מחמד""), תושב כפר סאלם, ישנה היכרות מוקדמת.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ME-16-01-3772-806,"במהלך שנת 2009, החזיקו הנאשם ומחמד, בצוותא חדא, רובה MP5, שהינו נשק שסוגל לירות כדור שבכוחו להמית אדם, וכן מחסנית וכדורים, בלא רשות על פי דין להחזקתם.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,ME-16-01-3772-806,"בשנת 2011, או בסמוך לה, החזיקו הנאשם ומחמד, בצוותא חדא, בלא רשות על פי דין, תת מקלע מאולתר, שהינו נשק שסוגל לירות כדור שבכוחו להמית אדם, וכן מחסנית וכדורים.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,ME-16-01-3772-806,"במהלך שנת 2011 הוביל ונשא הנאשם את תת המקלע המאולתר, המחסנית והכדורים למקום המכונה ""אלרוחה"", שם ירה באמצעות תת המקלע המאולתר כ-20 כדורים.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,ME-16-01-3772-806,"הנאשם ומחמד החזיקו בצוותא חדא בתת המקלע המאולתר והמחסנית במטע זיתים במעאוויה, בלא רשות על פי דין להחזקתם, עד ליום 20.12.15, אז נתפס תת המקלע המאולתר על ידי המשטרה, בסמוך לביתו של הנאשם.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ME-16-01-3772-806,תחילה כפר הנאשם במיוחס לו ועל כן נשמעו חלק מעדי התביעה.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ME-16-01-3772-806,"ביום 10.7.16, הודיעו הצדדים כי הגיעו להסדר טיעון, במסגרתו יחזור בו הנאשם מכפירתו, יודה בעובדות כתב אישום מתוקן והצדדים יטענו באופן חופשי לעונש.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ME-16-01-3772-806,"לבקשת הסנגורית, ובשים לב לעברו הנקי ולעובדה שזוהי הסתבכותו הראשונה בפלילים, הוריתי על הפניית הנאשם לשירות המבחן לצורך עריכת תסקיר בעניינו בטרם שמיעת הטיעונים לעונש.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ME-16-01-3772-806,"בתסקיר שירות המבחן מיום 13.10.16 צוין כי הנאשם בן 34, יליד ישראל, נשוי ואב לשני ילדים בגילאי 4 שנים ו-10 חודשים, המתגורר בכפר מעאוויה עם משפחתו.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ME-16-01-3772-806,בחודשים האחרונים הוא עובד בעבודות מזדמנות בתחום הקצבות בכפר קרע.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ME-16-01-3772-806,"עם סיום לימודיו התיכוניים עבד הנאשם מספר שנים בעבודות מזדמנות בתחום הטבחות, עד שהחל בלימודי תואר ראשון במכללת תל חי, בפקולטה להנדסאות אלקטרוניקה, אותם סיים בהצלחה.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ME-16-01-3772-806,"לאחר סיום לימודיו עבד בבתי הזיקוק בחיפה, בתחום האלקטרוניקה, במשך שנה וחצי, ולאחר מכן עבד משך שלוש שנים ברשת לייצור בשר ומכירתו בכפר כנא.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ME-16-01-3772-806,"בהתייחס לעבירות נשוא כתב האישום, התרשם שירות המבחן כי הנאשם לוקח אחריות על חלק מן המעשים המיוחסים לו, תוך שהוא חש חרטה, המלווה בתחושות ממשיות של אשמה ובושה.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20,ME-16-01-3772-806,"יחד עם זאת, התרשם שירות המבחן מאלמנטים של תכנון שקדם לביצוע העבירות.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ME-16-01-3772-806,"הנאשם ציין בפני שירות המבחן כי בינו לבין מחמד שררה היכרות מוקדמת, סביב תחביבם המשותף הנוגע לגידול סוסים.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ME-16-01-3772-806,"לדבריו, הוא ידע שברשותו כלי נשק ורכשם ממנו ואחסנם במטע הזיתים, לצורך תחושת בטחון.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,ME-16-01-3772-806,"לצד זאת, נאמר כי הנאשם התקשה לקחת אחריות על הירי בתת המקלע המאולתר, המיוחס לו בכתב האישום, כאשר טען כי לא ירה באמצעותו 20 כדורים.",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,ME-16-01-3772-806,צוין כי עיון בגיליון רישומו הפלילי מעלה כי אין לחובתו הרשעות קודמות.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ME-16-01-3772-806,"שירות המבחן התייחס לתסקיר המעצר שנערך בעניינו של הנאשם בגדר ההליך הנוכחי, ובו התרשם מקיומם של פערים בין מאפייני אישיותו כמו גם אורח החיים שניהל עד למעצרו והיציבות המשפחתית והתעסוקתית בחייו, לבין העבירות המיוחסות לו.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,ME-16-01-3772-806,"על רקע פערים אלה, התקשה שירות המבחן להעריך את הסיכון הנשקף מהתנהגותו, אם כי התרשם שאינו מתאפיין בדפוסי עבריינות מושרשים וכי מדובר באדם שהצליח להסתגל למסגרות חברתיות שונות.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,ME-16-01-3772-806,"בסופו של תהליך האבחון, המליץ שירות המבחן על שחרורו של הנאשם בתנאים מגבילים, לצד העמדתו בצו פיקוח מעצר.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ME-16-01-3772-806,"במהלך תקופת הפיקוח, שולב הנאשם בקבוצה טיפולית העוסקת בעבירות של החזקת נשק.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ME-16-01-3772-806,"נמסר כי הנאשם שיתף פעולה עם תוכנית הטיפול באופן מלא, שיתף בעולמו הרגשי, התבונן על דפוסי התנהגותו הפסולים באופן ביקורתי ומעמיק, גילה מעורבות גבוהה בתהליך הקבוצתי ובלט לחיוב ביכולותיו הקוגניטיביות והרגשיות הגבוהות.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ME-16-01-3772-806,"בבואו להעריך את הסיכון להישנות עבירות דומות בעתיד, ציין שירות המבחן את התרשמותו כי ברקע להתנהגותו הפסולה לא עמדה הזדהות עם נורמות וערכים עברייניים, אלא גורמים רגשיים כגון קושי בהפעלת שיקול דעת הולם לצד התמודדות מתמשכת ורבת שנים עם תחושות של חולשה, נחיתות וחוסר אונים אותן חווה במסגרת התא המשפחתי בו גדל, אותן ניסה להמיר בתחושות של בטחון והגנה דרך רכישת הנשק והחזקתו.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ME-16-01-3772-806,"עוד התרשם שירות המבחן מיכולת טובה לתפקוד יציב וסתגלני במסגרות וכן לוויסות דחפים ותוקפנות, מהיעדרן של אינדיקציות לקיומם של יסודות התמכרותיים או למעורבות בתת תרבות עבריינית, מקיומם של רגשות חרטה, אשמה ובושה ממשיים בגין ביצוע המעשים עליהם נטל אחריות, ומיכולת גבוהה להיתרם מקשר טיפולי לשם התבוננות ביקורתית ומעמיקה בדפוסי התנהגותו הפסולים, תוך חיבור רגשי לחומרת מעשיו והשלכותיהם.",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,ME-16-01-3772-806,"יחד עם זאת, התרשם גם מקיומו של פער בין יכולתו התפקודית הגבוהה במישורי חייו השונים לבין חומרת המעשים המיוחסים לו בכתב האישום המתוקן, אשר נובע להערכתו מקשייו הרגשיים.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ME-16-01-3772-806,"בסיכומו של דבר, התרשם שירות המבחן מרמת סיכון נמוכה להישנות עבירות דומות בעתיד, הן בשל רתיעתו הרבה מהסיטואציה המשפטית בה הוא נמצא והן בשל השלכותיה של השתתפותו בקבוצה הטיפולית על דפוסי חשיבתו והתנהגותו.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ME-16-01-3772-806,"הודגש כי על אף כברת הדרך שעבר בתהליך הטיפולי, עדיין קיימת נזקקות טיפולית, לצורך שימור תובנותיו הטיפוליות ולהתקדמות והעמקה בתהליך הטיפולי.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ME-16-01-3772-806,הנאשם מצדו הביע רמות גבוהות של נכונות ומוטיבציה להשתלב בתהליך טיפולי המשכי.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ME-16-01-3772-806,"בשקלול כלל הנתונים, המליץ שירות המבחן על העמדתו של הנאשם בצו מבחן למשך 18 חודשים, במהלכם ישולב בתהליך טיפולי אינטנסיבי, שמטרותיו שיפור יכולתו להתמודדות אדפטיבית עם רגשות שליליים ולהפעלת שיקול דעת הולם.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ME-16-01-3772-806,"בצד זאת הומלץ על ענישה קונקרטית ומוחשית, בדמות מאסר לריצוי בעבודות שירות, אשר תחדד עבורו את השלכות מעשיו הפסולים.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ME-16-01-3772-806,מטעם המאשימה לא הוגשו ראיות לעונש.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ME-16-01-3772-806,"מטעם הנאשם הוגשו תעודת הצטיינות שהוענקה לו בגין סיום שנת לימודיו הראשונה במגמת אלקטרוניקה במכללת תל חי בהצטיינות, תעודת הנדסאי אלקטרוניקה, וגיליון ציוניו מלימודיו לתואר (סומנו יחד נע/1).",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ME-16-01-3772-806,"לגישת המאשימה, העבירות בהן הורשע הנאשם מצריכות קביעת שני מתחמי ענישה נפרדים, האחד בגין החזקת רובה ה-MP5 והמחסנית, הנע בין 2 ל-4 שנות מאסר בפועל, והשני בגין החזקת תת המקלע המאולתר, הכדורים והמחסנית, הנע בין 2.5 ל-5 שנות מאסר בפועל.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ME-16-01-3772-806,"המאשימה טענה כי חומרתן של העבירות בנשק והפוטנציאל של סיכון חיי אדם הגלום בהן, תדירותן ההולכת וגוברת, ההסתברות לעבירות נלוות וכן הרתעת הרבים, מחייבים נסיגת משקל הנסיבות האישיות ומתן דגש על שיקולי הרתעה, גמול ומניעה.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ME-16-01-3772-806,נאמר כי בתי המשפט הביעו דעתם פעמים רבות על חומרתן של עבירות בנשק והצורך בהטלת ענישה מרתיעה כחלק מהמאבק בהן.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ME-16-01-3772-806,"נטען כי העבירות של החזקת ונשיאת נשק מהוות פגיעה בערך החברתי של הגנה על בטחון הציבור, כאשר הסכנות האפשריות משימוש בנשק חם ברורות וידועות לכל.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,ME-16-01-3772-806,הודגש כי במקרה דנן ירה הנאשם כ-20 כדורים מתת המקלע המאולתר וכן החזיק בו כארבע שנים במקום הסמוך לביתו.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,ME-16-01-3772-806,"באשר לנסיבות הקשורות בביצוע העבירות, נטען כי מדובר במעשים חמורים אשר היו עשויים להסתיים בפגיעה קשה באזרחים חפים מפשע, עת ירה הנאשם בנשק.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ME-16-01-3772-806,"יתרה מזו, העובדה כי הנאשם החזיק בשני רובים, אחד מהם גם נשא וכן החזיק בו לאורך זמן, מלמדת כי לא מדובר במעידה חד פעמית, אלא בנאשם שבחר באופן ברור ומודע להפר את החוק, בשני המקרים, ובכך לסכן את הציבור בכללותו.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ME-16-01-3772-806,"נוסף על כך, נאמר כי הנאשם החזיק את תת המקלע המאולתר במקום הסמוך לביתו עד לחקירתו בה הודה לבסוף בהחזקת הנשק, ואלמלא נעצר ונחקר, לא מן הנמנע כי היה מוחזק על ידו עד עצם היום הזה.",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,ME-16-01-3772-806,צוין גם כי הרובה ותת המקלע הינם נשקים בעלי פוטנציאל קטלני רב וגם בכך יש כדי להוות נסיבה לחומרה.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,ME-16-01-3772-806,"ביחס לתכנון שקדם לביצוע העבירה נטען כי הדעת נותנת שמי שנושא בנשק עשה פעולות מקדימות לצורך נשיאתו, בין אם קבלתו או רכישתו מאחר ובין אם תיאום שנעשה עם אחרים בעניין זה.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ME-16-01-3772-806,בהקשר זה הפנתה המאשימה לתסקיר בו צוין כי לדברי הנאשם הוא רכש את הנשק ממחמד.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,ME-16-01-3772-806,"לטענת המאשימה, חלקו של הנאשם בהחזקת כלי הנשק והתחמושת שווה ערך לחלקו של מחמד, בהיותם מחזיקים בצוותא.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,ME-16-01-3772-806,"יתרה מכך, הנאשם נשא את תת המקלע המאולתר וירה בו לבדו, וכן החזיקו במקום הסמוך לביתו.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,ME-16-01-3772-806,"כן הדגישה המאשימה את הנזק החמור הצפוי מהחזקת שני כלי נשק קטלניים לאורך שנים, באחד מהם גם נעשה שימוש.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,ME-16-01-3772-806,"המאשימה הוסיפה וטענה כי עבירות האלימות המבוצעות באמצעות נשק, אשר התרבו בעת האחרונה, ובכלל זה עבירות רצח, נגזרות באופן ישיר מהחזקת ונשיאת נשק בלתי חוקי.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,ME-16-01-3772-806,"מכאן שמלחמה בתופעת האלימות הגואה באמצעות שימוש בנשק, מצריכה בראש ובראשונה החמרה בענישה בגין עבירות הנשק על נגזרותיהן.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,ME-16-01-3772-806,"המאשימה הפנתה לפסיקה המשקפת לגישתה את מדיניות הענישה הנוהגת בעבירות נשק, הדנה במקרים בהם הוטלו עונשים הנעים בין 24 ל-60 חודשי מאסר.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
