,sentence,true_label,predicted_label,probabilities
101,באישום השלישי – מכר לא.ג סם מסוכן במשקל של גרם תמורת סכום של 50-60 ₪; באישום הרביעי–  מכר לשליו סם מסוכן 5 גרם תמורת 350 ₪; באישום החמישי– מכר לדניאל סם מסוכן במשקל  10 גרם תמורת 600 ₪.,0,1,0.9998579
179,"במועדים שאינם ידועים במדויק למאשימה עובר ליום 21.10.20, עמד הנאשם בקשר עם אדם בשם Jairo Zuluaga (להלן: ""איירו"") אותו הכיר בקולומביה, בעניין ייבוא סם האיוואסקה.",0,1,0.99983394
203,"בנוגע לשותף (הנאשם 2), אשר אף הוא הודה בביצוע שתי עבירות של סחר בסם מסוכן מסוג קוקאין, במשקל כולל של כ- 0.3 גרם בתמורה לסך כולל של 200 ₪, המדינה הגיעה להסדר טיעון אשר כלל הסכמה עונשית.",0,1,0.9998202
497,"השניים קשרו קשר להקמת מעבדה לגידול סם מסוג קנבוס, ביצעו פעולות רבות לצורך הקמת המעבדה, רכשו ציוד רב לתפעול המעבדה, וגידלו במשך מספר חודשים שתילים במשקל כולל של 131 ק""ג.",0,1,0.9997911
193,"במעשיו המתוארים לעיל, וללא שהותר הדבר בפקודה או בתקנות לפיה או ברישיון מאת המנהל, ייבא הנאשם סם מסוכן לישראל, החזיק בסם מסוכן שלא לצריכה עצמית, וניסה לספק סם מסוכן לאחרים.",0,1,0.9997607
249,"בשל נסיבותיו של הנאשם, כפי שיפורט בהמשך, הסכימה המאשימה להפנותו לבדיקת התאמה נוספת אולם בתסקיר מיום 4.1.22 עדכן שירות המבחן כי ביום 24.11.21 נערכה לנאשם בדיקת שתן בה נמצאו סמים מסוג הרואין, מתדון בנזו וקוקאין.",0,1,0.9997557
371,"הנאשם הוא זה שסייע לסוכן לרכוש סם מסוכן מהאחר,  קיבל את הסם לידיו, הגיע למקום המפגש, העביר לסוכן את הסם וקיבל לידיו את סכום התמורה עבור הסם.",0,1,0.99972016
893,"על פי כתב האישום, ביום 16.2.21 בשעת ערב פנה שוטר בלבוש אזרחי לנאשם, בעודו עומד בפינת רחוב, וביקש ממנו להביא לו סם בתמורה ל- 100 ₪.",0,1,0.9996443
164,בייחוד נכונים הדברים במקום שהמדובר הוא בייבוא כמות משמעותית של סם העשויה לשמש להכנתן של מנות-סם רבות...,0,1,0.9995603
640,"לאחר 10 שנות שימוש בסמים, שכלל צריכה יומיומית של קוקאין, עבר הנאשם שני ניסיונות גמילה: ביוני 2021 –  השתלב בקהילת ""מכורים לחיים"" וסיים את הליך הגמילה ביום 13.12.2021, אז התרשם הצוות הטיפולי כי הוא ערך שינוי בחייו.",0,1,0.99955696
150,"בחינה כללית וראשונית של נסיבות ההסתבכות הנוכחית עם החוק העלתה כי הנאשם מודה במיוחס לו וכי באותה תקופה כבר החזיק ברישיון שימוש בקאנביס רפואי, אולם לדבריו הכמויות שאושרו לו לא ענו על צרכיו, ועל כן גם קנה סם באופן לא חוקי והיה מעורב בקשר עם גורמי סחר.",0,1,0.9995241
21,אביא להלן מספר דוגמאות למדיניות הענישה הנוהגת מפסיקתו של בית המשפט העליון 	בעבירה של סחר בסם מסוג קנבוס במספר הזדמנויות בכמויות קטנות בכל פעם כמו המקרה 	שבפניי:,0,1,0.99946827
58,"אשר לערכים המוגנים, העבירות אותן עבר הנאשם פוגעות בערכים המוגנים של בריאות הציבור וביטחונו, כאשר הפצת סם לכל דורש, פוגע באופן ניכר בערכים המוגנים, גם אם מדובר בסם מסוג קנביס.",0,1,0.9994518
92,"באותו מקרה סקר ביהמ""ש המחוזי את תכונותיהם הרעות של חומרים אלו והבהיר כי נוכח מאפייניהם אין להחיל על סמים ממשפחה זו את רמת הענישה המתונה באופן יחסי שנהוג להחיל על עבירות ביחס לסמים מסוג קנבוס או חשיש.",0,1,0.9993729
898,"עם זאת, בחלוף השנים מאז הוכלל באוגוסט 2014 החומר מסוג אינדזול קרבוקסאמיד, על נגזרותיו המבניות, בפקודת הסמים המסוכנים, הצטברו מספר החלטות מהן ניתן ללמוד על אופיו של הסם, ועל מיקומו במדרג החומרה בהשוואה לסמים אחרים, מוכרים יותר.",0,1,0.99922204
