,sentence,true_label,predicted_label,probabilities
199,"עוד מסר שירות המבחן, כי הנאשם מפגין חרטה בקשר למעורבותו באירוע, הוא מקבל אחריות מלאה למעשיו ומביע תחושת אכזבה עצמית מכך שלאחר תקופת זמן ממושכת, שבמהלכה ערך מאמצים רבים לשקם את עצמו והצליח בכך, חזר להתנהג בצורה בעייתית.",0.0,1,0.99999344
952,"הנאשם, בדבריו בפניי, הביע סליחה וצער על מעשיו שהסבו סבל לילדיו וביקש את רחמיו של בית המשפט בגזירת דינו.",0.0,1,0.9999933
108,"הנאשם קיבל אחריות על מעשיו והביע חרטה, ואף בשל כך הוא ראוי לרחמי בית המשפט.",0.0,1,0.9999932
66,הוא לוקח אחריות על מעשיו ומביע חרטה.,0.0,1,0.9999925
1405,"הנאשם בטיעוניו הביע צער על מעשיו, טען כי הוא שומר חוק שטעה טעות גדולה, מתוך רצון להגן על משפחתו.",0.0,1,0.9999924
737,הנאשם הביע צער על מעשיו ואמר שלא יחזור על העבירות.,0.0,1,0.999992
1268,הנאשם חש כעס ובושה על התנהגותו והבין את חומרת מעשיו.,0.0,1,0.9999914
1118,הנאשם אף הביע צער כן על מעשיו וביקש לשוב אל חיק משפחתו ואל בניו וכן ביקש שתינתן לו הזדמנות להתחיל מחדש את חייו.,0.0,1,0.9999914
128,"כאמור בתסקיר שירות המבחן, הודאתו של הנאשם מלווה בקבלת אחריות מלאה על מעשיו ובחרטה אמתית על העבירות שביצע.",0.0,1,0.9999906
1097,"אחרון פנה הנאשם לבית המשפט ואמר: ""מתנצל מצטער, טעיתי ומודה בטעותי.",0.0,1,0.9999901
1227,והנאשם הביע צער על מעשיו.,0.0,1,0.9999889
1373,"בדברו האחרון, הביע הנאשם צער על העבירות שעבר.",0.0,1,0.9999875
24,"באשר לנאשם שלפנינו, לזכותו נלקחו בחשבון במכלול השיקולים הודאתו במסגרת הסדר טיעון והחיסכון בזמן שיפוטי יקר הנובע מכך, נטילת אחריותו על המעשה, הבעת חרטתו באשר לכך ומצבו המשפחתי.",0.0,1,0.9999852
445,בדברו האחרון אמר הנאשם כי הוא יודע שעשה טעות והבטיח לבית המשפט כי לא יחזור על מעשיו.,0.0,1,0.999979
96,הנאשם לקח אחריות מלאה על מעשיו ויש להביא את מכלול השיקולים בחשבון.,0.0,1,0.99997354
93,הנאשם טען שהוא מאוד מצטער.,1.0,0,0.9999572
1119,"על-פי עובדות כתב האישום שבהן הודה הנאשם, אי השלמת העבירה לא נבע מחרטה של הנאשם (שאז, על-פי סעיף 28 בחוק העונשין, לא היה נושא באחריות פלילית וממילא היה מופטר מענישה), אלא בשל תפיסתו בידי המשטרה.",1.0,0,0.999925
151,"לאחר ששקלתי את מכלול הנסיבות שאינן קשורות בביצוע העבירות, לרבות העובדה שעסקינן במעידה חד-פעמית מבחינת הנאשם המתחרט מעומק ליבו על כך, וכן נתתי דעתי לקווי הדמיון והשוני בין הנאשם לשותפו, החלטתי להשית על הנאשם עונש החמור במקצת מעונשו של השותף ג'ואד- עונש של מאסר בפועל לתקופה של 9 חודשים בדרך של עבודות שירות, לצד רכיבי ענישה של מאסר מותנה וקנס כספי.",1.0,0,0.99962604
384,"הסנגור ציין כי ההגנה אינה מקלה ראש בעבירה דנן, ומודעת לסכנה הטמונה בעבירות נשק, אך ביקש להתחשב לקולא בגזירת עונשו בנסיבות ביצוע העבירה, בנסיבותיו האישיות של הנאשם, בהודייתו בביצוע העבירה ובחרטתו הכנה והאמיתית.",1.0,0,0.97758794
