,verdict,text,part
0,SH-09-1108-48,י.,המאשימה:
1,SH-09-1108-48,שלוחת תביעות אילת-משטרת אילת,המאשימה:
4,SH-09-1108-48,"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג, 40ג(א), 40ד, 40ד(א), 40ה, 40ו, 40ז, 40ט, 55, 56(א), 144(א), 186, 192, 380, 384, 406(ב), 40יא, 40יב, 40יג(א), 413","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
5,SH-09-1108-48,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 10","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
6,SH-09-1108-48,"פקודת התעבורה [נוסח חדש]: סע'  2, 10, 38(1)","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
7,SH-09-1108-48,"פקודת המבחן [נוסח חדש], תשכ""ט-1969","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
8,SH-09-1108-48,"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
9,SH-09-1108-48,"* בית המשפט חרג לקולא ממתחם הענישה שנקבע על ידו, וזאת חרף חומרת העבירות בהן הורשע הנאשם.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
10,SH-09-1108-48,"נפסק, כי בנסיבות המיוחדות של מקרה זה, נכון להחיל בעניינו את רוח הוראת סעיף 40ד(א) לחוק העונשין המותירה בידי בית משפט הבא לגזור את עונשו של נאשם שיקול דעת אם לחרוג ממתחם הענישה, ככל שהוא מוצא כי הנאשם השתקם או כי יש סיכוי של ממש שישתקם.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
11,SH-09-1108-48,* עונשין – ענישה – מדיניות ענישה: עבירות סמים,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
12,SH-09-1108-48,* עונשין – ענישה – מדיניות ענישה: עבירות נשק,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
13,SH-09-1108-48,* עונשין – ענישה – מדיניות ענישה: מתחם הענישה,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
14,SH-09-1108-48,* עונשין – ענישה – מדיניות ענישה: שיקום,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
15,SH-09-1108-48,הנאשם הודה והורשע בביצוע עבירות שונות שיוחסו לו במסגרת ארבעה כתבי אישום שהוגשו נגדו ולימים תוקנו וצורפו זה לזה.,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
16,SH-09-1108-48,"על העבירות בהן הורשע הנאשם נמנות עבירות אלה: התפרצות למקום מגורים, תקיפה הגורמת חבלה של ממש, גניבה, החזקת נכס החשוד כגנוב, החזקת נשק שלא כדין, החזקת סמים שלא לצריכה עצמית והחזקת כלי המשמש לצריכת סם מסוכן.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
17,SH-09-1108-48,בית המשפט פסק כלהלן:,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
18,SH-09-1108-48,"בנסיבותיו של עניין זה, יש להתייחס לכל אחד מכתבי האישום כאירוע נפרד לצורך קביעת מתחם הענישה ההולמת כאמור בסעיף 40יג(א) לחוק העונשין.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
19,SH-09-1108-48,"הנאשם במעשי ההתפרצות והגניבה פגע בשלום הציבור, בתחושת הביטחון, בהגנה על רכושו, קניינו ופרטיותו.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
20,SH-09-1108-48,"מדיניות הענישה הנהוגה בפסיקה בעבירות בהן הורשע הנאשם, מתחשבת בצורך במאבק בנגע עבירות הרכוש בכלל ועבירות של כניסה וההתפרצות לבתי מגורים וגניבה בפרט.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
21,SH-09-1108-48,בביצוע עבירת החזקת הסמים לצריכה עצמית פגע הנאשם בערך חברתי של הגנה על שלום הציבור מפני פגיעתם הקשה של סמים מסוכנים.,"יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
22,SH-09-1108-48,"אשר למידת הפגיעה בערך המוגן, המדובר בפגיעה לא מבוטלת, שכן על אף שהמדובר בסם מסוג חשיש, אשר אינו נמנה עם הסמים הקשים יותר מבין יתר הסמים המסוכנים, הרי שהפגיעה בערך המוגן נלמדת מכמות הסם ומהחזקת כלי מאולתר לשימוש בו.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
23,SH-09-1108-48,"מדיניות הענישה הנהוגה בפסיקה בעבירת החזקת סמים לצריכה עצמית, מתחשבת בצורך במאבק בנגע הסמים בחברתנו, רעה חולה שפשה בחברתנו ומחובתו של בית המשפט לתרום למיגור נגע זה.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
24,SH-09-1108-48,"כך למשל נגזרו עונשים החל משל""ץ ועד ל-8 חודשי מאסר בפועל.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
25,SH-09-1108-48,"עבירות הנשק הוגדרו בפסיקה כעבירות חמורות ביותר, ובתי המשפט ביטאו לא אחת את העמדה לפיה ראוי להטיל ענישה מחמירה ומרתיעה בעבירות נשק.","יבגני וורנין
ע""י ב""כ עוה""ד אייל לביא מטעם הסנגוריה הציבורית"
