feature_key,text,extraction
CONFESSION,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק, עבירה לפי סעיף 144(א) רישא לחוק העונשין, בעבירה של החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",True
CONFESSION,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק, עבירה לפי סעיף 144(א) רישא לחוק העונשין, בעבירה של החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",True
TYPE_WEP,"על פי עובדות כתב האישום הגיע הנאשם לחוף הים בג'אסר א זרקא, כשברשותו אקדח ותחמושת.",['אקדח']
HELD_WAY,"על פי עובדות כתב האישום הגיע הנאשם לחוף הים בג'אסר א זרקא, כשברשותו אקדח ותחמושת.",[]
OBTAIN_WAY,"על פי עובדות כתב האישום הגיע הנאשם לחוף הים בג'אסר א זרקא, כשברשותו אקדח ותחמושת.",[]
TYPE_WEP,מדובר באקדח שנגנב מבית בראשון-לציון.,['אקדח']
USE,מדובר באקדח שנגנב מבית בראשון-לציון.,False
OBTAIN_WAY,מדובר באקדח שנגנב מבית בראשון-לציון.,[]
HELD_WAY,"הנאשם נסע עם הנשק הנ""ל לבקא אל גרביה תוך שהוא מסתיר אתה נזק ברכב של האדם שהסיעו, ובדרך נעצר והנשק נתפס.",['רכב']
USE,"הנאשם נסע עם הנשק הנ""ל לבקא אל גרביה תוך שהוא מסתיר אתה נזק ברכב של האדם שהסיעו, ובדרך נעצר והנשק נתפס.",False
STATUS_WEP,"הנאשם נסע עם הנשק הנ""ל לבקא אל גרביה תוך שהוא מסתיר אתה נזק ברכב של האדם שהסיעו, ובדרך נעצר והנשק נתפס.",[]
OBTAIN_WAY,"הנאשם נסע עם הנשק הנ""ל לבקא אל גרביה תוך שהוא מסתיר אתה נזק ברכב של האדם שהסיעו, ובדרך נעצר והנשק נתפס.",[]
CONFESSION,"כאמור, הודה הנאשם והורשע בעובדות כתב האישום, זאת לאחר שתוקן כתב האישום, הכל בישיבה הראשונה ובמסגרת הסדר, אשר לא כלל הסכמה לעניין ענישה.",True
CONFESSION,"כאמור, הודה הנאשם והורשע בעובדות כתב האישום, זאת לאחר שתוקן כתב האישום, הכל בישיבה הראשונה ובמסגרת הסדר, אשר לא כלל הסכמה לעניין ענישה.",True
USE,לטענת הסניגור החזיק הנאשם את הנשק למטרות הגנה עצמית.,False
OBTAIN_WAY,לטענת הסניגור החזיק הנאשם את הנשק למטרות הגנה עצמית.,[]
CONFESSION,בנסיבות אלו מבקש הסניגור שלא למצות עם הנאשם את הדין ולהביא בחשבון את הודאתו מיד בפתח הדיון וחרטתו.,True
CONFESSION,בנסיבות אלו מבקש הסניגור שלא למצות עם הנאשם את הדין ולהביא בחשבון את הודאתו מיד בפתח הדיון וחרטתו.,True
CONFESSION,הנאשם הביע חרטה וביקש להשתקם.,True
CONFESSION,הבאתי בחשבון במסגרת השיקולים לקולא כי הנאשם הודה מיד בפתח משפטו.,True
CONFESSION,הבאתי בחשבון במסגרת השיקולים לקולא כי הנאשם הודה מיד בפתח משפטו.,True
CONFESSION,"עוד הבאתי בחשבון את חרטתו, את העובדה כי התחתן לאחרונה ולכאורה ניסה להתרחק ממוקדי הפשיעה שהיה קשור אליהם בעבר.",True
OFFENCE_NUMBER,"חוק העונשין, תשל""ז-1977: סע'  144(א), 413",['144 א']
OFFENCE_NUMBER,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק, עבירה לפי סעיף 144(א) רישא לחוק העונשין, בעבירה של החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",['144 א']
OFFENCE_TYPE,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק, עבירה לפי סעיף 144(א) רישא לחוק העונשין, בעבירה של החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",['החזקה נשק']
OFFENCE_TYPE,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק, עבירה לפי סעיף 144(א) רישא לחוק העונשין, בעבירה של החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",['החזקה נשק']
OFFENCE_NUMBER,"כאמור, הורשע הנאשם בעבירה של החזקת נשק לפי סעיף 144(א), עבירה אשר העונש בגינה 7 שנות מאסר, ועוד הורשע הוא בעבירה לפי סעיף 413 לחוק העונשין, שהעונש בגינה הוא 3 שנות מאסר.",['144 א']
OFFENCE_TYPE,"כאמור, הורשע הנאשם בעבירה של החזקת נשק לפי סעיף 144(א), עבירה אשר העונש בגינה 7 שנות מאסר, ועוד הורשע הוא בעבירה לפי סעיף 413 לחוק העונשין, שהעונש בגינה הוא 3 שנות מאסר.",['החזקה נשק']
