verdict,text,part_single,part_concatenated
SH-22-12-51251-44,"חוק העונשין, תשל""ז-1977: סע'  144 (א), 287(א)","על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,"חוק הנוער (שפיטה, ענישה ודרכי טיפול), תשל""א-1971: סע'  24(1), 24א","על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,* מדיניות הענישה הראויה בגין ביצוע עבירות נשק חמורות על ידי נאשם קטין ששרוי בנסיבות אישיות קשות ומורכבות מאוד.,"על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,* עונשין – ענישה – מדיניות ענישה: עבירות נשק,"על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,* עונשין – ענישה – מדיניות ענישה: מתחם הענישה,"על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,"בית המשפט נדרש לגזור את דינו של הנאשם, בן 15 בעת ביצוע העבירות, שהודה בביצוע עבירה של החזקת נשק ותחמושת עבירה לפי סעיף 144 (א) רישא וסיפא לחוק העונשין וכן על עבירה של הפרת הוראה חוקית.","על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,בית המשפט פסק כלהלן:,"על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,מערכת השיקולים שעל בית המשפט לשקול בעת גזירת עונשו של נאשם קטין שונה מזו המופעלת בעניינו של עבריין בגיר.,"על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,"בהתאם לפסיקה, גם אם הורשע קטין בעבירות קשות וחמורות במיוחד, על בית המשפט ליתן משקל יתר לשיקולים האינדיבידואליים הנוגעים לו ולאזן בין שיקולי השיקום לשיקולי ההרתעה.","על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
SH-22-12-51251-44,"לצד זאת נקבע בפסיקה כי קטינות אינה מהווה חסינות בפני עונש ראוי, ובמקרים מתאימים לא יירתע בית המשפט ויטיל על הקטין עונש ההולם את חומרת מעשיו.","על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים","בית משפט לנוער בבית משפט השלום בפתח תקווה, בית משפט לנוער בבית משפט השלום בפתח תקווה, בפני , כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, כבוד השופטת, סגנית הנשיאה  שרון עצמון הלוי, המאשימה, המאשימה, מדינת ישראל – פרקליטות מחוז מרכז , על ידי עו""ד יהונתן הירש אילון, נגד, נגד, נגד, הנאשם, הנאשם, על ידי עו""ד איהאב ג'לג'ולי ועו""ד  שי טובים"
