,sentence,true_label,predicted_label,probabilities
560,על המערערים 1 ו-2  הוטלו 42 חודשי מאסר בפועל והמערער 3 נידון ל-30 חודשי מאסר בפועל.,0.0,1,0.95465446
730,"ניתן עונש של 5.5 שנות מאסר, מאסר מותנה וקנס.",0.0,1,0.9540049
1191,על הנאשם הוטל עונש מאסר למשך 10 חודשים בניכוי ימי מעצרו ועונשים,0.0,1,0.9537952
960,המאשימה עותרת לענישה בת 15 חודשי מאסר בפועל לצד מאסר על תנאי צופה פני עתיד וקנס.,0.0,1,0.95251036
1145,"עתר להטיל על הנאשם עונש מאסר למשך 14 חודשים באשר לעבירת הנשק, לצד עונשי מאסר מותנים בעבירות נשק וסמים וכן קנס כספי.",0.0,1,0.9516944
1273,הקנס ישולם ב- 10 תשלומים חודשיים החל מיום 1/5/207.,0.0,1,0.951611
545,"ועל אחיו של הנאשם, ג'ומעה אלחרינק, שחלקו דומה לחלקו של הנאשם, הוטל מאסר בפועל לתקופה של שש שנים ו- 10 חודשים; קנס בסך 30,000 ₪; חילוט סך 22,250 ₪ שנמצאו בחזקתו; חילוט רכב שנתפס ממנו; ומאסר על תנאי.",0.0,1,0.9509216
720,"הוטל עונש מאסר בפועל למשך חודשיים, עונשי מאסר מותנה וצו מבחן למשך שנה; ההרשעה הראשונה משנת 2001 (עת היה כבן 16), בעבירה של הצתת מבנה.",0.0,1,0.9505525
568,"בית המשפט אישר את הסדר הטיעון שלהם עם התביעה, וגזר על אחיו של הנאשם 82 חודשי מאסר בפועל, קנס בסך 30,000 ₪, חילוט סך של 22,250 ₪, חילוט רכב, ומאסר על תנאי, ועל זנון – בשל חלקו הבולט במכירת הרכוש הגנוב לאחרים – 106 חודשי מאסר בפועל, קנס בסך 60,000 ₪, חילוט סך של 284,422 ₪ ו- 50 דינר ירדני שנמצאו בחזקתו, חילוט רכב שנתפס ממנו, מאסר על תנאי ופסילת רישיון נהיגה בפועל ועל תנאי.",0.0,1,0.9504431
855,"בהמשך נכנס עג'אג' לרכבו של הנאשם והסוכן מסר לידיו 25,000 ₪ ולנאשם 1,000 ₪.",0.0,1,0.95035666
1178,כבוד בית המשפט המחוזי גזר על הנאשם עונש מאסר ל- 6 חודשים אשר נקבע כי ירוצה על דרך של עבודות שירות ועונשים נלווים.,0.0,1,0.95028174
1002,"הרשעתו הראשונה משקפת עבירות רכוש, הפרעה לשוטר במילוי תפקידו ופציעה בגינה נדון ל- 9 חודשי מאסר.",0.0,1,0.95023304
967,סופו של דבר הושתה עליו ענישה בת 6 חודשים בעבודות שירות לצד רכיבי ענישה מצחיק.,0.0,1,0.95001656
1177,"כב' בית המשפט המחוזי הותיר על כנו את עונש המאסר שירוצה בעבודות שירות, והעמיד את עונש המאסר המותנה על 9 חודשים במקום שישה, והעמיד את הקנס על סך של 30,000 ₪.",0.0,1,0.9496981
660,בפסקי הדין שהובאו על ידי המאשימה נגזרו על המורשעים בעבירות נשק עונשים הנעים בין 6 ל- 52 חודשי מאסר בפועל.,0.0,1,0.94950974
294,אוזכרו פסקי דין נוספים בעבירות של ניסיון לגרימת חבלה בכוונה מחמירה ובעבירות הדומות לאלה שביצע הנאשם ואף עבירות חמורות יותר בהם נגזרו תקופות מאסר שבין 6 חודשים לריצוי בעבודות שירות לבין 24 חודשי מאסר בפועל.,0.0,1,0.9493328
3,"ענישה מקלה מ-7 חודשי מאסר כמבוקש, תחטא לאינטרס הציבורי ותעודד עשיית דין עצמי, כך גבי דידה.",0.0,1,0.94924176
