,sentence,true_label,predicted_label,probabilities
164,"לצורך קביעת עונשו של הנאשם בתוך המתחם, ציין ב""כ הנאשם את גילו הצעיר של הנאשם שהינו כבן 21, את נטילת האחריות על ידו ואת הודאתו בהזדמנות הראשונה, אשר חסכה זמן שיפוטי יקר.",0.0,1,0.99996805
85,"הנאשם הורשע על פי הודאתו בכתב אישום מתוקן בעבירות בנשק (הובלה ונשיאה) – עבירה לפי סעיף 144(ב) רישא וסיפא לחוק העונשין, תשל""ז-1977 (להלן: ""חוק העונשין""),ירי מנשק חם – עבירה לפי סעיף 340א(ב)(1) ו-(2) לחוק העונשין וחבלה במזיד – עבירה לפי סעיף 413ה לחוק העונשין.",0.0,1,0.9999678
24,"באשר לנאשם שלפנינו, לזכותו נלקחו בחשבון במכלול השיקולים הודאתו במסגרת הסדר טיעון והחיסכון בזמן שיפוטי יקר הנובע מכך, נטילת אחריותו על המעשה, הבעת חרטתו באשר לכך ומצבו המשפחתי.",0.0,1,0.9999677
123,"והוסיף כי הנאשם הודה בביצוע העבירות, חסך בזמן שיפוטי ולקח אחריות על מעשיו.",0.0,1,0.999967
68,הודה באשמה ונטל אחריות מלאה למעשיו.,0.0,1,0.9999666
32,"בהתייחס לעבירות מושא האישום הראשון, הודה הנאשם בפני שירות המבחן במעשיו, אולם, עולה מהתסקיר, כי הנאשם התקשה לקחת אחריות בגין החלק הפלילי שבמעשיו.",0.0,1,0.9999665
1119,"על-פי עובדות כתב האישום שבהן הודה הנאשם, אי השלמת העבירה לא נבע מחרטה של הנאשם (שאז, על-פי סעיף 28 בחוק העונשין, לא היה נושא באחריות פלילית וממילא היה מופטר מענישה), אלא בשל תפיסתו בידי המשטרה.",0.0,1,0.99996614
13,"אשר לעונש המתאים, טענה ב""כ המאשימה שיש להתחשב בכך שהנאשם נעדר עבר פלילי, אשר לקח אחריות למעשיו, הודה וחסך זמן שיפוטי ושהה במעצר מיום 29.10.19 ועד יום 21.1.2020.",0.0,1,0.999966
332,"לטענת התביעה, מתחם העונש ההולם נע בין 12-36 חודשי מאסר בפועל וכי לנוכח גילו של הנאשם, הודאתו ותסקיר שירות המבחן, יש להטיל על הנאשם עונש ברבע התחתון של המתחם ומאסר על תנאי.",0.0,1,0.9999659
817,"ב""כ המאשימה: באשר לבקשת חברי לצורך דחייה למיון מוקדם לדחיה ארוכה יותר נתנגד לעיכוב ביצוע העונש, וזאת לאור העובדה שהערעור יוגש ככל הנראה אך ורק על חומרת העונש, והנאשם הודה בכתב האישום.",0.0,1,0.99996567
1190,"ב""כ המאשימה סיכמה, כי היא סבורה שיש לקבוע מתחם בעניינו של הנאשם  בין 5 ל- 7 שנים, כאשר חרף הודאת הנאשם, החיסכון בזמן שיפוטי והיעדר העבר הפלילי, משיקולי הרתעה יש למקמו לא בקצה התחתון.",0.0,1,0.9999652
166,"לשאלת בית משפט בפתח דבריו ב""כ הנאשם אישר כי הנאשם נוטל אחריות מלאה למעשיו למרות האמור בתסקיר, ואינו חוזר בו מהודאתו וההתייחסות של קצינת המבחן הייתה לאישומים שנמחקו וכן שהנאשם לא ידע שהנשק שימש לפיגוע ועובדה זו לא מהווה חלק מכתב האישום.",0.0,1,0.99996495
532,"משכך, תוך שקלול הנתונים האמורים, העקרונות והשיקולים מכוח תיקון 113 בחוק העונשין, כמו גם השיקול של הרתעת הנאשם והרתעת אחרים, תוך מתן משקל להודאת הנאשם ובעיקר נוכח שיקומו עד היום, ומתוך תקווה שלא יפריך את האמון אשר ניתן בו עתה, אני גוזר על הנאשם את העונשים הבאים:",0.0,1,0.99996495
980,הסניגור המשיך וטען למשמעות הסולחה אך הודה שעדיין לא קיימת סולחה מוגמרת.,0.0,1,0.99996316
1329,"נטען כי בהתחשב בהודאה, במעצר מאחורי סורג ובריח, במעצר באיזוק וההרחקה מביתו לכפר אחר ללא הפרות; ובנוסף, בהתחשב בכך שעברו הפלילי הוא ישן יחסית, יש להטיל ענישה בתחתית המתחם.",1.0,0,0.9999608
1292,חרטתו והודאתו הינן כנות ואמיתיות.,1.0,0,0.99994993
206,"על פי הבהרה שהגיש שירות המבחן מיום 2.3.15, נוכח הכחשתו של הנאשם בדבר כל בעיתיות או צורך בטיפול, לא נדונו עם הנאשם אפשרויות הטיפול המוצעות.",1.0,0,0.99993205
