,sentence,true_label,predicted_label,probabilities
1493,הנאשם שאל את הסוכן כמה גרם קוקאין הוא מעוניין לרכוש והסוכן השיב 50 גרם לכל הפחות במחיר של 350 ₪ לגרם ואם ישיג עבורו 100 גרם יוכל לרכוש ב-300 ₪ לגרם.,0,1,0.9994442
500,"מהאישום התשיעי עולה, כי ביום 31.12.2021, מכר הנאשם לע' כ-30 גרם קנביס תמורת 500 ₪.",0,1,0.9994074
1509,"בהמשך, סיכמו כי הנאשם ישיג עבורו סם קוקאין במשקל של 100 גרם כבקשתו.",0,1,0.99937207
1505,"ביום 1.12.21 התקשר הסוכן אל הנאשם, במסגרת השיחה אמר הנאשם כי האחר יוכל לספק את סם הקוקאין כבקשתו במחיר של 300 ₪ לגרם, בתנאי שהסוכן ירכוש ממנו כמות של 100 גרם כפי שביקש הסוכן.",0,1,0.99933237
1502,"הנאשם קיבל את הסם מהאחר בתמורה ל-320 ₪ לגרם והרוויח בעסקה 1,500 ₪.",0,1,0.9993293
1262,"אישום שלישי (4 עבירות) – במהלך חודש דצמבר בשנת 2022, מכר הנאשם לאחר בשם ארטיום קלימנקו סם מסוכן מסוג קנביס בכמות לא ידועה תמורת סכום הנע בין 50 ל-100 ש""ח בכל אחת מהפעמים.",0,1,0.99926406
1260,"אישום שני (2 עבירות) – ביום 16.12.22, מכר הנאשם לקטינה מ.ג סם מסוכן מסוג קנביס בכמות לא ידועה, תמורת 75 ₪.",0,1,0.99919397
1263,"אישום רביעי (4 עבירות) – בין החודשים  פברואר-יוני בשנת 2023, מכר הנאשם לקטין ט.ב סם מסוכן מסוג קנביס בארבע הזדמנויות שונות בכמות לא ידועה תמורת סכום שנע בין 50 ל-100 ש""ח בכל אחת מהפעמים.",0,1,0.99918026
1261,"בהמשך, ביום 28.12.22 מכר הנאשם לקטינה כמות לא ידועה של סם מסוכן מסוג קנביס תמורת 100 ₪.",0,1,0.99914885
1264,"אישום חמישי (3 עבירות) – במהלך החודשים אפריל-מאי בשנת 2023, ובשלוש הזדמנויות שונות, מכר הנאשם לקטין א.פ סם מסוכן מסוג קנביס בכמות לא ידועה תמורת 100 ₪ בכל אחת מהפעמים.",0,1,0.99895644
1259,"אישום ראשון (2 עבירות) – בין החודשים מרץ-מאי בשנת 2023, מסר הנאשם לקטין י.פ, בשתי הזדמנויות שונות סם מסוכן מסוג קנביס בכמות לא ידועה תמורת 50 ₪ בכל אחת מהפעמים.",0,1,0.99895084
1202,"כמו כן נתפסו במקום סכום מזומן בסך 18,777.5 ₪, משקל דיגיטלי, שלושה טלפונים ניידים ושקיות חלוקה.",0,1,0.99885666
255,"נאשם אשר הורשע, לאחר ניהול הוכחות, בעבירה של החזקת סם מסוכן שלא לצריכה עצמית ובעבירות נלוות (החזקת סם מסוג הרואין במשקל של 24 גרם), ונדון ל- 24 חודשי מאסר בפועל (בית-משפט השלום קבע מתחם שבין 9 ל- 30 חודשי מאסר).",0,1,0.99879694
923,"ביחס לעבירות שביצע הנאשם טענה ההגנה שמדובר בכ-30 עסקאות, במשקלים נמוכים שאינם עולים על 15 גרם במצטבר, וכי תפקיד הנאשם היה חוליה בשרשרת ההפצה של הסמים ולא תפקיד דומיננטי, כטענת המאשימה.",0,1,0.9986903
50,"בכל הקשור לנסיבות הקשורות בביצוע העבירות נתתי דעתי למשקל הסם הגבוה שגודל (180 ק""ג); לכך שהנאשם גם החזיק סם שלא לצריכה עצמית בוילה במשקל של 7.48 ק""ג וזאת לצד ציוד רב ששימש לגידול הסם; להיערכות, להתארגנות ולתכנון שקדם לביצוע העבירות (שכירת וילה, הצטיידות בציוד מתאים, רכישת ידע, התחברות פיראטית לחשמל); לנזק הכספי המשמעותי שנגרם לחברת החשמל כתוצאה מגניבת החשמל; לנזק שעלול היה להיגרם לו הסם שגודל היה מופץ בשווקים; לנזק שעלול היה להיגרם כתוצאה מחיבור פיראטי לחשמל; לסיבה שהביאה את הנאשם לביצוע העבירה (רווח כספי מהיר בשל מצוקה כלכלית אליה נקלע) ולחלקו הבלעדי של הנאשם בביצוע העבירות.",1,0,0.9966869
1001,"מנגד, לא ניתן להתעלם מכמות הסם הגדולה שנמכרה; מהתמורה הניכרת שניתנה בעבורה; מכך שאף שהמכירה בוצעה לסוכן, הרי שהדבר לא היה בידיעת הנאשם שסבר כי הוא מוכר סמים כדי שייעשה בהם שימוש; ומדבריו של הנאשם לסוכן כי ביכולתו למכור כמות נוספת, המגיעה אף עד כדי 5 ק""ג, דבר המצביע על מעורבות בעולם הסם ועל היכרות עמו.",1,0,0.996335
