text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"חוק העונשין, תשל""ז-1977: סע'  40 ג'(א), 40ד'), 40ה')., 40ט', 144ב', 329(א)(1), 413ה'",0.013881313,5.6646445e-06,1.628384e-05,0.002503768,0.0070347404,0.0023228286,0.0018057276,0.32220602,0.00014968531,0.0039349045,0.051457345,0.004075027,0.07112992,0.0013270152
"הנאשם הורשע בעבירה של חבלה בכוונה מחמירה לפי סעיף 329(א)(1) לחוק העונשין, התשל""ז – 1977 (להלן: ""החוק""), נשיאת נשק – עבירה לפי סעיף 144ב' לחוק, חבלה במזיד ברכב – עבירה לפי סעיף 413ה' לחוק העונשין.",0.0046886555,5.7227553e-06,1.4141591e-05,0.0034516132,0.008066188,0.041928943,0.001638843,0.36189997,0.00013794543,0.99260676,0.1381114,0.002806262,0.09363205,0.9996655
"ביום 22/2/12, בשעות הערב, הגיעו המתלוננים, בני משפחת ג'ת, לחנות שהופעלה על ידי בני משפחת הנאשם.",0.007827593,5.23324e-06,1.3375372e-05,0.00487437,0.9416312,0.0042565065,0.011652891,0.27333328,0.00015773198,0.004612107,0.44691712,0.00531467,0.1709688,0.0012074561
"באותה עת נכחו בחנות הנאשם, אחיו, ואחרים.",0.0037657896,7.1169e-06,1.7892888e-05,0.004238066,0.13402759,0.0036869054,0.0064876606,0.13247189,0.00017189364,0.0022388338,0.41890153,0.0043674284,0.30195135,0.0013849695
"לבני משפחת ג'ת היו טענות לזכויות בחנות, ומכוח טענות אלה הם ביקשו לקחת פריטים שונים מהחנות, כגון מזגן, על מנת לפצות על השקעותיהם.",0.0046030986,0.9995066,1.5085666e-05,0.019394746,0.008453505,0.007625585,0.004208496,0.31419685,0.0002106911,0.0022166206,0.5501027,0.007009916,0.22755301,0.0017641059
"כתוצאה מכך פרצה מריבה בין משפחת ג'ת לבין הנאשם ויתר הנוכחים בחנות, במהלכה השליכו אלה חפצים שונים על אלה, תוך שבני משפחת ג'ת עשו שימוש בתרסיס גז מדמיע.",0.0036391686,5.434602e-06,0.99988985,0.8665278,0.99532986,0.9634973,0.8555954,0.7069294,0.99968016,0.99112856,0.73637,0.0052484176,0.2118294,0.0012236044
"בשלב מסוים נכנס הנאשם למחסן שבירכתי החנות, הגיח כשהוא חמוש באקדח, החל לירות לעבר המתלוננים, ופגע בידו של אחד המתלוננים עוד בהיותו של המתלונן בחנות.",0.0036785225,5.5184264e-06,0.9999372,0.9939686,0.998114,0.9651048,0.99321127,0.8907909,0.9997762,0.9961844,0.75573516,0.004476928,0.34528974,0.0016136575
לאחר מכן המשיך הנאשם לדלוק אחר המתלוננים שנמלטו מהחנות.,0.002343616,5.6030303e-06,0.9996891,0.007935208,0.99103534,0.8400377,0.08930818,0.6221316,0.00017216249,0.048084885,0.81178963,0.0053899046,0.27061465,0.0012381362
"במהלך המרדף ירה ופגע במתלונן אחר ברגלו, ובהמשך פגע במתלונן שנפגע בידו, פעם נוספת.",0.0031541863,5.624418e-06,0.99992836,0.87413466,0.9957046,0.9845792,0.9434647,0.8484503,0.0017813345,0.99597,0.6252866,0.008109306,0.30776754,0.0014166894
"הנאשם הנו כבן 25, ללא הרשעות קודמות.",0.0038248326,0.99996376,1.6626764e-05,0.0037338394,0.005086949,0.0028976956,0.001628214,0.041899532,0.00016215169,0.002671039,0.056951374,0.0059934543,0.2478906,0.0016052122
"בא-כוח המאשימה הדגיש את העובדה כי הנאשם לא הסתפק בהברחת המתלוננים מהחנות, אלא דלק אחריהם דרך ארוכה.",0.0034096746,5.620686e-06,0.00046986117,0.008155353,0.18764967,0.2151775,0.010169168,0.1210735,0.00015251232,0.00228797,0.6999436,0.0092742015,0.19687131,0.0014749223
"לאחר שיצאו ונמלטו מהחנות, הוא פגע במתלוננים פעמיים נוספות.",0.0029809647,5.7109733e-06,2.4928619e-05,0.01862859,0.9864157,0.9080457,0.080492854,0.66452336,0.00019136832,0.9923577,0.8246834,0.0088921795,0.3787002,0.00191593
הערך החברתי שנפגע הנו שלמות הגוף.,0.0033665502,1.0112617e-05,2.426393e-05,0.0061325654,0.005620564,0.0073803854,0.0020358884,0.34000576,0.00022512036,0.003447162,0.28205818,0.011909409,0.23667888,0.002075732
"באה הפנייה למדיניות ענישה במקרים דומים, מהם ביקש בא-כוח המאשימה להסיק כי מתחם הענישה הראוי הנו בן שש לעשר שנות מאסר, והעונש הראוי לנאשם הנו שמונה שנות מאסר בפועל, מאסר מותנה ופיצוי למתלוננים.",0.08954773,5.5584837e-06,1.4681493e-05,0.004350107,0.0061080204,0.0053822827,0.0013491219,0.034431808,0.00016544142,0.0020669068,0.16445868,0.0029464217,0.096612856,0.0009662883
"מנגד, הסנגור הדגיש את העובדה שהמתלוננים הם אלה שיזמו את האירוע, הגיעו אל חנותו של הנאשם, נקטו באלימות, עשו שימוש בגז מדמיע, ואף גרמו להרס רב בתוך החנות.",0.0034046702,5.573553e-06,0.9999304,0.7796046,0.9963135,0.98769146,0.21728654,0.62541866,0.9993167,0.99353266,0.8859849,0.0063104494,0.3604062,0.0017998889
"נטען כי אף שבסופו של דבר המתלוננים נחקרו באזהרה, לא ננקטו נגדם הליכים.",0.0028688493,5.4322286e-06,1.6362406e-05,0.0034266862,0.00631783,0.0040450664,0.0028681336,0.05856845,0.00016739222,0.002327769,0.18341145,0.0031748386,0.17758739,0.0016496794
"עוד נטען כי עד היום החנות נמצאת בחזקת בני משפחת הנאשם, כאשר המתלוננים לא נקטו בהליך אזרחי.",0.0023822677,0.999964,1.5667301e-05,0.004945871,0.005036433,0.0035105038,0.0021548758,0.054310054,0.00017365984,0.0019350705,0.151416,0.0034437482,0.17186488,0.0014265275
"הסנגור הדגיש כי הנאשם נהל אורח חיים נורמטיבי, עבד לפרנסתו, נגרר למעשים בעקבות מעשיהם הפסולים של המתלוננים, מהלך חייו הנורמטיבי נקטע לאחר שהמתלוננים נכנסו לחנותו.",0.0027985522,0.99996495,1.3820148e-05,0.0049848845,0.059863713,0.7125977,0.0020773606,0.375642,0.00016334318,0.0016779694,0.6635738,0.02614412,0.715188,0.0023253541
"מדובר במעשים שנעשו כחלק מאירוע מתגלגל וחוסר שיקול דעת או מתוך פאניקה, כאשר המתלונן ביקש להגן על חנותו ועל חנות בני משפחתו, ללא קיומם של דפוסים עברייניים.",0.003768101,0.99857736,0.99986637,0.006415276,0.0120844925,0.9947908,0.0019984732,0.8171945,0.00018036134,0.005575908,0.9196221,0.039576206,0.58509,0.0014759921
"הענישה, כך נטען, הנה אינדווידואלית, נערכה סולחה בין המשפחות, כאשר אף צד לא שילם פיצוי לצד השני, והוגשו מסמכים בהתאם.",0.0039341534,0.9999466,1.607577e-05,0.0053834002,0.006079049,0.008131267,0.0026852116,0.055602916,0.00017934883,0.0025878143,0.268159,0.0046771592,0.32806304,0.0018983252
"לטענת הסנגור, הפסיקה אליה הפנה מציגה עונשים קלים יותר, לרבות עונשי של""צ ועבודות שירות, ובמקרה הנדון, ניתן להסתפק במאסר שירוצה בעבודות שירות.",0.007773788,5.437007e-06,1.459486e-05,0.0033665856,0.0055613876,0.002893967,0.0010705828,0.034067195,0.00015300757,0.001701431,0.14959396,0.0036879822,0.09160434,0.0013818081
חוק העונשין (תיקון 113) קבע את עקרון ההלימה שמשמעו אימוץ עקרון הגמול כעקרון מנחה.,0.0027023004,5.8611035e-06,1.7452223e-05,0.0029443887,0.0044779717,0.0037141452,0.0010108434,0.20749669,0.00016230064,0.0020475285,0.14643943,0.00525954,0.12166868,0.0013822807
יש לבדוק העבירה וכל העולה ממנה ולאחר מכן הנסיבות האישיות.,0.0029443915,5.678556e-06,2.2511758e-05,0.0029598188,0.0061814203,0.010541502,0.0017532738,0.3151961,0.0001490936,0.0021419341,0.057482738,0.005771416,0.1255906,0.0012719616
בחינת העבירה ונסיבותיה מביאה לקביעת מתחם ענישה ואחר כך יש לבחון הנסיבות האישיות.,0.0021092624,5.5268847e-06,1.796086e-05,0.0030305106,0.00493579,0.004127609,0.0012988057,0.070821814,0.00015264734,0.0016724732,0.12262906,0.0044042864,0.108099245,0.0014433285
"דהיינו, העבירה מכתיבה את המתחם ושילוב הנסיבות האישיות במתחם מכתיבים את גזר הדין.",0.0029039695,5.3813064e-06,1.8809022e-05,0.0043334267,0.0052342894,0.0049509685,0.0014647068,0.07855521,0.00015537506,0.0016925524,0.18848881,0.0040512895,0.16640812,0.0013174396
נקבע כי התיקון לחוק יצר מנגנון תלת שלבי לגזירת העונש.,0.003265217,5.744458e-06,1.8341843e-05,0.0033274493,0.0050185495,0.0033954068,0.0012106034,0.06842577,0.00016143649,0.0018883342,0.17111424,0.0033746427,0.09645344,0.001078814
"השלב הראשון, יש לבדוק האם הנאשם הורשע בכמה עבירות, והאם אלו מהוות אירוע אחד או כמה אירועים נפרדים.",0.004584867,5.581984e-06,1.8692721e-05,0.0031987578,0.005949512,0.0055865836,0.0027271954,0.24389018,0.00016946373,0.011033407,0.51155853,0.0064649195,0.23527524,0.4792586
"כאשר מדובר בכמה אירועים, יש לקבוע עונש הולם לכל אירוע בנפרד ולבסוף ניתן לגזור עונש נפרד לכל אירוע או עונש כולל לכל האירועים.",0.0031077494,5.6146537e-06,1.9788195e-05,0.0029009401,0.006891589,0.004714206,0.0016413344,0.11801897,0.0001737975,0.0026350606,0.3035616,0.005705069,0.10454324,0.0010074725
