text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
מדינת ישראל – פרקליטות מחוז מרכז (פלילי)	המאשימה,0.0031828147,5.5806217e-06,1.5283373e-05,0.002550381,0.006566501,0.0024247433,0.0014317089,0.040281203,0.00013572331,0.0017677272,0.10577668,0.0031116074,0.11345576,0.0006856612
"ע""י ב""כ עו""ד אוריה תוהמי",0.0035400414,5.412713e-06,1.8952529e-05,0.0035442528,0.0074437847,0.0023375486,0.0015772826,0.026056923,0.0001777016,0.002232046,0.049250167,0.0030943276,0.08067345,0.0008192183
"ע""י ב""כ עו""ד איהאב ג'לג'ולי",0.003130519,5.4611355e-06,1.7905211e-05,0.0037742406,0.007865081,0.0028372623,0.0023446232,0.032048482,0.00015790323,0.001959913,0.06610528,0.004360537,0.0539002,0.00080454163
"חוק העונשין, תשל""ז-1977: סע'  144(א)",0.00735206,5.566504e-06,1.736551e-05,0.0026096327,0.00579096,0.0026946024,0.0017545284,0.44636184,0.00015007977,0.002958769,0.056618724,0.0029212337,0.086192496,0.00079833466
"הנאשם, יליד 1990, הורשע על פי הודאתו ובמסגרת הסדר טיעון, בעבירה של החזקת נשק שלא כדין, בניגוד לסעיף 144(א) רישא לחוק העונשין, תשל""ז-1977.",0.0043615974,0.9999367,1.4350582e-05,0.0028481067,0.006826263,0.04718603,0.001629028,0.5306013,0.00013705072,0.0023036352,0.07159332,0.0021250034,0.1476571,0.99977714
הודאת הנאשם באה לאחר שנשמע עד תביעה אחד והוגשו מוצגי התביעה בהסכמה.,0.0023455212,5.7873035e-06,1.4630407e-05,0.00308382,0.005603587,0.0040924577,0.002457189,0.02463659,0.00014802211,0.001641318,0.12591703,0.0031966362,0.38814208,0.9997249
"על פי העובדות ביום 8.12.16 בשעה 13:00 החזיק הנאשם בשטח שנמצא מחוץ לביתו בטירה בנשק מסוג ""קרלו"", עטוף בניילון נצמד, בתוך תיק.",0.0070600435,5.4828706e-06,0.99993396,0.9493889,0.99796486,0.0074294778,0.7978049,0.83442855,0.9995908,0.0036229142,0.10117319,0.0029260013,0.10970473,0.001381289
בטרם שמיעת הטיעונים לעונש נתקבלו בעניינו של הנאשם שני תסקירים מאת שרות המבחן.,0.0026787908,5.9575023e-06,1.5205287e-05,0.0028539572,0.006837865,0.0027831844,0.0012686368,0.058698904,0.00014478726,0.0018549593,0.06949014,0.0028455858,0.1004559,0.0009163858
"כמו כן, לבקשת ההגנה התקבלה חוות דעת הממונה על עבודות השרות.",0.002605189,5.574313e-06,1.6930195e-05,0.0032672926,0.006604953,0.002574229,0.001477587,0.035298143,0.0001680354,0.0025005664,0.10940342,0.0027432276,0.09500454,0.001147929
"בתסקיר מיום 19.11.19 נאמר שהנאשם כבן 30, אב לשני ילדים קטינים, עובד כמנהל עבודה באתר בניה.",0.0100547895,0.9999641,1.6795115e-05,0.0035012716,0.008090527,0.0028534117,0.0023931288,0.1016729,0.00017635558,0.00202598,0.102596074,0.008070768,0.14005858,0.001761894
הנאשם נעדר הרשעות קודמות ולא פתוחים נגדו תיקים במשטרה.,0.0019601386,0.99996257,1.597329e-05,0.0029029797,0.0051827626,0.002935263,0.0014900679,0.048273854,0.00016110047,0.0016816284,0.06661725,0.0036341061,0.24145363,0.0011021616
הנאשם התקשה לקחת אחריות על העבירה בה הורשע.,0.0021380913,0.99995625,1.5303207e-05,0.0031012564,0.0049817567,0.0135865975,0.0019423935,0.2032192,0.00015027064,0.0023249744,0.38954014,0.9935262,0.8931264,0.9986828
"שרות המבחן בדק עמו אם החזיק את הנשק על רקע תחושת איום לה היה נתון בעבר, אך הנאשם שלל צורך בהגנה על עצמו או על משפחתו.",0.002651102,0.99996424,0.99993753,0.010047481,0.99536765,0.9973097,0.0025055658,0.7311768,0.00015702548,0.0018298145,0.15470918,0.8880382,0.43307397,0.0011077826
"לפיכך, התקשה שרות המבחן לבחון מניעי התנהגותו והרקע לכך.",0.0033552037,5.48536e-06,1.8130942e-05,0.003395271,0.0051475368,0.10433509,0.0016705045,0.2249765,0.00016621604,0.0024392167,0.12297815,0.101364054,0.23005262,0.0014631803
"השרות התרשם שהנאשם מנהל אורח חיים תקין, הוא אינו מעורב בסכסוכים וביטא ערכים ועמדות נורמטיביות תוך שהוא מכיר בסכנה שיש בהחזקת נשק באופן לא חוקי.",0.0026237783,0.99996257,4.085252e-05,0.0058896895,0.005307324,0.97247386,0.0013732186,0.445868,0.00015066478,0.0015400273,0.20091979,0.4956726,0.46276549,0.0017548958
לאחר שכלול גורמי סיכון וסיכוי לשיקום המליץ שרות המבחן להטיל על הנאשם עונש מאסר לריצוי בעבודות שרות.,0.91496253,5.3650315e-06,1.5093654e-05,0.0033846097,0.005553076,0.0034104653,0.0009219254,0.050279956,0.00014735265,0.0017537127,0.08981058,0.017998882,0.06542156,0.0010976567
בתסקיר משלים מיום 12.1.20 נאמר שהנאשם הוסיף והתקשה ליטול אחריות על מעשיו ונטה לייחס הימצאות הנשק בקרבת ביתו לנסיון של קרובי משפחה להפלילו לאחר שהעיד נגד דודו במשטרה ובבית המשפט בעבר.,0.0050362237,0.9999633,0.999926,0.0044029187,0.98591995,0.98387027,0.0060746823,0.5638278,0.00016472331,0.0022458278,0.23362195,0.96919906,0.5368811,0.9975249
