,sentence,true_label,predicted_label,probabilities
407,"הנאשם לוקח אחריות מלאה על ביצוע העבירה, מורתע מתקופת מעצרו ומההליך המשפטי ומביע נכונות לשאת בתוצאות מעשיו.",0,1,0.9927452
64,"אשר על כן, אני גוזרת על הנאשם את העונשים כדלהלן:",0,1,0.99053884
635,לאור כל האמור לעיל אני גוזר על הנאשם את העונשים הבאים:,0,1,0.9899719
830,נתונים אלה יביאו למיתון העונש שיושת על הנאשם וימנעו את מיצוי מלוא כובד הדין עמו.,0,1,0.9894817
60,אשר על כן אני גוזרת על הנאשם את העונשים שלהלן:,0,1,0.9887694
973,תגיד לי שאתה למטה..,0,1,0.9879233
648,לאחר שבית המשפט שמע טיעוני הצדדים על פה; עיין בראיות לעונש; עיין בפסיקה שהוגשה; שמע דברו האחרון של הנאשם; גוזר על הנאשם את העונשים כדלקמן:,0,1,0.9877808
674,לזכות הנאשם תילקח הודאתו באשמה ונטילת האחריות מצדו.,0,1,0.9869752
61,אשר על כן אני משית על הנאשם את העונשים הבאים:,0,1,0.9862076
475,העזרה של הנאשם היתה מאד חשובה לנו.,0,1,0.98620737
628,"לאור האמור, אני מטיל בזאת על הנאשם את העונשים הבאים:",0,1,0.985993
43,אני משית אפוא על הנאשם את העונשים הבאים:,0,1,0.9858867
117,בדברו האחרון עת פנה לבית המשפט אמר הנאשם כי עם שחרורו ממאסר בכוונתו לפנות לאפיק טיפולי מתוך בחירה ומבלי שהטיפול נכפה עליו – יש לקוות כי כך אכן יעשה הנאשם וישקם את חייו.,0,1,0.9844386
63,"אשר על כן – ובהתחשב בשיקולים לכף חומרה ולכף קולה, אשר פורטו לעיל – אני גוזר על הנאשם את העונשים הבאים:",0,1,0.9839245
293,"הדגישה את רצונו של הנאשם לעשות שינוי, והביעה מוכנות ורצון לעזור לו.",0,1,0.9796525
148,"בהתייחס לעונש המתאים לנאשם, המאשימה עמדה על הודאת הנאשם במיוחס לו, והאחריות שנטל למעשיו.",0,1,0.97904986
328,"היום הופיעו הצדדים בפניי לאחר שביקשו להפריד את עניינם מהנאשמים האחרים, לגזור את הדין באופן שבו יוכל הנאשם שמעוניין לכפר על העבירות שביצע להתחיל לרצות את עונשו כבר מחר.",0,1,0.97830164
352,הנאשם אמר את דברו.,0,1,0.9782291
49,"אשר להליכי הגמילה שעבר טענה, כי הוא עושה מאמצים לשקם את חייו, הוא נעדר דפוסים עברייניים מושרשים, ומאז הגשת כתב האישום ניסה לשמור על ניקיונו מסמים, כפי שאכן היה ברוב התקופה.",0,1,0.9781893
69,אתה תזחל...,0,1,0.9762279
804,נוכח הודאתו של הנאשם הורשע במיוחס לו בכתב האישום המתוקן בעבירות הבאות:,0,1,0.97569066
