,sentence,true_label,predicted_label,probabilities
707,"יש לציין שעל פי סעיף 9 לכתב האישום המתוקן, היי בוצע על ידי הסוכן ולא על ידי הנאשם והנאשם גם לא הורשע בעבירה של ירי באזור מגורים.",0.0,1,0.99960595
446,"בנוסף, יש לקחת בחשבון את העובדה שבינתיים הורשע בעבירות נוספות, אשר משקפות דפוס אלים וזלזול ברכוש ובשוטרים, כאשר לא היתה בהסתבכות הקודמת כדי להרתיעו מלהסלים פעילותו העבריינית.",0.0,1,0.99959666
820,"בנסיבות שאינן קשורות בביצוע העבירות, הודגש עברו הפלילי המכביד של הנאשם, אשר הורשע לא מכבר בביצוע עבירות אחרות, כמפורט לעיל.",0.0,1,0.9995766
159,"הסניגור טען, כי יש להתחשב בתקופה הארוכה שעברה מיום מעצר הנאשם בגין העבירה בה הורשע כאן, ליום הגשת כתב האישום – חייו של הנאשם לא נעצרו ואף נולדו לו ולאשתו תאומות, כאמור.",0.0,1,0.999569
524,"הסניגור איזכר מספר מקרים ובין היתר תפ""ח (חי') 4069/07 מדינת ישראל נ' פלוני (25.5.2008) שם הודה הנאשם בהיזק בחומר נפץ ועבירות נשק, מרמה והפרת אמונים.",0.0,1,0.9995598
114,"הנאשם, יליד 83', הורשע במסגרת הסדר בכתב אישום אשר תוקן, בעבירות בנשק – לפי סעיף 144 (א) לחוק העונשין, התשל""ז-1977 (להלן: חוק העונשין).",0.0,1,0.99955183
516,"בתפ""ח 1121/09 מדינת ישראל נ' מרדכי לוי (15.7.2010) נאשם הורשע על סמך הודאתו בביצוע עבירות של נשיאה והובלת נשק, והיזק בחומר נפץ וחבלה בכוונה מחמירה בגין כך שהשליך רימון לעבר חדר מדרגות בבית מגורים בשעה שידע ששוהים חלק מדיירי הבית בדירותיהם.",0.0,1,0.9995371
526,במסגרת הסדר טיעון הודה הנאשם בהשלכת רימון לעבר חנות שגרם נזק למבנים.,0.0,1,0.9995209
823,"ב""כ המאשימה סיכמה, כי היא סבורה שיש לקבוע מתחם בעניינו של הנאשם  בין 5 ל- 7 שנים, כאשר חרף הודאת הנאשם, החיסכון בזמן שיפוטי והיעדר העבר הפלילי, משיקולי הרתעה יש למקמו לא בקצה התחתון.",0.0,1,0.9995022
368,"לדברי ב""כ המאשימה, באישום השני מדובר בשלושה אירועים שונים, שאירעו במהלך תקופה של ארבעה חודשים, תקופה שבמהלכה ביצע הנאשם את המיוחס לו בכתב האישום בכל האישומים.",0.0,1,0.99950004
