,verdict,text,part
0,ST-12-11-9037-234,"פ""ל 9037-11-12 מדינת ישראל נ' קדם(עציר)",בית משפט השלום לתעבורה בירושלים
2,ST-12-11-9037-234,פקודת התעבורה [נוסח חדש],נגד
3,ST-12-11-9037-234,"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970",נגד
4,ST-12-11-9037-234,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973",נגד
5,ST-12-11-9037-234,"חוק בתי המשפט [נוסח משולב], תשמ""ד-1984",נגד
6,ST-12-11-9037-234,"הנאשם בפני, אברהם קדם (להלן: ""הנאשם""), הורשע לאחר ניהול הוכחות בעבירות של נהיגה ללא רישיון נהיגה, עבירה לפי סעיף 10(א) לפקודת התעבורה, התשכ""א-1961 (להלן: ""פקודת התעבורה""); נהיגה תחת פסילה ביודעין, עבירה על סעיף 67 לפקודת התעבורה; נהיגה ללא ביטוח, עבירה לפי סעיף 2 לפקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970; הכשלת שוטר, עבירה לפי סעיף 275 לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין""); החזקת סם שלא לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) רישא, לפקודת הסמים המסוכנים (נוסח חדש), התשל""ג-1973 (להלן:""פקודת הסמים""); החזקת סם לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) סיפא, לפקודת הסמים ונהיגה בפזיזות, עבירה לפי סעיף 338(1) לחוק העונשין.",גזר דין
7,ST-12-11-9037-234,"בסביבות השעה 23:45 הגיע הנאשם עם הקטנוע לרח' ""עץ הדר"", החנה את הקטנוע ונכנס לתוך דירה אשר תוצפתה ע""י שוטרים.",גזר דין
8,ST-12-11-9037-234,בדירה רכש הנאשם סמים ולאחר הרכישה חזר אל הקטנוע ונסע לכיוון צומת בר אילן.,גזר דין
9,ST-12-11-9037-234,השוטרים נסעו אחרי הנאשם והורו לו לעצור בצד הדרך.,גזר דין
10,ST-12-11-9037-234,"בתגובה פתח הנאשם בנסיעה פרועה תוך שהוא חוצה מספר רמזורים באור אדום עד שאיבד שליטה, נפל לכביש ופתח בריצה.",גזר דין
11,ST-12-11-9037-234,באותו שלב נפלה חבילת חשיש לרצפה.,גזר דין
12,ST-12-11-9037-234,"על פי הנטען החזיק הנאשם באירוע זה בסם מסוכן מסוג חשיש במשקל כולל של 1,254 גרם ברוטו.",גזר דין
13,ST-12-11-9037-234,כמו כן נטען בכתב האישום כי ביום 19.11.12 החזיק הנאשם בביתו  סם מסוכן מסוג חשיש ללא היתר לשימוש עצמי ומשקל.,גזר דין
14,ST-12-11-9037-234,"המעשים הנ""ל נעשו בזמן שהנאשם היה פסול מלקבל רישיון נהיגה בשל עונש פסילה לשלוש שנים שהוטל עליו בנוכחותו ביום 26.1.12 בתיק פ""ל 5246-01-12.",גזר דין
15,ST-12-11-9037-234,עם תחילת משפטו כפר הנאשם באשמתו וטען כי המשטרה טעתה בזיהוי וכי לא הוא היה נהג הקטנוע.,גזר דין
16,ST-12-11-9037-234,"לאחר שמיעת העדים נקבע כי אכן היה זה הנאשם שביצע את המעשים המתוארים בכתב האישום והוא הורשע בעבירות שיוחסו לו, פרט לעבירת גניבת רכב.",גזר דין
17,ST-12-11-9037-234,"ב""כ המאשימה הדגיש כי הנאשם ביצע את העבירות בזמן פסילה וציין כי לנאשם עבר פלילי לא מבוטל.",גזר דין
18,ST-12-11-9037-234,"עוד טען ב""כ המאשימה כי הנאשם מבצע את אותן עבירות פעם אחר פעם, ולמרות שעוד אך השתחרר מן הכלא, חזר מהר לסורו.",גזר דין
19,ST-12-11-9037-234,"כמו כן ביקש להפעיל שני מאסרים על תנאי, של שנה ושל חצי שנה, שהוטלו על הנאשם בפ""ל 5246-01-12.",גזר דין
20,ST-12-11-9037-234,"ב""כ המאשימה ביקש להטיל על הנאשם עונש מאסר בפועל ארוך, פסילה לצמיתות, פסילה על תנאי וקנס מרתיע.",גזר דין
21,ST-12-11-9037-234,"ב""כ הנאשם טען כי גזר הדין בפ""ל 5246-01-12 אינו חוקי מאחר שתיקונו נעשה בניגוד לחוק אחד-עשר חודשים לאחר שניתן.",גזר דין
22,ST-12-11-9037-234,"עוד טען ב""כ הנאשם כי לא ניתן להפעיל במצטבר שני מאסרים על תנאי שהוטלו באותו גזר דין.",גזר דין
23,ST-12-11-9037-234,"ב""כ הנאשם התייחס לתיקון 113 לחוק העונשין וטען כי אין להתחשב בעברו הפלילי של נאשם לעניין מתחם העונש ההולם.",גזר דין
24,ST-12-11-9037-234,טענתו הייתה כי מדיניות הענישה בעבירות דומות אינה חמורה וכי לפי מדיניות זו יש לקבוע את מתחם העונש.,גזר דין
25,ST-12-11-9037-234,לבסוף ציין את נסיבותיו האישיות של הנאשם וביקש להטיל עליו עונש מתון.,גזר דין
26,ST-12-11-9037-234,גזירת הדין בהתאם לתיקון 113 לחוק העונשין,גזר דין
