text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"הנאשם הורשע, לאחר שמיעת הוכחות, בעבירות של החזקת נשק, תחמושת ואבזרי נשק.",9.76781e-06,5.216736e-06,0.9999962,0.9675539,5.216766e-06,5.524305e-05,0.9446521,0.95000416,3.3401095e-05,1.8083007e-05,0.0002104811,6.0257706e-05,0.00013023731,0.9999964
"על פי עובדות הכרעת הדין, ביום 6.5.24 החזיק הנאשם בבית מגורים שבבעלותו, הנמצא בעיר חברון (להלן: הבית), כלי נשק ואבזרי נשק שונים, ללא היתר כדין:",8.477922e-06,5.1783027e-06,0.99999607,0.15437391,0.9999852,0.31593588,0.9976966,0.9999485,1.9271112e-05,0.005932236,0.00028939726,8.6851e-05,0.00020543973,2.9837286e-06
"שלושה רימוני יד, המשמשים לאימון הטלת רימון רסס.",1.1094151e-05,5.3665567e-06,0.9999962,0.753717,0.99951077,0.95152074,0.99993277,0.99988186,0.9999963,0.99998677,0.0003246246,8.359946e-05,0.00013592119,3.347434e-06
28 מחסניות לאקדח גלוק ועשרות כדורים.,1.0946867e-05,5.4936263e-06,0.9999962,0.9999969,0.99997663,3.9153387e-05,0.99996996,0.99991834,0.99999607,0.9283858,0.00040540527,8.25598e-05,0.000139851,3.2812395e-06
שני נרתיקים לאקדח ונרתיק אחד למחסניות.,1.1114558e-05,5.327374e-06,0.9999958,0.99999535,0.99991596,8.4019586e-05,0.9999491,0.9996195,0.99999607,0.0061235125,0.0007882817,0.000116998075,0.00028918346,3.4080626e-06
"להשלמת התמונה אוסיף, כי יוחס לנאשם אישום נוסף, ממנו זוכה.",1.0245559e-05,5.2355563e-06,9.614963e-06,3.1854e-05,4.3963432e-06,8.787187e-06,9.477615e-06,2.5112033e-05,1.9691002e-05,2.3278008e-05,0.00030414524,8.898516e-05,0.0015912624,0.99999475
"ב""כ המאשימה הפנה לחומרת העבירות בהן הורשע הנאשם, פגיעתן בערכים מוגנים, פוטנציאל הנזק שבהן והצורך להרתיע מפני ביצוען.",7.0718147e-06,5.2799664e-06,9.432422e-06,3.9303548e-05,4.512792e-06,1.6033253e-05,7.412779e-06,1.4816875e-05,1.791512e-05,1.4365561e-05,0.00067943,0.0005476721,0.013008865,0.99998915
"לאור אלה טען, כי מתחם העונש ההולם הוא מאסר שבין שלוש שנים לשש שנים.",0.021275066,5.2297773e-06,9.57716e-06,4.390763e-05,4.241051e-06,8.537377e-06,7.613545e-06,1.5647936e-05,1.770365e-05,1.3678838e-05,0.00029795562,5.3748838e-05,0.0001509947,2.9027992e-06
"לאור נסיבות הענין, ובהן הרשעותיו הקודמות של הנאשם והעדר קבלת אחריות, ביקש ב""כ המאשימה להשית על הנאשם עונש בצידו הגבוה של המתחם.",7.669529e-06,0.99997866,9.417564e-06,3.438585e-05,4.074599e-06,1.14463455e-05,7.890851e-06,1.337592e-05,1.7883607e-05,1.2696641e-05,0.0008884988,0.99997056,0.71575576,0.999997
"ב""כ הנאשם ביקש לנהוג בנאשם מידת הרחמים וטען, כי עמדתה של המאשימה מחמירה עם הנאשם יתר על המידה.",7.501287e-06,5.289315e-06,9.340029e-06,3.5343848e-05,4.1646344e-06,1.2652643e-05,8.849283e-06,1.3869569e-05,1.8746992e-05,1.4117474e-05,0.00088055385,0.0010951436,0.8974309,3.1144295e-06
"בטיעונו הפנה לכך שהנאשם נשוי ואב לשני ילדים, שאחד מהם למרבה הצער נכה, והגיש מסמכים לעניין זה.",8.409949e-06,0.99997866,9.446808e-06,4.025844e-05,4.9152845e-06,1.3594191e-05,1.222031e-05,2.4752724e-05,1.8343995e-05,1.9465313e-05,0.00059711735,0.00011500507,0.006051579,3.6180923e-06
"עוד טען, כי אין לזקוף לחובת הנאשם את עמידתו על חפותו.",9.246685e-06,0.99997854,9.503455e-06,3.521338e-05,4.123891e-06,1.4178094e-05,9.705265e-06,2.1815016e-05,1.9604942e-05,1.6599719e-05,0.0005987059,0.2089954,0.9957898,9.963321e-06
"בנוסף טען, כי מעשיו של הנאשם לא הסבו כל נזק וכי יש לאזן את עונשו עם שיקולי השיקום.",6.4201645e-06,5.2897694e-06,9.375743e-06,3.546269e-05,4.067238e-06,0.00053908664,7.969981e-06,1.4513191e-05,1.8576851e-05,1.5761174e-05,0.105123214,0.0014565076,0.9947408,0.0031088786
הנאשם לא ביקש לומר דבר.,9.97962e-06,5.71282e-06,9.896483e-06,3.825537e-05,4.521701e-06,1.8498413e-05,1.4762572e-05,2.8252714e-05,1.9901006e-05,2.2959188e-05,0.0007407456,8.5748354e-05,0.309831,2.466951e-06
"ב""כ שני הצדדים הגישו פסיקה לתמיכה בעמדותיהם.",9.3589115e-06,5.5066976e-06,9.609326e-06,3.4737957e-05,4.0301366e-06,1.3013283e-05,1.2988671e-05,2.4920324e-05,1.970592e-05,1.8789946e-05,0.0013215527,5.498289e-05,0.00039488156,2.3924058e-06
"עם זאת אציין, כי חלק מהפסיקה שהוגש הוא מהעת שקדמה לתיקון 140 לחוק העונשין (אליו אתייחס בהמשך) ועל כן משקלה מועט.",9.0957465e-06,5.366132e-06,9.301361e-06,4.6153487e-05,4.0692557e-06,8.846524e-06,8.908768e-06,2.7405098e-05,1.8674118e-05,1.9185627e-05,0.00040334638,0.000101781516,0.00055809494,2.9467121e-06
"הנאשם החזיק בביתו אקדח מסוג גלוק, תחמושת רבה ו-28 מחסניות תואמות לאקדח, מחסנית לרובה 16M, וכן שלושה רימוני אימונים, אשר גם אם אינם קטלניים, יכולים לגרום נזק.",1.0382762e-05,5.273832e-06,0.9999962,0.99999726,0.9999846,0.97336775,0.9999715,0.9999666,0.9999964,0.999979,0.00035732644,0.00013910397,0.00031486936,3.3185977e-06
"עבירה זו מקימה פוטנציאל ממשי לפגיעה בערך המוגן החשוב מכל, שמירה על חיי אדם, שהרי החזקת נשק שלא כדין מקפלת בתוכה סיכון ממשי כי יעשה בו שימוש לביצוע עבירות פליליות, ובכך יביא לקיפוח נפש – וכמעט מדי יום אנו מקבלים לכך המחשה חיה, בין אם במסגרת אירוע בטחוני בין אם במסגרת אירוע פלילי.",1.26790965e-05,5.274345e-06,9.4577335e-06,0.1021118,8.608366e-06,0.9998567,0.0005962538,0.99985754,2.2326669e-05,0.9987037,0.0007188096,0.008504292,0.0069318404,4.3995014e-06
בית המשפט העליון עמד בשורה ארוכה של פסקי דין על חומרתן הרבה של עבירות הנשק והסכנה הטמונה בהן ועל הצורך להחמיר עם מבצעיהן.,8.744728e-06,5.1567763e-06,9.2511655e-06,0.00024785617,4.561318e-06,0.00023779349,3.048231e-05,5.413092e-05,1.9520057e-05,0.9666395,0.0007801166,0.00014330045,0.000772295,3.3194872e-06
"כמו כן, לאור ריבוי מקרים בהם שימוש בנשק לא חוקי הביא לאבדן חיי אדם, ישנה בשנים האחרונות מגמת החמרה ניכרת בענישה בעבירות אלו, המתבטאת גם בתיקון 140 לחוק העונשין אשר קבע בצד עבירות נשק עונש מזערי, אליו אתייחס בהמשך.",8.450646e-06,1.776164e-05,0.99999356,0.024760628,5.683768e-06,0.72123736,3.9029288e-05,0.057695307,2.219215e-05,0.9997008,0.00041819425,0.00021700455,0.0006333249,3.3745182e-06
"לאחרונה נתן המחוקק דעתו לצורך בהחמרת הענישה של אלה המורשעים בעבירות נשק, כאשר במסגרת תיקון מס' 140 עיגן באופן חריג עונשי מינימום בעבירות נשק, כך שהעונש שיושת בגינן יעמוד לכל הפחות על רבע העונש המרבי שנקבע לעבירה, אלא אם החליט בית המשפט מטעמים מיוחדים שיירשמו להקל בעונש (סעיף 144(ז) לחוק העונשין, התשל""ז-1977; וראו: דברי ההסבר להצעת חוק העונשין (תיקון מס' 142 – הוראת שעה)(עונש מזערי על החזקת נשק בלא רשות על פי דין), התשפ""א-2021, ה""ח 90).",1.34114025e-05,5.175538e-06,9.327175e-06,0.00014720336,6.8449244e-06,5.8132053e-05,2.619701e-05,0.0017697361,1.954828e-05,3.082638e-05,0.00032635362,0.0001547374,0.00037131252,4.3654727e-06
"בקביעת מתחם העונש אביא בחשבון את חומרת מעשיו של הנאשם, המתבטאת, בצד החזקת האקדח, בכמות התחמושת והמחסניות אותן החזיק הנאשם, המקשה לקבל את ההנחה כי מדובר בהחזקה ""לשימוש עצמי בלבד"", פוטנציאל הנזק הטמון במעשים, הצורך החיוני להרתיע מפני ביצוע עבירות דומות, רמת הענישה הנוהגת והעונש המזערי שבצידה של העבירה.",8.320775e-06,5.326805e-06,0.9999962,0.9999956,2.3687136e-05,0.9988966,0.99933344,0.97106004,0.99999595,0.98425364,0.11038478,0.998494,0.97677326,5.96139e-06
"הנאשם יליד שנת 1986, ומטיעוני ב""כ כוחו עולה כי הוא נשוי ואב לילדים, אשר למרבה הצער אחד מהם סובל מנכות (הוצגו לעניין זה מסמכים מהביטוח הלאומי).",9.461721e-06,0.99997866,9.413175e-06,4.2442094e-05,6.239336e-06,1.32550185e-05,2.0300964e-05,3.0471003e-05,1.8034907e-05,1.996876e-05,0.000591241,0.00014336714,0.015820745,3.5516327e-06
לחובת הנאשם מסר הרשעות קודמות:,1.2203681e-05,0.9999788,9.4974475e-06,4.066626e-05,6.409483e-06,5.057894e-06,5.9858066e-06,4.496824e-05,2.1322348e-05,2.0050644e-05,0.0002531226,5.176316e-05,0.00018482174,0.0013855471
בשנת 2005 הורשע בהחזקת סכין ונדון למאסר מותנה.,1.978097e-05,0.99997866,0.99999607,5.688491e-05,4.8545744e-06,1.3386346e-05,9.6521755e-05,0.0004546885,0.99999607,0.49679366,0.0003390614,5.320339e-05,0.00015835662,0.9995105
בשנת 2007 הורשע בהחזקת נשק והחזקת סכין ונדון לששה חודשי מאסר בעבודות שירות ועונשים נלווים.,0.9999865,0.999974,0.99999607,6.806611e-05,1.0473878e-05,0.00024433434,0.00024946884,0.09257139,0.99999475,0.9496426,0.00037158906,4.6035948e-05,0.00013052973,0.0049345545
בשנת 2009 הורשע בעבירות של הכנת עבירה בחומרים מסוכנים והחזקת סכין ונדון לשבעה חודשי מאסר בפועל ועונשים נלווים.,0.99998355,0.99997866,0.99999607,6.740803e-05,4.924899e-06,2.3310906e-05,2.2600618e-05,0.0013167213,0.9999956,0.5492499,0.0002438282,5.5708057e-05,0.00019253533,0.00020662587
"בשנת 2009 הורשע הנאשם בהליך נוסף בעבירות של ניסיון לסחר בנשק וקשר לפשע, ונדון לשנה מאסר ועונשים נלווים.",0.99635845,0.99997866,5.3478067e-05,4.8949747e-05,4.6838336e-06,0.00876398,1.205226e-05,0.009748515,2.0513226e-05,0.969675,0.00020014071,5.331309e-05,0.00019804215,0.99998605
בשנת 2019 הורשע הנאשם בגניבה ונדון למאסר מותנה.,1.3689343e-05,0.99997866,9.6535905e-06,3.6885405e-05,4.987026e-06,8.341495e-06,1.2059309e-05,2.792802e-05,2.0388601e-05,1.5151514e-05,0.00031998666,4.7362653e-05,0.00021069111,0.9999887
מכלול שיקולי הענישה פועל לחובת הנאשם:,8.671555e-06,5.5785035e-06,9.560971e-06,3.8383307e-05,5.0985163e-06,6.3091147e-06,5.134801e-06,2.3277742e-05,1.9392346e-05,1.6338237e-05,0.00026443868,7.375876e-05,0.0010754004,2.3771793e-06
"מדובר במי שלחובתו מספר הרשעות קודמות, בעבירות ממין העניין, ובכלל זה ניסיון סחר בנשק והחזקת נשק, בגינן נדון למספר מאסרים, אשר לא הביאו להרתעתו.",9.05785e-06,0.99997866,9.572339e-06,0.00017316082,4.912304e-06,0.012046416,2.9815279e-05,0.41280612,1.8059929e-05,0.013695693,0.0003047391,0.00011564168,0.0009937368,0.050616074
"מעבר לכך, הנאשם לא קיבל אחריות למעשיו, וכאשר העיד ניכר בו, כי אינו מודע כלל לחומרת מעשיו ופוטנציאל הנזק הטמון בהם, וכי הוא חדור תחושת קרבנות, כאילו נעשה לו עוול בעצם מעצרו והאשמתו בעבירות בהן הורשע.",8.9239975e-06,0.99997866,9.406264e-06,4.7691563e-05,5.3109584e-06,0.9989386,1.3766756e-05,0.0034801948,1.7807008e-05,0.00021017868,0.99880815,0.9999968,0.99990404,0.999997
"אדגיש, כי לא אחמיר עם הנאשם בשל עצם כפירתו, שהרי זו זכות השמורה לכל נאשם.",1.0731146e-05,5.3560952e-06,9.43657e-06,3.941318e-05,4.27734e-06,3.8324673e-05,9.252445e-06,2.1167014e-05,1.8426032e-05,1.8290422e-05,0.00041032914,0.003174994,0.98840207,6.1392893e-06
"עם זאת, נאשם אשר מקבל אחריות למעשיו, ומבין את הפסול שבהם, זכאי להקלה, ממנה לא יהנה הנאשם.",1.2267004e-05,0.9999728,9.538676e-06,5.1331903e-05,5.078426e-06,0.06059933,1.0950282e-05,3.3894663e-05,1.8435769e-05,3.1878648e-05,0.0021020102,0.9999883,0.9995111,6.830109e-06
"בצד זאת אציין, כי ההליך נוהל באופן ממוקד וענייני, ועיקר חומר הראיות הוגש בהסכמה.",7.543628e-06,5.235691e-06,9.520844e-06,2.9581908e-05,3.5765747e-06,7.1326094e-06,8.081357e-06,1.747684e-05,1.826532e-05,1.6631788e-05,0.009803312,8.595302e-05,0.00063820253,3.2520156e-06
