text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  6, 7.א., 7.ג, 10",0.00017007953,2.8888426e-05,2.4224097e-05,0.9999875,0.00046706575,0.0011227599,0.0006210547,0.03813029,0.039454546,0.00017017117,0.001710413
"חוק העונשין, תשל""ז-1977: סע'  40ד, 40יא, 40יא(6)",0.00020088156,2.9879664e-05,2.8233806e-05,0.99998724,0.00044411529,0.0015628731,0.00064924324,0.015976025,0.08047477,0.00013447001,0.00042015043
"הנאשם הורשע לאחר ניהול הוכחות, בעבירות הבאות: ייצור, הכנה והפקת סמים מסוכנים, לפי סעיף 6 לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""הפקודה""); החזקת סם שלא לצריכה עצמית, לפי סעיף 7(א) ו-(ג) רישא לפקודה;  החזקת כלים המשמשים להכנת סם מסוכן או לצריכתו, לפי סעיף 10 רישא לפקודה.",0.00017231242,3.1835807e-05,0.9999112,0.9999871,0.09993041,0.93143356,0.033713028,0.12639657,0.026012572,0.00018202959,0.9995908
"החל מיום 1.1.21, שכר הנאשם ברמת גן שתי דירות גן, להן קיר משותף (להלן: ""הדירה הדרומית"" ו""הדירה הצפונית"").",0.00015082491,3.0720967e-05,0.996608,9.674853e-06,0.0010018365,0.028480632,0.08681132,0.9406895,0.007404023,0.00017789619,0.0007824902
"עובר ליום 2.11.21 במועד לא ידוע, הסב הנאשם את השימוש בדירה הצפונית למתחם לגידול סמים מסוכנים מסוג קנבוס.",0.00012592644,3.040842e-05,0.99995744,8.978469e-06,0.99956566,0.9997881,0.9842218,0.9675006,0.0059397626,0.00015411689,0.0004708684
"לשם כך התקין בה ציוד להפקה, הכנה וטיפול בקנבוס, כולל גופי תאורה ייעודיים, מערכות אוורור והשקיה, אדניות וחומרי דישון.",0.00018968846,3.587597e-05,0.9999552,9.261733e-06,0.9996582,0.008499035,0.112580545,0.9975944,0.0125676645,0.0003113636,0.00074135076
"במשך תקופה לא ידועה ועד ליום 2.11.21, גידל הנאשם בדירה הצפונית 254 עציצים ובהם סם מסוכן מסוג קנבוס במשקל כולל של 159.56 ק""ג נטו.",0.00012302287,3.0195937e-05,0.99996173,8.84904e-06,0.9996283,0.9998641,0.9995196,0.97477734,0.005542075,0.00017668736,0.0006502294
"עוד החזיק הנאשם בדירה הצפונית שני שקים ובהם 3,066.57 גרם סם מסוכן מסוג קנבוס.",0.00016054887,3.0432468e-05,0.99996185,8.933611e-06,0.9996656,0.9998692,0.99971086,0.26388705,0.007479147,0.000190456,0.0005331951
"בארון בחדר בדירה הדרומית בה התגורר, החזיק הנאשם שמונה בקבוקי זכוכית, בכל אחד מהם 80 מ""ל נוזל המכיל סם מסוכן מסוג קנבוס, שלא לצריכתו העצמית.",0.00015453671,3.0352156e-05,0.99995875,8.949028e-06,0.99970835,0.9998703,0.99960345,0.90749276,0.0074750707,0.00018530348,0.0010398071
כל זאת ללא היתר כדין.,0.00024006791,3.514001e-05,0.00014492773,0.08176202,0.0005800083,0.0014010773,0.0030342457,0.7976298,0.010837795,0.00023720678,0.0002882009
ראיות התביעה לעניין העונש,0.00021320565,3.049996e-05,2.4854911e-05,0.9999875,0.00029744898,0.0006710974,0.0006702215,0.00521968,0.012730984,0.00012950704,0.00017566331
"תע/1 – גיליון רישום פלילי, לפיו לנאשם 3 הרשעות קודמות, בעיקר בעבירות אלימות, כולל הפרעה לשוטר במילוי תפקידו והדחה בחקירה, חלקן מבית משפט לנוער.",0.00018052837,0.9999964,3.107182e-05,9.040589e-06,0.00063703215,0.0009793922,0.0006304342,0.0033474981,0.0112800095,0.00017530475,0.25176582
הרשעתו האחרונה משנת 2009.,0.00032430261,0.99999523,2.6817013e-05,9.283319e-06,0.0004792824,0.0009588064,0.0010016919,0.008750061,0.015319966,0.00018735584,0.0004169265
ראיות לעונש מטעם ההגנה,0.00021997832,3.077569e-05,1.7273247e-05,0.9999876,0.00030508937,0.0006913069,0.00079545664,0.007285666,0.0092529375,0.00012935782,0.00017847864
"נע/1 - אסופת מסמכים רפואיים של אשת הנאשם וחמותו; דו""ח עסקאות להתקנת מערכות לשנים 2023- 2024; שאלון הורים לקלינאית תקשורת ביחס לבת הנאשם.",0.00012886267,0.9999957,0.9999057,9.155919e-06,0.0015893764,0.002277229,0.0035554185,0.8566027,0.010966557,0.00019672434,0.00023391782
