,sentence,true_label,predicted_label,probabilities
1019,"על-פי עובדות כתב האישום שבהן הודה הנאשם, אי השלמת העבירה לא נבע מחרטה של הנאשם (שאז, על-פי סעיף 28 בחוק העונשין, לא היה נושא באחריות פלילית וממילא היה מופטר מענישה), אלא בשל תפיסתו בידי המשטרה.",0,1,0.9999813
805,"בעת קביעת העונש בתוך המתחם יש לתת את הדעת לנסיבותיו האישיות של הנאשם ובהן עברו הפלילי שאינו מכביד, היותו נשוי ואב לשני פעוטות, היות המאסר מאסרו ראשון, הודאתו המיידית ושיתוף הפעולה מצדו בחקירתו.",0,1,0.99998105
1310,"על יסוד הודאת הנאשם בעובדות כאמור, הוא הורשע בעבירות נשק (החזקה ונשיאת נשק ותחמושת), לפי סעיף 144(א) ו - (ב) רישא וסיפא בחוק העונשין התשל""ז – 1977 (להלן: ""חוק העונשין""); ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה'",0,1,0.9999808
557,"הנאשם הודה לבית המשפט על הזמן שהקדיש לו, התנצל על הטעות שעשה בפני בית המשפט ובפני בני משפחתו.",0,1,0.9999801
757,הסניגור המשיך וטען למשמעות הסולחה אך הודה שעדיין לא קיימת סולחה מוגמרת.,0,1,0.99998
544,"ב""כ המאשימה: באשר לבקשת חברי לצורך דחייה למיון מוקדם לדחיה ארוכה יותר נתנגד לעיכוב ביצוע העונש, וזאת לאור העובדה שהערעור יוגש ככל הנראה אך ורק על חומרת העונש, והנאשם הודה בכתב האישום.",0,1,0.99997985
1122,"ב""כ המאשימה סיכמה, כי היא סבורה שיש לקבוע מתחם בעניינו של הנאשם  בין 5 ל- 7 שנים, כאשר חרף הודאת הנאשם, החיסכון בזמן שיפוטי והיעדר העבר הפלילי, משיקולי הרתעה יש למקמו לא בקצה התחתון.",0,1,0.9999795
755,במסגרת הסדר טיעון הודה הנאשם בהשלכת רימון לעבר חנות שגרם נזק למבנים.,0,1,0.99997866
749,"הסניגור איזכר מספר מקרים ובין היתר תפ""ח (חי') 4069/07 מדינת ישראל נ' פלוני (25.5.2008) שם הודה הנאשם בהיזק בחומר נפץ ועבירות נשק, מרמה והפרת אמונים.",0,1,0.9999783
734,"בתפ""ח 1121/09 מדינת ישראל נ' מרדכי לוי (15.7.2010) נאשם הורשע על סמך הודאתו בביצוע עבירות של נשיאה והובלת נשק, והיזק בחומר נפץ וחבלה בכוונה מחמירה בגין כך שהשליך רימון לעבר חדר מדרגות בבית מגורים בשעה שידע ששוהים חלק מדיירי הבית בדירותיהם.",0,1,0.9999763
245,"על פי סעיף 40יא לחוק, נסיבות הקשורות בנאשם, כהודאתו, יילקחו בחשבון בתוך מתחם העונש ההולם שנקבע.",1,0,0.99822396
256,"הודיה זו לא זו בלבד שהובילה לחסכון בזמן שיפוטי יקר, אלא גם מגלמת בתוכה נטילת אחריות על מעשיו.",1,0,1.3255373e-05
