,case,text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,RESPO,REGRET,CIR_USE,CIR_TYPE_WEP,CIR_STATUS_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_OBTAIN_WAY_WEP,CIR_MONEY_PAID_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,_HELD_WAY_WEP
0,ME-17-05-35227-215,"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג(א), 40ד(א), 40ט, 144(א), 144(ב), 40יא, א'1 לפרק ו'",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ME-17-05-35227-215,"פקודת סדר הדין הפלילי (מעצר וחיפוש) [נוסח חדש], תשכ""ט-1969: סע'  32, 39",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ME-17-05-35227-215,פקודת התעבורה [נוסח חדש]: סע'  43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ME-17-05-35227-215,"ביום 7 במאי 2017 בשעת צהריים נהג הנאשם בתיק זה, דוד טבצ'ניקוב, באופנוע מסוג קואנג יאנג טיו כשהוא נושא ומוביל עמו בתוך תא המטען תת-מקלע מאולתר שבתוכו מחסנית.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
4,ME-17-05-35227-215,"לפניי, הודה הנאשם בביצוע עבירה זו, בניגוד לסעיף 144(ב) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין"") והוא הורשע בה.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ME-17-05-35227-215,"לאחר הרשעתו, התבקש שירות המבחן לנפק תסקיר בעניינו של הנאשם.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ME-17-05-35227-215,להלן יובאו עיקרי ממצאיו:,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ME-17-05-35227-215,"הנאשם הוא כבן 20, רווק, יליד הארץ.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8,ME-17-05-35227-215,טרם מעצרו הוא התגורר בבית הוריו ועבד בחלוקת עיתונים.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
9,ME-17-05-35227-215,אביו נכה בשיעור 100% בשל עיוורון ובעיות תפקודיות נוספות; אימו גמלאית.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ME-17-05-35227-215,הנאשם גדל בשכונה בעלת מאפיינים שוליים ועברייניים ובמשפחה שהתמודדה עם קשיים כלכליים משמעותיים.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
11,ME-17-05-35227-215,כבר בגיל ½15 נוהלו נגדו הליכים פליליים.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ME-17-05-35227-215,בחלופת-מעצר בה שהה במסגרת הליכים פליליים שנוהלו בעניינו הפגין התנהגות אלימה והושב למעצר מאחורי סורג ובריח.,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ME-17-05-35227-215,הוא ריצה 9 חודשי מאסר על רקע מעורבותו באלימות-רחוב; במהלך ריצוי המאסר חבר לאוכלוסייה עבריינית ושולית; לאחר סיום ריצוי מאסרו הוא שולב במרכז לקידום נוער והשלים בו 12 שנות-לימוד עם בגרות חלקית ובמקביל עבד בעבודות מזדמנות.,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ME-17-05-35227-215,הוא אף ניסה להקים עסק עצמאי להשכרת כלי-רכב ונקלע לחובות.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
15,ME-17-05-35227-215,מגיל 16 החל לצרוך גראס וחשיש על-מנת להקל על כאבים כרוניים.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
16,ME-17-05-35227-215,"צוין, כי הנאשם הורשע בבית-משפט בחיפה ב-26.6.13 בעבירות של תקיפה הגורמת חבלה של ממש, תקיפה סתם, איומים, הפרעה לשוטר במילוי תפקידו וגניבה.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ME-17-05-35227-215,"בגין אלו הוטלו עליו מאסר על תנאי, קנס והתחייבות להימנע מעבירה.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ME-17-05-35227-215,"בו-ביום, במסגרת צירוף, הורשע בעבירות של הטרדת עד, שוד מזוין פציעה כשהעבריין מזוין והטרדת עד בנסיבות מחמירות.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ME-17-05-35227-215,"נגזר עליו מאסר בפועל למשך 12 חודשים ומאסרים על-תנאי למשך 3 שנים ופיצוי לנפגע בסך 4,000 ₪.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ME-17-05-35227-215,בפני שירות המבחן נטל הנאשם אחריות חלקית ופורמלית על מעשה העבירה והביע חרטה.,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ME-17-05-35227-215,"הוא טען, כי תוך כדי ביצוע עבודתו כמחלק עיתונים מצא תיק ובעזרתו סחב את העיתונים.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
22,ME-17-05-35227-215,"רק כשהגיע הביתה הבחין בנשק, המצוי בתיק.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
23,ME-17-05-35227-215,"הוא חשש להסגירו לידי המשטרה לנוכח עברו הפלילי; לפיכך התייעץ בחבר, אשר הציע לו למסור את הנשק למשטרה בעצמו.",0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
24,ME-17-05-35227-215,"לטענתו, כלי-הנשק אינו שלו והוא אינו יודע לומר מניין הגיע.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
