text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"אלכסנדר פיטייב, ת""ז 317235398",1.0094637e-05,5.365482e-06,9.497773e-06,5.1035775e-05,4.9960513e-06,4.3719556e-06,1.5356947e-05,4.3948767e-05,2.2373539e-05,2.157461e-05,0.00022066043,4.511957e-05,0.00017695659,2.5554707e-06
"חוק העונשין, תשל""ז-1977: סע'  29, 40ב, 40ג (א), 144(א), 144(ב), 144(ב2), 329(א)(2), (6), 40 יב, 499 (א)(1)",3.1696036e-05,5.1191546e-06,9.421724e-06,7.755704e-05,6.8968984e-06,9.442088e-06,8.93143e-06,0.0001126426,1.9067647e-05,2.0645857e-05,0.0002588686,0.00016270818,0.0005811703,3.0926958e-06
חוק-יסוד: כבוד האדם וחירותו,1.6445787e-05,5.5986716e-06,9.55111e-06,6.036342e-05,5.5488226e-06,5.166158e-06,8.197714e-06,7.6118224e-05,2.6204158e-05,3.5541743e-05,0.00036987598,5.6930327e-05,0.0004968134,2.4321303e-06
גזר הדין מהווה חלק בלתי נפרד מהחלטה שניתנה ביום 15/10/13 ותצוטט במלואה:,9.113181e-06,5.058676e-06,9.262025e-06,3.8623115e-05,5.3476792e-06,5.3913996e-06,5.206021e-06,2.2208538e-05,1.8825784e-05,1.5775715e-05,0.0002833296,7.447231e-05,0.00023062191,2.4671745e-06
"קשר לפשע – לפי סעיף 499 (א)(1) לחוק העונשין, התשל""ז-1977 (להלן: חוק העונשין); חבלה בכוונה מחמירה – לפי סעיף 329(א)(2) ו-(6) + 29 לחוק העונשין; יצור נשק – לפי סעיף 144(ב2) + 29 לחוק העונשין; החזקת נשק – לפי סעיף 144(א) רישא + 29 לחוק העונשין, ונשיאת נשק – לפי סעיף 144(ב) רישא + 29 לחוק העונשין,",1.2994643e-05,5.013707e-06,9.314695e-06,0.00018304096,5.8834817e-06,0.00024709266,2.2363898e-05,0.9223581,1.9346244e-05,0.9998758,0.00021160008,0.00016557019,0.00059490907,0.12888525
תמצית העובדות המפורטות בכתב האישום המתוקן,1.1063056e-05,5.633195e-06,9.522325e-06,3.8847185e-05,5.9275794e-06,3.872428e-06,5.75811e-06,7.110465e-05,2.247962e-05,2.228487e-05,0.0002459309,6.916819e-05,0.00017442256,2.6655632e-06
"בתאריך 8/8/12 לפנות בוקר, שהה הנאשם בחניון אגם מונפורט (להלן: האגם), ביחד עם חבריו א.ל, שהיה קטין באותו מועד (להלן: א'), רוברט תומס (להלן: רוברט) ופאר גרידיש (להלן: פאר; כל אלה ביחד ייקראו להלן: חברי הנאשם).",1.25694905e-05,5.244641e-06,9.328145e-06,6.232121e-05,0.89247715,2.0332987e-05,0.0005091502,0.9936684,2.508597e-05,0.5629874,0.0008441998,0.00014219465,0.00082154875,3.477721e-06
"כן שהו במקום ד.ס., נ.א. ו-י.צ. (להלן: המתלוננים), במסגרת טיול, ביחד עם קבוצה של עשרות מחבריהם (להלן ביחד: הקבוצה).",1.635317e-05,5.214786e-06,9.336252e-06,5.389306e-05,0.0010416901,2.2566697e-05,6.839495e-05,0.9928275,1.9276627e-05,0.00017577189,0.00075844163,0.00010516138,0.00067558856,3.2652606e-06
"במהלך השהות באגם התפתחו דין ודברים בין הנאשם, פאר ורוברט לבין חלק מחברי הקבוצה, שלאחריו עזבו הנאשם וחבריו את המקום.",1.0096139e-05,5.425964e-06,9.414125e-06,4.967051e-05,0.99919873,0.00028828307,0.0028918625,0.9934089,2.803259e-05,0.07414245,0.01592904,0.00011114056,0.002016193,3.059803e-06
"סמוך לאחר מכן, בשעה 03:00 לערך, קשרו הנאשם וחבריו קשר לייצר בקבוקי תבערה וליידותם לעבר חברי הקבוצה, בכוונה להטיל בהם נכות ומום ולגרום להם חבלה חמורה.",7.684963e-06,5.16573e-06,0.9999962,0.00014753401,0.9999689,0.99996865,0.97825086,0.9999486,0.9999963,0.99999034,0.38557434,0.00011143504,0.0012178748,3.4648895e-06
