,sentence,true_label,predicted_label,probabilities
944,שירות המבחן התרשם כי מדובר באדם בעל יכולת הסתגלות ויציבות במסגרות ומגלה מידת אחריות לתפקידים אותם לקח בחייו.,0.0,1,0.99975425
260,התרשם שירות המבחן מאדם אשר מנהל אורח חיים שולי ומתקשה לקחת אחריות על הדרך הבעייתית בה ניהל את חייו.,0.0,1,0.9995819
201,"הנאשם תיאר בפני קצינת המבחן את הרקע לביצוע העבירה, וטען כי חווה פגיעה פיזית מצד משפחת המתלוננים והאשמות, אשר לתפיסתו, פגעו בו ובכבוד משפחתו.",0.0,1,0.9994042
234,"עוד עומדת לזכותו של הנאשם הודאתו במיוחס לו,  הודאה שניתנה אמנם בשלב מתקדם יחסית של ההליך, אך משקפת את נכונותו להכיר בחטאיו והיא תרמה  לחיסכון בזמן שיפוטי ובזמנם של העדים שטרם העידו.",0.0,1,0.99926466
1067,עוד סבורים שהנאשם נטל על עצמו את תפקיד שמירת האב ואבטחתו וכי בתקופת ביצוע העבירות היה שרוי בלחצים בשל האיומים כלפי אביו ושאיפתו לניצחונו בבחירות.,0.0,1,0.99913543
838,"צוין כי הנאשם אמנם התקשה להתחבר לרגשותיו שהיו ברקע לבחירותיו והתנהלותו, אך יחד עם זאת ביטא תחושות של צער וחרטה נוכח האירועים שהובילו למעורבותו בפלילים.",0.0,1,0.9988513
1084,"שירות המבחן התרשם מהנאשם, כמי שמתקשה בהתבוננות מעמיקה באשר לגורמים שהביאוהו להסבתך בעבירות ואינו מאפשר לבחון את העומד בבסיס בחירותיו והתנהלותו.",0.0,1,0.9987608
1278,"הנאשם עצמו, בדברים כנים ומרגשים, הביע חרטה עמוקה על מעשיו, הסביר שעובד כמנהל עסק גדול וחש אחראי לכל משפחתו.",0.0,1,0.9987092
229,"על כך הוסיפה הסנגורית כי מדובר בעבירות ישנות בהן הודה הנאשם עוד בחקירתו, במהלכה שיתף פעולה באופן מלא עם הגורמים הביטחוניים והסביר סיבותיו לביצוע העבירות.",0.0,1,0.99798477
825,"במסגרת זאת, לקחתי בחשבון את גילו הצעיר של הנאשם, היעדר העבר הפלילי, את הודאתו בביצוע העבירה והחיסכון בזמן שיפוטי.",0.0,1,0.9979122
