text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  36א, 36א(א)(1)",,,,,,,,,,,
בנסיבות אלו אני מכריז על הנאשם סוחר סמים.,,,,,,,,,,,
"לענין הקטנוע, הנאשם הודה שרכב עליו.",,,,,,,,,,,
לענין האייפון טוענים כי באמצעותו ניהל הנאשם את עסקאות הסמים.,,,,,,,,,,,
"לגבי השיק בסך 2,000 ₪ הטלפונים מלבד האייפון והמצלמות, ב""כ הנאשם הסכים לחילוטם.",,,,,,,,,,,
התביעה סבורה כי הכסף שנתפס היה לצורך גלגול עסק של הנאשם במכירת סמים.,,,,,,,,,,,
"הנאשם נדרש לקנות סמים וגילגל באמצעות הקנייה והמכירה, זהו מקור הסכומים של הכסף.",,,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,
"שהנידון הוא סוחר סמים ומשעשה כן   יצווה בגזר הדין, כי בנוסף לכל עונש יחולט לאוצר המדינה",,,,,,,,,,,
"כל רכוש של הנידון שהושג בעבירה של עסקת סמים, אלא אם כן סבר שלא לעשות כן מנימוקים מיוחדים שיפרט.",,,,,,,,,,,
"בית המשפט מבקש לציין כי ב""כ הנאשם טען לגבי נסיבותיו האישיות כלכליות קשות של הנאשם.",,,,,,,,,,,
וכן החזיק בביתו כמות סם שאינה מבוטלת.,,,,,,,,,,,
