,sentence,true_label,predicted_label,probabilities
39,"לטענתו, מדובר בסם המכונה ""סם פיצוציות"", וככזה יש למקם אותו ברף הבינוני של מדרג החומרה, בין קנבוס וחשיש לבין סמים ""קשים"" יותר כגון MDMA או קוקאין.",0,1,0.9999583
747,"אשר לערכים המוגנים, העבירות אותן עבר הנאשם פוגעות בערכים המוגנים של בריאות הציבור וביטחונו, כאשר הפצת סם לכל דורש, פוגע באופן ניכר בערכים המוגנים, גם אם מדובר בסם מסוג קנביס.",0,1,0.9999547
181,בייחוד נכונים הדברים במקום שהמדובר הוא בייבוא כמות משמעותית של סם העשויה לשמש להכנתן של מנות-סם רבות...,0,1,0.99995446
533,אביא להלן מספר דוגמאות למדיניות הענישה הנוהגת מפסיקתו של בית המשפט העליון 	בעבירה של סחר בסם מסוג קנבוס במספר הזדמנויות בכמויות קטנות בכל פעם כמו המקרה 	שבפניי:,0,1,0.9999541
134,"השניים קשרו קשר להקמת מעבדה לגידול סם מסוג קנבוס, ביצעו פעולות רבות לצורך הקמת המעבדה, רכשו ציוד רב לתפעול המעבדה, וגידלו במשך מספר חודשים שתילים במשקל כולל של 131 ק""ג.",0,1,0.9999541
493,"הנאשם היה אמון על הקשר עם הצרכנים וכן מסר את הסם בעצמו במקומות שונים; הוכיח נגישות לסם ויכולת לספק אותו תוך זמן קצר ללקוחות וכן החזיק ברשותו כמות שאיננה קטנה של קנאביס לצד משקל אלקטרוני, כשהוא מחולק וזמין למכירה, באופן המלמד על מעורבותו העמוקה בסחר.",0,1,0.99995327
122,"ביחס למספר השתילים (254 שתילים במשקל של כ- 159 ק""ג) והסמים שנתפסו בסופו של יום, טענה ב""כ המאשימה, כי מדובר באחת המעבדות הגדולות ביותר במחוז תל אביב שכרגע נדונות בבית המשפט.",0,1,0.99994946
270,"מדובר בשתי עסקאות של סמים אשר בוצעו באותה השיטה בדיוק, מול אותו סוכן משטרתי, ביחס לאותו סוג סם, אותה שיטת סחר, באותו אזור (קרית מוצקין), ולשם אותה המטרה.",0,1,0.99994886
25,"באותו מקרה סקר ביהמ""ש המחוזי את תכונותיהם הרעות של חומרים אלו והבהיר כי נוכח מאפייניהם אין להחיל על סמים ממשפחה זו את רמת הענישה המתונה באופן יחסי שנהוג להחיל על עבירות ביחס לסמים מסוג קנבוס או חשיש.",0,1,0.9999484
388,"במועדים הרלבנטיים לכתב האישום החזיק הנאשם במספר טלפון: 055-9257367, וכן באפליקציית טלגרם ב-3 יוזרים שונים לממכר סמים.",0,1,0.9999472
668,"כך גם אין חולק כי מדובר בסמים מסוכנים, מסוג חשיש וMDMA אשר החזקתם פוגעת בבריאות הציבור, בשלומו, בפגיעה הפיזית והנפשית אשר עלולה להיגרם כתוצאה ממנו, הן בטווח המידי והן בטווח הממושך, וודאי כאשר מדובר בנזקים שנגרמים לחברה כתוצאה מהשימוש בסם גם על ידי הפרט, מאחר שגם המשתמש הבודד מהווה סכנה מידית ומוחשית לסביבתו ולחברה בכללותה.",0,1,0.9999466
536,"שלל           		שימוש בסמים, ובבדיקה לאיתור שרידי סם בשירות המבחן הוא נמצאה נקיה            		משרידי סם.",0,1,0.9999428
377,"הנאשם מקסים דדון, שהוא נאשם מס' 2 בכתב אישום שייחס עבירות לקבוצת נאשמים, הורשע על פי הודאתו במסגרת הסדר טיעון בעבירות של סיוע לייבוא סם מסוכן, עבירה לפי סעיף 13 לפקודת הסמים המסוכנים [נוסח חדש] תשל""ג-1973 ביחד עם סעיף 31 וסעיף 29 לחוק העונשין, תשל""ז-1977 וכן בעבירה של ניסיון להחזקת סם מסוכן שלא לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) לפקודת הסמים המסוכנים + סעיפים 25 ו-29 לחוק העונשין.",0,1,0.9999428
73,"ברם, על כל פנים, אין מחלוקת כי הנאשם הזמין את הסם עבור עצמו ועבור חבריו, בכמות לא גדולה, ולא למטרות סחר ורווח כספי, כאשר בהזמנתו את הסם מחברו בקולומביה התנהל הנאשם בחובבנות יחסית ולא בתחכום רב.",0,1,0.9999423
669,דברים אלה יפים לטעמי בענייננו וודאי ככל שנוגעים להספקת סם מסוג הסם שמכר הנאשם.,0,1,0.9999416
700,"ביום 2.8.22 בשעה 22:40, הגיע הנאשם על רכבו מסוג ""סיטוראן"", לרחוב סוקולוב 94 בת""א וחסם את נתיב הנסיעה.",0,1,0.99994004
52,"ביום 19.11.20 העביר השוטר שלומי נחמן (להלן: ""השוטר שלומי"") 130 מ""ל מהסם לבקבוק אחר, יחד עם חומרים נוספים כך שייראה דומה לבקבוק (להלן: ""הבקבוק החלופי""), הכניס את הבקבוק החלופי לחבילה חדשה עליה הדביק מדבקות, והכניסה לשקית של החברה (להלן: ""החבילה החלופית"").",0,1,0.9999392
84,"כך גם יש לשקול, כי הנאשם הסביר הן בחקירותיו, הן בעדותו בבית המשפט והן בשיחתו עם שירות המבחן, כי ביצע את העבירה בעקבות התנסות קודמת בסם האייוואסקה אשר עוררה אצלו פלשבקים לאירועים טראומתיים ולפגיעה שחווה בעבר, וכי הוא חש שהשימוש בסם עוזר לו להירפא מבחינה נפשית.",0,1,0.9999367
76,"ביחס לשימוש שעשה בקולומביה בחומר משנה תודעה המופק מצמח האיוואסקה, מסר הנאשם כי מדובר בטקס מסורתי המונחה על ידי שאמאן, ומטרתו להביא למצב תודעתי עמוק יותר.",0,1,0.9999355
268,"משקל מסוים לקולה יינתן לעובדה שהיה זה הסוכן שיצר קשר עם הנאשם בשתי העסקאות,  אך יודגש כי לא מדובר במקרה של סוכן ""מדיח"",  ואף לא הועלתה  מצד ההגנה טענה בהקשר זה.",0,1,0.9999325
97,"הסכמה בדבר חילוט הרכב - ב""כ הצדדים הגיעו להסכמה, לה ניתנה ביום 3.6.24 תוקף של החלטה, לפיה היקף חילוט הרכב יעמוד על סך 17,000 ₪ וישולם באופן הבא: 15,000 ₪ מתוך כספים שהופקדו בקופת בית המשפט ו- 2,000 ₪ נוספים ינוכו מתשלום תגמולי ביטוח על סך 48,608 ₪, שקיבל הנאשם עבור רכב שנגנב.",0,1,0.99993217
464,לקולה שקלתי כי מדובר במשקלים נמוכים יחסית וכי התמורה שהשיג הנאשם בגין כלל העסקאות אינה מאד גבוהה.,0,1,0.99992967
130,"בהתחשב בהודאתו, לקיחת האחריות והעובדה שזהו מאסרו הראשון, עתרה למקמו בתחתית המתחם לצד ענישה נלווית של מאסר על תנאי, קנס בגובה עשרות אלפי שקלים ולהכריז עליו סוחר סמים.",0,1,0.999928
763,"התחייבות בסך 10,000 ₪ שלא לעבור כל עבירת סמים מסוג פשע במשך שנתיים מהיום.",0,1,0.9999274
49,"במועדים שאינם ידועים במדויק למאשימה עובר ליום 21.10.20, עמד הנאשם בקשר עם אדם בשם Jairo Zuluaga (להלן: ""איירו"") אותו הכיר בקולומביה, בעניין ייבוא סם האיוואסקה.",0,1,0.9999267
