feature_key,text,extraction
GENERAL_CIRCUM,"הוא הפנה לעברו הפלילי של הנאשם (תע/1) הכולל הרשעה קודמת בעבירות של קשירת קשר לביצוע פשע (סחר בנשק) ונשיאת נשק והובלתו, גזר דין מיום 30.3.17, במסגרתו הוטלו עליו 36 חודשי מאסר, לצד 8 חודשי מאסר על תנאי שהם בני הפעלה בתיקנו (תע/2), כאשר נסיבה לחומרה היא שהנאשם ביצע את העבירה בתיקנו שעה ותלוי עומד מעל ראשו עונש מאסר על תנאי בגין ביצוע עבירות נשק קודמות.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : כן', '11 : כן']"
GENERAL_CIRCUM,"כמו כן, טען התובע שהנאשם מרצה כעת עונש מאסר בן 15 חודשים בגין ביצוע עבירות סמים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"ב""כ הנאשם טען שמדובר בנאשם כבן 36, נשוי ואב ל-5 ילדים קטינים, בתו התינוקת נולדה עת שהה במאסר ועל כן לא ראה אותה.","['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"נטען שבתיק הסמים היו קשיים ראייתיים ועל כן, הגיעו הצדדים שם לענישה מתונה יחסית לתיקים שמתנהלים בבית המשפט המחוזי.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"כמו כן, טען שהתנתק מאותם אנשים שגרמו לו לבצע את העבירות בתיק זה ובתיקים הקודמים ואמר שמתכוון לזנוח את דרך הפשע ולעבוד כנהג משאית.","['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"כמו כן, אני נותן משקל לנסיבותיו האישיות של הנאשם, להיותו אב ל-5 ילידים קטינים ולעובדה שלאחרונה נולדה לו בת אותה לא ראה עקב היותו נתון במאסר.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"כיום, נתון הנאשם במאסר בן 15 חודשים (מיום 21.7.20) בגין תיק הסמים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,"אם בכל זאת החלטתי לחפוף תקופה קצרה מתקופת התנאי לעונש המאסר שיוטל, הרי שאעשה כן על מנת לעודד את הנאשם לנתק קשריו העברייניים עם אחרים, כפי שהתחייב לעשות, וליתן לו הזדמנות להוכיח שהפעם אכן פניו לחיי עבודה ומשפחה.","['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
CONFESSION,"הנאשם, יליד 1984, הורשע על פי הודאתו, ללא הסדר טיעון, בעבירה של החזקת נשק ותחמושת שלא כדין, בניגוד לסעיף 144(א) רישא וסיפא לחוק העונשין, תשל""ז-1977.",['כן']
CONFESSION,"עוד נטען שהנאשם ביקש להודות בתיק בהזדמנות הראשונה, נטל אחריות, חסך בזמן שיפוטי יקר ומזמנה של התביעה ושל העדים.",['כן']
CONFESSION,הנאשם בדברו האחרון הודה שטעה ואמר שמבין שעל טעויות יש לשלם.,['לא']
CONFESSION,"באשר לנסיבות שאינן קשורות בביצוע העבירות – אני נותן משקל לעובדה שהנאשם הודה בביצוע העבירה, הביע חרטה כנה והתנצל.",['כן']
CONFESSION,"כמו כן, אני נותן משקל לכך שהודאתו הביאה לחסכון בזמן שיפוטי יקר, חסכה מזמנה של התביעה ומזמנם של העדים.",['לא']
CIR_TYPE_WEP,"על פי עובדות כתב האישום ביום 3.2.20 החזיק הנאשם תת מקלע מאולתר ""קרלו"", עטוף בקפוצ'ון ומוסלק בין גלגליה האחוריים של משאית שעמדה בסמוך לביתו שבזמר.","['תת מקלע מאולתר, ""קרלו""']"
CIR_TYPE_WEP,"בנוסף, החזיק במחסנית תואמת לנשק ובה 11 כדורי 9 מ""מ עטופה בחולצה ומוסלקת בחלקה התחתון של המשאית.","['תת-מקלע (תמ""ק)']"
CIR_TYPE_WEP,"הנאשם החזיק נשק מסוג תת מקלע ""קרלו"", כשהוא עטוף בקפוצ'ון ומוסלק באחורי משאית.","['תת מקלע (תמ""ק)']"
CIR_TYPE_WEP,"כאמור, במקרה שלפניי, נסיבות ביצוע העבירה היו חמורות – מדובר בנשק מסוג תת מקלע שפגיעתו רבה יותר מאקדח ""רגיל""; לצד הנשק הוחזקה מחסנית טעונה בכדורים; לא ניתן הסבר על ידי הנאשם לסיבת החזקת הנשק והתחמושת ועל כן, לא ניתן לדעת מה עלול היה לעשות בו ולאילו ידיים יתגלגל.","['תת מקלע (תמ""ק)']"
CIR_HELD_WAY_WEP,"על פי עובדות כתב האישום ביום 3.2.20 החזיק הנאשם תת מקלע מאולתר ""קרלו"", עטוף בקפוצ'ון ומוסלק בין גלגליה האחוריים של משאית שעמדה בסמוך לביתו שבזמר.","['ברכב', 'מוסלק - מוסתר', 'סמוך לבית']"
CIR_HELD_WAY_WEP,"הנאשם החזיק נשק מסוג תת מקלע ""קרלו"", כשהוא עטוף בקפוצ'ון ומוסלק באחורי משאית.",['מוסלק - מוסתר']
CIR_HELD_WAY_WEP,"בחלק אחר של המשאית, בסמיכות לנשק, החזיק הנאשם מחסנית ובה 11 כדורי 9 מ""מ, כשהיא עטופה בחולצה.",['ברכב']
CIR_STATUS_WEP,"על פי עובדות כתב האישום ביום 3.2.20 החזיק הנאשם תת מקלע מאולתר ""קרלו"", עטוף בקפוצ'ון ומוסלק בין גלגליה האחוריים של משאית שעמדה בסמוך לביתו שבזמר.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"בנוסף, החזיק במחסנית תואמת לנשק ובה 11 כדורי 9 מ""מ עטופה בחולצה ומוסלקת בחלקה התחתון של המשאית.",['נשק עם מחסנית בהכנס']
CIR_STATUS_WEP,"בחלק אחר של המשאית, בסמיכות לנשק, החזיק הנאשם מחסנית ובה 11 כדורי 9 מ""מ, כשהיא עטופה בחולצה.",['נשק עם מחסנית בהכנס']
CIR_STATUS_WEP,"כאמור, במקרה שלפניי, נסיבות ביצוע העבירה היו חמורות – מדובר בנשק מסוג תת מקלע שפגיעתו רבה יותר מאקדח ""רגיל""; לצד הנשק הוחזקה מחסנית טעונה בכדורים; לא ניתן הסבר על ידי הנאשם לסיבת החזקת הנשק והתחמושת ועל כן, לא ניתן לדעת מה עלול היה לעשות בו ולאילו ידיים יתגלגל.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
PUNISHMENT_ACTUAL,"כמו כן, טען התובע שהנאשם מרצה כעת עונש מאסר בן 15 חודשים בגין ביצוע עבירות סמים.",['הנאשם קיבל 15 חודשי מאסר']
PUNISHMENT_ACTUAL,"התובע ציין שהנאשם היה עצור בגין תיקנו מיום 3.2.20 עד ליום 6.2.20; ומיום 28.2.20 ועד ליום 21.7.20, אז נגזרו עליו 15 חודשי מאסר בגין תיק הסמים.","['הנאשם קיבל 15 חודשי מאסר בפועל, לא על תנאי']"
PUNISHMENT_ACTUAL,"סה""כ ירצה הנאשם 26 חודשי מאסר, בניכוי ימי מעצרו – 6.2.20-3.2.20; 21.7.20-28.2.20.","['הנאשם קיבל 26 חודשי מאסר בפועל, ללא הסברים נוספים']"
PUNISHMENT_SUSPENDED,"הוא הפנה לעברו הפלילי של הנאשם (תע/1) הכולל הרשעה קודמת בעבירות של קשירת קשר לביצוע פשע (סחר בנשק) ונשיאת נשק והובלתו, גזר דין מיום 30.3.17, במסגרתו הוטלו עליו 36 חודשי מאסר, לצד 8 חודשי מאסר על תנאי שהם בני הפעלה בתיקנו (תע/2), כאשר נסיבה לחומרה היא שהנאשם ביצע את העבירה בתיקנו שעה ותלוי עומד מעל ראשו עונש מאסר על תנאי בגין ביצוע עבירות נשק קודמות.",['36 חודשי מאסר על תנאי']
PUNISHMENT_SUSPENDED,"לפיכך, עתר ב""כ הנאשם לגזור על הנאשם תקופת מאסר מידתית, להורות על הפעלת עונש המאסר על תנאי בן ה-8 חודשים שחציו ירוצה בחופף וחציו ירוצה במצטבר לעונש המאסר שיוטל בתיק זה, וכן לקבוע שמספר חודשי מאסר ירוצו בחופף לעונש המאסר אותו מרצה הנאשם כיום.",['8 חודשי מאסר על תנאי']
PUNISHMENT_SUSPENDED,"כמו כן, הוטלו עליו 8 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו שלא יעבור עבירות נשק מסוג פשע; לאחר ששוחרר ממאסרו, שב וביצע עבירה של גידול 50 ק""ג סם מסוכן מסוג קנבוס, בגינה נדון ביולי 2020 ל-15 חודשי מאסר; את העבירה מושא תיק זה ביצע כאשר תלויים ועומדים נגדו 8 חודשי מאסר על תנאי.",['הנאשם קיבל 8 חודשי מאסר על תנאי']
PUNISHMENT_SUSPENDED,12 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו שלא יעבור כל עבירה הנוגעת לנשק.,['12 חודשי מאסר על תנאי']
