,sentence,true_label,predicted_label,probabilities
497,"השניים קשרו קשר להקמת מעבדה לגידול סם מסוג קנבוס, ביצעו פעולות רבות לצורך הקמת המעבדה, רכשו ציוד רב לתפעול המעבדה, וגידלו במשך מספר חודשים שתילים במשקל כולל של 131 ק""ג.",0,1,0.9997032
101,באישום השלישי – מכר לא.ג סם מסוכן במשקל של גרם תמורת סכום של 50-60 ₪; באישום הרביעי–  מכר לשליו סם מסוכן 5 גרם תמורת 350 ₪; באישום החמישי– מכר לדניאל סם מסוכן במשקל  10 גרם תמורת 600 ₪.,0,1,0.99969983
203,"בנוגע לשותף (הנאשם 2), אשר אף הוא הודה בביצוע שתי עבירות של סחר בסם מסוכן מסוג קוקאין, במשקל כולל של כ- 0.3 גרם בתמורה לסך כולל של 200 ₪, המדינה הגיעה להסדר טיעון אשר כלל הסכמה עונשית.",0,1,0.9996785
179,"במועדים שאינם ידועים במדויק למאשימה עובר ליום 21.10.20, עמד הנאשם בקשר עם אדם בשם Jairo Zuluaga (להלן: ""איירו"") אותו הכיר בקולומביה, בעניין ייבוא סם האיוואסקה.",0,1,0.9996748
746,מדובר 		בשני אישומים שהמשקל הכולל של הסם שנמכר הוא 10 גרם ובתמורה כספית זניחה 		של 100 ₪ לכל 3 גרם.,0,1,0.9996094
371,"הנאשם הוא זה שסייע לסוכן לרכוש סם מסוכן מהאחר,  קיבל את הסם לידיו, הגיע למקום המפגש, העביר לסוכן את הסם וקיבל לידיו את סכום התמורה עבור הסם.",0,1,0.999549
247,"ברם, על כל פנים, אין מחלוקת כי הנאשם הזמין את הסם עבור עצמו ועבור חבריו, בכמות לא גדולה, ולא למטרות סחר ורווח כספי, כאשר בהזמנתו את הסם מחברו בקולומביה התנהל הנאשם בחובבנות יחסית ולא בתחכום רב.",0,1,0.9995223
150,"בחינה כללית וראשונית של נסיבות ההסתבכות הנוכחית עם החוק העלתה כי הנאשם מודה במיוחס לו וכי באותה תקופה כבר החזיק ברישיון שימוש בקאנביס רפואי, אולם לדבריו הכמויות שאושרו לו לא ענו על צרכיו, ועל כן גם קנה סם באופן לא חוקי והיה מעורב בקשר עם גורמי סחר.",0,1,0.99947697
309,הוא מכר ל-א' 20 גרם קנביס תמורת 600 ₪.,1,0,0.9993771
588,"כמה?"" והסוכן אמר ""מה-K"" כשהוא מתכוון לסם מסוכן מסוג קטמין, הנאשם השיב בחיוב.",1,0,0.9993413
629,"לאור האמור, בהינתן עסקה בודדת וכמות סם מסוג קוקאין המצויה בטווח ההחזקה לצריכה עצמית, מצאתי לקבוע מתחם ענישה הנע בין 4 ל-12 חודשי מאסר בפועל.",1,0,0.99883896
125,"בהמשך הגיע המתלונן למקום, ומסר לאדם בשם יונתן פרידמן את הסם תמורת 450 ₪.",1,0,0.9988306
29,"אין צורך להכביר מילים אודות חומרת העבירות בהן הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו וודאי כאשר עסקינן בסמים שונים מסוג חשיש וMDMA וכן הפגיעה בביטחון המשתמשים בדרך בעת שהנאשם נהג ברכב וזאת למרות שלא החזיק ברישיון נהיגה בתוקף, למרות שרישיון נהיגתו נפסל על ידי בית המשפט ובהיעדר ביטוח.",1,0,0.9981887
974,"תוך עריכת ההתאמות הנדרשות אל מול הפסיקה שהובאה לעיל, בהתייחס למספר העסקאות; כמות הסם בכל עסקה; טיב הסם – קוקאין; זמינות הנאשם לספק סם זה; גובה האתנן שהועבר – מוצא בית המשפט, להעמיד את מתחם הענישה כך שינוע בין 14 ועד 28 חודשי מאסר בפועל.",1,0,0.99789906
782,"מסיבה זו נטען, שאין ללמוד מעונשים מקלים בדמות עבודות שירות שניתנו בהליכים קודמים שנגעו לסם האיוואסקה לעניין העונש הראוי בענייננו, שכן בהם נלקחו בחשבון הקושי הכרוך בהבאת ראיות ובהוכחת חוקיות הסם.",1,0,0.9975948
77,"ב""כ המאשימה פתחה טיעוניה באמרה שהתיק דנן הוא למעשה התיק הראשון אשר עסק בסם האייוואסקה ונוהלו בו הוכחות, בניגוד לתיקים קודמים שהסתיימו בהסדר טיעון, שבחלקם אף הגיעו הצדדים להסכמה לעניין העונש.",1,0,0.98691595
133,"בהמשך, חרף המלצת שירות המבחן, הנאשם לא הגיע לבדיקות לאיתור סמים, ובפועל חזר לצרוך סמים מסוג קריסטל.",1,0,0.8305789
