,verdict,text,part
0,ME-21-04-23190-591,"ע""י ב""כ עו""ד קארי קסה",מדינת ישראל
2,ME-21-04-23190-591,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  6, 7.א., 7.ג, 9.א., 9.ב, 10","ע""י ב""כ עו""ד קובי בן-שעיה"
3,ME-21-04-23190-591,"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג(א), 384א(א)(1)","ע""י ב""כ עו""ד קובי בן-שעיה"
4,ME-21-04-23190-591,"הנאשם הורשע, על פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בעבירות של גידול הכנה והפקה – עבירה לפי סעיף 6 לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: ""פקודת הסמים""); החזקת חצרים – עבירה לפי סעיף 9(א)+(ב) לפקודת הסמים; החזקת סם שלא לצריכה עצמית – עבירה לפי סעיף 7(א)+(ג) רישא לפקודת הסמים; החזקת כלים בצוותא חדא – עבירה לפי סעיף 10 רישא לפקודת הסמים ; וגניבה בנסיבות מיוחדות – עבירה לפי סעיף 384א(א)(1) לחוק העונשין, תשל""ז-1977 (להלן: ""חוק העונשין"").",גזר דין
5,ME-21-04-23190-591,"לפי עובדות כתב האישום המתוקן במועד שאינו ידוע במדויק למאשימה, כשנה וחצי עובר ליום 31.3.21 או בסמוך לכך, שכר הנאשם דירה בקומה השלישית בבניין הנמצא ברחוב אברבנאל 55, בני ברק (להלן: ""הבניין""), והתגורר בדירה יחד עם משפחתו (להלן: ""דירת המגורים"").",העובדות 
6,ME-21-04-23190-591,"במועד שאינו ידוע במדויק למאשימה, כעשרה חודשים עובר ליום 31.3.21 או בסמוך לכך, שכר הנאשם דירה נוספת, הסמוכה לדירת המגורים, בקומה השלישית של הבניין, ובדירה זו הקים מעבדה לגידול סם מסוכן מסוג קנבוס (להלן: ""המעבדה"").",העובדות 
7,ME-21-04-23190-591,"הנאשם צייד את המעבדה בציוד הכולל 6 מזגנים, 10 מאווררים, 15 מנורות לד, 4 מפוחים, 3 מסננים, 12 מדי טמפרטורה, 21 שנאים, 33 בתי מנורה, 9 בלוני חמצן ו-250 אדניות (להלן: ""הציוד"").",העובדות 
8,ME-21-04-23190-591,"לצורך הפעלת המעבדה ביצע הנאשם שינויים במערכת החשמל, כדי למנוע קריאת צריכת החשמל ותשלום בגין החשמל.",העובדות 
9,ME-21-04-23190-591,"בתאריך 31.3.21 החזיק הנאשם סם מסוכן שלא לצריכתו העצמית וכן כלים להכנת סם שלא כדין וללא היתר, כמפורט כדלקמן:",העובדות 
10,ME-21-04-23190-591,"516 שתילים של סם מסוכן מסוג קנבוס, במשקל כולל של 55 ק""ג נטו;",העובדות 
11,ME-21-04-23190-591,3 שקיות ובהן סם מסוכן מסוג קנבוס במשקל כולל של 866.93 גרם נטו;,העובדות 
12,ME-21-04-23190-591,"2 משקלים אלקטרוניים (להלן: ""הכלים"").",העובדות 
13,ME-21-04-23190-591,"בסלון הדירה על שולחן, ב-2 שקיות נפרדות, סם מסוכן מסוג קנבוס, במשקל כולל של 860.72 גרם נטו;",העובדות 
